What are RPO and RTO?|RPO (Recovery Point Objective) describes how much data is acceptable to lose in a data loss event. RTO (Recovery Time Objective) describes the maximum amount of time that it should take to recover data.
What is a false positive in IDS or antivirus context?|When an intrusion detection system or antivirus/antimalware mistakes legitimate traffic for an attack, this is called a false positive.
What is air gapping?|Air gapping refers to a server not being on a network, meaning there is literally "air" between the server and the network. This prevents malware from infecting the system.
What are SCADA systems?|SCADA, or supervisory control and data acquisition systems, are commonly used to manage facilities like power plants and industrial control systems.
What is a warm site?|A warm site has some or all of the infrastructure and systems needed but does not have data. Equipment and data can be brought to the site to resume operations after a disaster.
What is a hot site?|A hot site is a fully functional environment with all the hardware, software, and data needed to operate an organization. They are expensive to maintain but used by organizations that cannot take the risk of downtime.
What is a cold site?|A cold site is a location that can be brought online but does not have systems. Cold sites typically have access to power and bandwidth but need to be fully equipped to operate after a disaster.
What is a snapshot in virtualization?|A snapshot is an image of the virtual machine at some point in time, allowing you to return that system to a last known good state.
What are characteristics of serverless architectures?|Serverless architectures do not require a system administrator because the provider manages the underlying function-as-a-service capability. They can scale up or down as needed, providing flexibility.
What does software-defined networking (SDN) provide?|SDN makes the network very scalable, making it relatively easy to add or remove resources and helping with high availability efforts.
What is a microservice architecture?|A microservice architecture builds applications as a set of loosely coupled services that provide specific functions using lightweight protocols.
What is Infrastructure as Code (IaC)?|IaC is the process of managing and provisioning computer datacenters through machine-readable definition files, rather than physical hardware configuration or interactive configuration tools.
What are common methods to ensure RTOS security?|Using secure firmware and using an RTOS with time and space partitioning are both common methods to help ensure RTOS security.
What challenges do embedded systems face?|Embedded systems often have limited computational power, challenges implementing strong cryptography, difficulties with patching, lack of connectivity, and authentication problems due to limited interfaces.
What does a differential backup back up?|Differential backups back up all of the changes since the last full backup.
What is elasticity in cloud computing?|Elasticity is a cloud computing concept that matches resources to demand to ensure that an infrastructure closely matches the needs of the environment.
What should be the first priority for power protection?|An uninterruptible power supply (UPS) should be the first priority to ensure power is not disrupted during an outage and can be maintained until alternate power like a generator comes online.
Why should SCADA systems be separated from the main network?|Separating the SCADA system from the main network makes it less likely that the SCADA system can be affected by malware or human action from the main network.
What does TLS provide?|Transport Layer Security (TLS) provides a reliable method of encrypting web traffic, supports mutual authentication, and is considered secure.
What is data sovereignty?|Data sovereignty refers to the concept that data collected and stored in a country is subject to that country's laws, creating compliance challenges with multinational cloud services.
What challenges do low-power devices face with encryption?|Low-power devices typically have limited processor speed, memory, and storage, meaning that encryption can be a challenge due to computational requirements.
What is the most appropriate solution for multi-hour power outages?|A generator is the most appropriate answer to a multi-hour outage, as UPS systems are not typically designed to handle long outages.
What do network load balancers do?|Network load balancers distribute traffic among systems, allowing systems to be added or removed, making patching easier, and helping monitor systems for performance.
What is an air gap in network security?|An air gap is a physical separation that requires manual transport of files, patches, and other data between environments, helping ensure attackers cannot access critical systems.
What is PEAP?|PEAP (Protected Extensible Authentication Protocol) relies on server-side certificates and tunneling to ensure communications security for wireless networks.
What is least connection-based load balancing?|Least connection-based load balancing takes load into consideration and sends the next request to the server with the least number of active sessions.
What allows different policies per port in IPSec?|IPSec transport mode allows different policies per port, using IP addresses in the outer header to determine the policy applied to the packet.
What protocols help geofencing applications determine location?|GPS data and data about local Wi-Fi networks are the two most commonly used protocols to help geofencing applications determine where they are.
When is a TLS VPN frequently chosen?|A TLS VPN is frequently chosen when ease of use is important and web applications are the primary usage mode.
What is binary data?|Binary data is a form of non-human-readable data that may or may not be encrypted.
What is a VIP in load balancing?|Load balancers provide a virtual IP (VIP). Traffic sent to the VIP is directed to servers in the pool based on the load-balancing scheme.
How does port security work?|Port security filters by MAC address, permitting allow listed MAC addresses to connect to the port and blocking block listed MAC addresses.
What do authentication headers (AHs) provide?|Authentication headers provide complete packet integrity, authenticating the packet and the header, but do not provide any encryption.
What are network taps?|Network taps copy all traffic to another destination, allowing traffic visibility without a device inline. They are completely passive methods of getting network traffic to a central location.
What is Internet Key Exchange (IKE) used for?|IKE is used to set up security associations (SAs) on each end of a tunnel with all the settings like cryptographic algorithms and hashes.
What is session persistence in load balancing?|Session persistence makes sure that all of a client's traffic for a transaction or session goes to the same server or service.
What capabilities do next-generation firewalls provide?|NGFWs provide geolocation, IDS/IPS, sandboxing, web application firewalls, load balancing, IP reputation and URL filtering, and antimalware features.
What do UTM devices provide?|UTM (unified threat management) devices commonly serve as firewalls, IDS/IPS, antivirus/antimalware, web proxies, web application and deep packet inspection, secure email gateways, DLP, SIEM, and VPN devices.
What is the limitation of an IDS?|IDSs can only detect unwanted and malicious traffic based on detection rules and signatures. They cannot stop or modify traffic.
What is an example of using geographic restrictions?|Using rules that require additional authentication for those who are off-site or performing impossible travel is an example of geographic restrictions to protect data.
What is 802.1X?|802.1X is the IEEE standard for port-based network access control and is frequently used to authenticate devices.
What is anomaly-based detection?|Anomaly-based detection systems build a behavioral baseline for networks and then assess differences from those baselines.
Why should hashes be used instead of checksums?|A hash is designed to be unique to each possible input, whereas multiple files could have the same checksum value.
What are tabletop exercises?|Tabletop exercises are used to talk through a process, focusing on how the team responds and learning from those answers, and can involve gaming out a situation.
What is the difference between high-availability and fault-tolerant designs?|High-availability designs are less expensive and attempt to minimize service interruptions, whereas fault-tolerant designs seek to avoid service interruptions almost entirely and cost significantly more.
What does geographic dispersion help with?|Geographic dispersion is intended to help with availability by ensuring that a single disaster does not take multiple datacenters or other facilities offline.
What does masking do for data protection?|Masking replaces some characters with an alternate character, allowing tasks like validating credit card numbers without exposing all of a data field.
What are trade secrets?|Trade secrets are intellectual property that is commercially valuable and is limited to a small group of individuals.
How can SMTP traffic be protected in transit?|Implementing Transport Layer Security (TLS) to encapsulate Simple Mail Transfer Protocol (SMTP) allows the traffic to be encrypted in transit.
What are jump servers used for?|Jump servers are used to access secured zones and are typically carefully controlled and monitored because they are the single point of entry from untrusted environments.
What are IPSec VPNs commonly established for?|IPSec virtual private networks are commonly established to tunnel through public or untrusted networks.
What is a unified threat management (UTM) device?|A UTM device combines multiple security services including firewall, IDS/IPS, antivirus/antimalware, email filtering, WAF, and similar services into a single solution.
What do simulations validate?|Simulations validate that notification processes, communication systems, and procedures all work without causing potential outages.
What does geolocation not protect?|Geolocation is used to control where data can be accessed from but does not protect data in transit.
What layer do next-generation firewalls inspect at?|Next-generation firewalls typically provide the ability to inspect traffic at both the transport layer (layer 4) and the application layer (layer 7).
How can a load balancer help with web server failures?|A load balancer can help handle individual web server failures gracefully by moving load to the functioning web servers in a cluster.
How are inline network taps typically configured?|Inline network taps are typically configured to fail-open since they are used to create a copy of the network traffic.
What is the core component of SASE technology?|Software-defined wide area networks (SD-WANs) are the core component of secure access, secure edge (SASE) technology.
What can network access control (NAC) do?|NAC has the ability to both profile device security and validate that a given user is authorized to plug a device into a specific network port.
What does version control allow in IaC?|Version control allows staff to identify a bad version and revert to a previous known-good version if needed.
What are PaaS vendors responsible for?|PaaS vendors are responsible for the underlying service and platform, including the networks, systems, and infrastructure, including their security.
What is the biggest resilience issue with backups in the same facility?|Placing backups in the same facility as the devices they are backing up means that a single disaster could destroy both.
What is the current mainstream standard for encryption?|AES-256 is the current mainstream standard for encryption.
What is the fastest means to recovery?|Replication is typically the fastest means to recovery since the replica system is running and ready to take over.
What are the three data states recognized by Security+?|The three data states are: data at rest, data in transit, and data in use.
What does data sovereignty mean for governments?|Data sovereignty means that governments have the ability to control data within their borders via law and regulations.
When should an IPS be configured as fail-closed?|If a failure should remain secure rather than potentially allowing attacks through, a fail-closed implementation should be selected.
How is physical isolation achieved?|Physical isolation requires the creation of an air gap by unplugging the device from the network.
What is path diversity?|Path diversity ensures that the connectivity to a facility does not take the same path, helping prevent accidents or construction from taking organizations offline.
What is a jump server used for in network security?|A jump server is used to connect from an untrusted or lower trust zone from outside of a firewall to access more secure zones.
What must capacity planning for disasters consider?|Capacity planning for disaster operations needs to take the impact on staff into account, as staff may not have power, Internet access, or housing in disaster scenarios.
What are typical exercise types for organizations?|Typical exercise types include simulations that emulate an actual incident response, walk-throughs that guide staff through an event, and tabletop exercises that are gamed out without taking actual action.
How can file integrity be verified?|Comparing hashes is an effective way of determining if a file is different from the original.
What is a challenge with off-site backup locations?|Recovery may be slow if backups need to be physically retrieved or downloaded via an Internet connection from off-site locations.
How do load balancers provide resilience?|Load balancers are commonly used to help provide resilience by allowing applications and servers to be clustered.
What type of data is covered by GDPR?|The European Union's GDPR is a privacy regulation, and data covered by the GDPR is regulated data.
What challenge does journaling face?|Journaling replays transactions, which can take an extended period of time if the time between the last backup and the data loss event was longer with high transaction volume.
What solution handles extended power outages?|Using UPS with generators allows systems to remain online during power outages even if they extend for some time.
Where should data masking occur?|Secure designs require masking to occur in server-side code rather than in client-side web application code to prevent data exposure.
What are examples of government data classifications?|Top Secret and Secret are examples of government classifications. Businesses typically use classifications like sensitive, confidential, and public.
What is rarely a concern for embedded systems?|Compute is rarely a significant concern for embedded systems as they're designed to function for long periods performing a specific function.
What is Layer 7 in the OSI model?|Layer 7 is the application layer. Security+ focuses on Layer 4 (transport) and Layer 7 (application) for network security devices.
What are embedded systems?|Embedded systems are computers built into devices to allow them to function, often receiving fewer updates and required to function for long periods.
What are microservices?|Microservices are loosely coupled and fine-grained services intended to be easy to deploy without significant overhead or dependencies, using lightweight protocols like HTTP.
What do incremental backups include?|Incremental backups only include the data that has changed since the last full backup. To restore, the full backup is restored, then incremental backups are applied in order.
What are snapshots?|Snapshots are point-in-time images of a system's or device's data and memory.
What do generators require to be effective?|Generators are commonly paired with UPS systems that handle the immediate power outage, allowing the generator to start and stabilize.
How can SCADA and ICS systems be protected?|Physically isolating the network for SCADA and ICS systems can prevent attacks from outside the network.
What does port security use to determine connections?|Hardware addresses, known as MAC addresses, are used for port security to determine which systems can connect to a port.
What is a common concern for generators in datacenters?|Fuel availability, maintenance cycles for extended runs, and ensuring physical redundancy with a secondary generator are common concerns.
Are geographic restrictions helpful for insider threats?|Geographic restrictions are rarely helpful for insider threats because insiders are likely to already be in the same location as authorized users.
What controls are useful for data in use?|Use of encryption through secure enclaves and restricted processing environments, controlling access to data, and limiting where data is processed are useful controls.
What are UPS systems suited for?|UPS systems are perfectly suited to handling short power outages and temporary under-voltage events, providing clean, reliable power.
What do containers not include?|Containers do not include an operating system, but do contain applications, libraries, and configuration files.
What is SD-WAN?|SD-WAN (software-defined wide area network) is a virtual WAN architecture that relies on a software-based controller to manage multiple connections and connection types.
What can an IPS do that an IDS cannot?|An IPS (intrusion prevention system) can stop attacks based on behaviors and threat feed data, while an IDS can only detect attacks.
What are examples of legal information?|Contracts, nondisclosure agreements (NDAs), and statements of work (SOWs) are all examples of legal information.
How do threat feeds help NGFWs?|Using threat feeds allows administrators to have rules that automatically block new threats using IP reputation and other services.
