What is Server-Side Request Forgery (SSRF)?|A web security vulnerability that allows an attacker to cause the server-side application to make requests to an unintended location, such as internal-only services or arbitrary external systems.
What is the impact of SSRF attacks?|Can result in unauthorized actions or access to data within the organization, arbitrary command execution, or malicious onward attacks that appear to originate from the organization hosting the vulnerable application.
How do SSRF attacks exploit trust relationships?|SSRF attacks often exploit trust relationships to escalate an attack from the vulnerable application and perform unauthorized actions. These trust relationships might exist in relation to the server or other back-end systems within the same organization.
How does an SSRF attack against the server work?|The attacker causes the application to make an HTTP request back to the server via its loopback network interface, typically using hostnames like 127.0.0.1 or localhost to bypass normal access controls.
Why do applications trust requests from the local machine?|The access control check might be in a different component that gets bypassed, disaster recovery may allow admin access from local machine without login, or the admin interface might listen on a different port not directly reachable by users.
What are SSRF attacks against back-end systems?|Attacks where the application server interacts with back-end systems that have non-routable private IP addresses and are not directly reachable by users. These systems often have weaker security and may contain sensitive functionality accessible without authentication.
What techniques can bypass blacklist-based SSRF filters?|Use alternative IP representations of 127.0.0.1, register a domain resolving to 127.0.0.1, obfuscate blocked strings using URL encoding or case variation, or provide a URL you control that redirects to the target URL.
How can whitelist-based SSRF filters be bypassed?|Embed credentials using @ character before hostname, use # character for URL fragments, leverage DNS naming hierarchy, URL-encode characters to confuse parsing code, try double-encoding, or combine these techniques.
What are blind SSRF vulnerabilities?|Vulnerabilities where you can cause an application to issue a back-end HTTP request to a supplied URL, but the response from the back-end request is not returned in the application's front-end response.
What is the impact of blind SSRF vulnerabilities?|Often lower than fully informed SSRF due to their one-way nature. Cannot be trivially exploited to retrieve sensitive data but can sometimes achieve full remote code execution.
How can blind SSRF vulnerabilities be detected?|Using out-of-band (OAST) techniques by attempting to trigger an HTTP request to an external system you control and monitoring for network interactions, typically using tools like Burp Collaborator.
Why might you see DNS lookup but no HTTP request in SSRF testing?|The application attempted to make an HTTP request which caused the initial DNS lookup, but the actual HTTP request was blocked by network-level filtering. Infrastructure often allows outbound DNS traffic but blocks HTTP connections to unexpected destinations.
How can blind SSRF be exploited despite not viewing responses?|Blindly sweep the internal IP address space sending payloads to detect well-known vulnerabilities, or induce the application to connect to an attacker-controlled system that returns malicious responses to exploit client-side vulnerabilities.
What are partial URLs in SSRF attacks?|When an application places only a hostname or part of a URL path into request parameters, which is then incorporated server-side into a full URL. Exploitability may be limited because you don't control the entire URL.
How can SSRF occur via data formats?|Some applications transmit data in formats like XML that allow inclusion of URLs which might get requested by the data parser. This can make applications vulnerable to SSRF via XXE injection.
How does SSRF via the Referer header work?|Server-side analytics software often logs the Referer header and visits any third-party URLs that appear in it to analyze referring sites. This makes the Referer header a useful attack surface for SSRF vulnerabilities.
