What is a logon session and what does it hold? | A data structure created by an authentication package when a user successfully authenticates. It holds a unique Logon ID (LUID), the user's username and SID, the authentication package used, logon time, logon server, DNS domain name, and UPN.
What is an access token? | A security object associated with a logon session that holds a Token ID, the parent logon session ID (Authentication ID), token type (primary or impersonation), the user's SID, group SIDs, a list of privileges, and an integrity level.
What is the purpose of an access token in Windows? | Windows checks the access token when making access-based decisions on securable objects — for example, determining whether a process can open a file based on the token's user SID, group memberships, privileges, and integrity level.
How can a process modify its security context without affecting other processes? | Because each process receives its own copy of the access token, a process can modify security settings in its copy independently. Browsers use this to reduce their own privileges; other applications may temporarily enable privileges for sensitive tasks.
What is thread-level token impersonation? | A thread within a process can impersonate a different access token, allowing it to perform actions under a different identity or with different privileges than the main process token.
What credentials does LSASS cache in memory on behalf of users? | LSASS caches plaintext passwords, NTLM hashes, AES hashes, and Kerberos tickets for users with active logon sessions.
How does Windows use the credential cache when accessing network resources? | When a process attempts to access a network resource, Windows uses the process's access token to look up the associated logon session and retrieves its cached credentials to authenticate to the remote service.
What is User Impersonation (Use Alternate Authentication Material) as a tactic? | A post-credential-access tactic (MITRE T1550) where an adversary uses obtained credential material — such as passwords, hashes, or Kerberos tickets — to assume the identity of the user those credentials belong to.
What is Token Impersonation? | A technique where an adversary assumes the identity of another user by impersonating an access token — either by creating one from plaintext credentials or stealing one from a process running in another logon session.
What is the make_token technique? | A technique that uses a user's plaintext credentials to create a new access token and then impersonates it. It affects only network interactions; local actions are not impacted. It does not require a high-integrity context.
What is the steal_token technique? | A technique that steals the primary access token from a running process owned by a different user. The adversary then impersonates that token to act as that user.
What is the token-store, and why is it useful? | A persistent store that holds a reference to a stolen token even after the source process closes. Tokens are reference-counted by the kernel, so they are not disposed of while something holds an active handle to them.
What is Pass the Hash (PtH) and how does it work? | A technique (T1550.002) that allows an adversary to authenticate as a user using only their NTLM hash, without needing the plaintext password. Linux tools use raw NTLM authentication; Windows tools patch the hash directly into the credential cache of a logon session.
Why is Pass the Hash becoming less reliable? | Microsoft is actively removing NTLM from Windows. Kerberos has replaced NTLM as the default protocol, making NTLM authentication increasingly anomalous, and it may be restricted outright in hardened environments.
What is Pass the Ticket (PtT) and how does it differ from Pass the Hash? | A technique (T1550.003) that uses stolen, forged, or legitimately requested Kerberos tickets for user impersonation. Unlike PtH, it uses Kerberos (which is not anomalous or restricted), and injecting tickets uses native Windows APIs rather than patching LSASS memory, making it stealthier and not blocked by PPL.
Why is using an NTLM hash to request Kerberos tickets generally not advisable? | Using an NTLM hash produces RC4-encrypted Kerberos tickets, which are considered weaker and more detectable than tickets encrypted with AES keys.
What is the risk of injecting a TGT into an existing logon session? | If you inject a TGT for a different user into an existing session, you overwrite the current user's TGT, potentially disrupting that real user's access to domain services.
What is the recommended strategy for using a stolen Kerberos ticket without affecting the legitimate user? | Create a new logon session using a fake password (make_token), then inject the Kerberos ticket into that new session. This keeps the stolen ticket isolated from the original user's existing session.
Why does the getuid output show the original process owner even after passing a ticket or hash? | The user information returned by getuid is read from the primary access token of the process. Injecting alternate credential material into the logon session does not change the primary token, so the displayed username is always that of the user who spawned the process.
What is Process Injection as a user impersonation technique? | A technique (T1055) where an adversary injects shellcode directly into a process owned by the target user. The resulting session runs inside that process's address space and therefore operates under that user's security context.
What is a Kerberos TGT and how can an adversary obtain one on behalf of another user? | A Ticket Granting Ticket is a Kerberos credential that allows a user to request service tickets. An adversary can legitimately request a TGT for any user if they possess that user's NTLM hash or AES encryption keys.
What is kerberos_ticket_purge used for? | It removes injected Kerberos tickets from the current logon session without disposing of the session itself, allowing the session to be reused or cleanly closed later.
What does rev2self do? | It stops the current token impersonation by reverting the thread to the primary access token of the process, effectively ending the impersonation and returning to the original user context.
What is the difference between a primary token and an impersonation token? | A primary token is assigned to a process and represents its default security context. An impersonation token is used by a thread to temporarily act under a different identity without changing the process-level token.
What is the significance of the LUID in the context of Pass the Ticket? | The LUID (Logon Unique Identifier) identifies a specific logon session. When injecting a Kerberos ticket, targeting the correct LUID ensures the ticket is placed into the right session rather than overwriting credentials in an unintended session.
