What is prototype pollution?|A JavaScript vulnerability that enables an attacker to add arbitrary properties to global object prototypes, which may then be inherited by user-defined objects.
What can prototype pollution lead to?|In client-side JavaScript, it commonly leads to DOM XSS, while server-side prototype pollution can result in remote code execution.
What is a JavaScript object?|A collection of key:value pairs known as properties. Properties can contain data or executable functions called methods.
What is a prototype in JavaScript?|Every object in JavaScript is linked to another object called its prototype. JavaScript automatically assigns new objects one of its built-in prototypes like String.prototype or Object.prototype.
How does object inheritance work in JavaScript?|Objects automatically inherit all properties of their assigned prototype unless they already have their own property with the same key, enabling property and method reuse.
What is the prototype chain?|An object's prototype is just another object with its own prototype, creating a chain that ultimately leads back to Object.prototype, whose prototype is null.
What is the __proto__ property?|A special property that serves as both a getter and setter for an object's prototype, allowing you to read the prototype and its properties or even reassign them.
Why is modifying prototypes generally bad practice?|Although possible, modifying JavaScript's built-in prototypes can lead to security vulnerabilities and unexpected behavior, even though it allows customizing or overriding built-in methods.
How do prototype pollution vulnerabilities arise?|When a JavaScript function recursively merges an object containing user-controllable properties into an existing object without sanitizing the keys, allowing injection of properties like __proto__.
What are the three key components for exploiting prototype pollution?|A prototype pollution source (input to poison prototypes), a sink (function or DOM element enabling code execution), and an exploitable gadget (property passed into a sink without proper filtering).
What are the most common prototype pollution sources?|The URL via query or fragment string, JSON-based input, and web messages.
How does prototype pollution via URL work?|When a URL parser interprets __proto__ as a string and merges it into an object, the JavaScript engine treats __proto__ as a getter for the prototype, assigning properties to the prototype object rather than the target object.
How does prototype pollution via JSON work?|JSON.parse() treats any key including __proto__ as an arbitrary string. If the resulting object is merged into an existing object without key sanitization, it leads to prototype pollution during assignment.
What is a prototype pollution sink?|A JavaScript function or DOM element that you can access via prototype pollution, which enables execution of arbitrary JavaScript or system commands.
What is a prototype pollution gadget?|Any property that is passed into a sink without proper filtering or sanitization, which developers may wrongly assume is not user controllable.
How can you manually find client-side prototype pollution sources?|Try injecting arbitrary properties via query string, URL fragment, and JSON input, then inspect Object.prototype in browser console to see if the property was successfully added.
What is DOM Invader?|A tool that comes preinstalled with Burp's browser that can automatically test for prototype pollution sources and gadgets as you browse, saving considerable time and effort.
How can you access a prototype via the constructor property?|Every object has a constructor property referencing the constructor function used to create it. You can access the prototype as myObject.constructor.prototype, providing an alternative to __proto__.
How can flawed key sanitization be bypassed?|If sanitization strips __proto__ only once without recursion, an attacker can use nested strings like __pro__proto__to__ which after one strip becomes __proto__.
Why is prototype pollution via browser APIs significant?|JavaScript APIs commonly provided in browsers contain widespread prototype pollution gadgets that can be exploited for DOM XSS, potentially bypassing flawed developer-implemented defenses.
How can the fetch() method be vulnerable to prototype pollution?|If an attacker pollutes Object.prototype with a headers property, it may be inherited by the options object passed into fetch() and used to generate the request, potentially leading to DOM XSS.
How can Object.defineProperty() be vulnerable to prototype pollution?|Developers may use it to set non-configurable properties to prevent prototype pollution, but if they don't set a value, an attacker can pollute Object.prototype with a malicious value property that gets inherited by the descriptor object.
Why is server-side prototype pollution more difficult to detect than client-side?|No source code access, lack of developer tools to inspect objects at runtime, risk of causing DoS by breaking functionality, and pollution persistence for the entire lifetime of the Node process.
What is polluted property reflection?|When developers use a for...in loop that iterates over all enumerable properties including inherited ones, polluted properties may be reflected in responses, providing a way to probe for server-side prototype pollution.
How can status code override detect server-side prototype pollution?|By polluting the prototype with a status property using an obscure status code (400-599 range), you can check if error responses override their default status code, indicating successful pollution.
How can JSON spaces override detect server-side prototype pollution?|By polluting the prototype with a json spaces property, you can check if the indentation in JSON responses changes accordingly, providing a safe and reversible detection method.
How can charset override detect server-side prototype pollution?|By polluting the prototype with a content-type property specifying UTF-7 charset, you can check if UTF-7 encoded strings in requests get decoded in responses, indicating successful pollution.
What is the NODE_OPTIONS environment variable vulnerability?|A property on the env object that defines command-line arguments for Node processes. If undefined, it can be controlled via prototype pollution to trigger interactions when new Node processes are created.
How can child_process.fork() be exploited for RCE?|The fork() method accepts an options object with an execArgv property. If undefined, it can be controlled via prototype pollution to use the --eval argument to execute arbitrary JavaScript in the child process.
How can child_process.execSync() be exploited for RCE?|By simultaneously polluting the shell property (to specify a shell like vim or ex) and input property (with malicious commands), you can override the intended command and execute arbitrary system commands.
What are the limitations of using execSync() for RCE?|The shell option only accepts the executable name without arguments, shells are executed with -c argument which prevents using Node itself, and the chosen shell must accept commands from stdin.
Why is sanitizing property keys with blocklists ineffective?|Truly robust blocklisting is inherently tricky as it can be bypassed using alternative vectors like constructor or simple obfuscation techniques, making it only a stopgap solution rather than long-term fix.
How does Object.freeze() prevent prototype pollution?|It ensures that an object's properties and their values can no longer be modified and no new properties can be added, effectively cutting off potential pollution sources when applied to prototypes.
How does Object.create(null) prevent gadgets?|By creating an object with a null prototype, it ensures the object won't inherit any properties at all, eliminating potential gadgets even if prototype pollution vulnerabilities exist.
Why are Map and Set safer alternatives to regular objects?|They provide built-in methods like get() and has() that only return properties defined directly on the map or set itself, not inherited properties from polluted prototypes.
What makes true two-factor authentication different from email-based 2FA?|True 2FA verifies multiple different factors. Email-based 2FA verifies the same knowledge factor twice since accessing the code only requires knowing email login credentials.
Why are SMS-based 2FA systems vulnerable?|The code is transmitted via SMS rather than generated by the device itself, creating potential for interception, and there's risk of SIM swapping where attackers fraudulently obtain a SIM card with the victim's phone number.
