What is Active Directory domain reconnaissance and why is it important in the cyberattack lifecycle? | A pivotal stage where adversaries gather information about the target environment to understand its architecture, network topology, security measures, and potential vulnerabilities. Attackers focus on identifying Domain Controllers, user accounts, groups, trust relationships, OUs, group policies, and other vital objects to pinpoint high-value targets, escalate privileges, and move laterally.
What is BloodHound and what is its primary purpose? | An open-source domain reconnaissance tool designed to analyze and visualize the Active Directory environment. It leverages graph theory and relationship mapping to elucidate trust relationships, permissions, and group memberships within the AD domain. Frequently employed by attackers to discern attack paths and potential security risks.
What is SharpHound? | A C# data collector for BloodHound that executes numerous LDAP queries directed at the Domain Controller to amass information about the domain.
What is the best way to detect BloodHound activity in Windows? | Using the Windows ETW provider Microsoft-Windows-LDAP-Client. Tools like SilkETW and SilkService can be used with Yara rules to hunt suspicious LDAP queries. Event 1644 (LDAP performance monitoring log) is less reliable as BloodHound may not generate many expected events.
What is password spraying and how does it differ from traditional brute-force attacks? | Password spraying distributes the attack across multiple accounts using a limited set of commonly used passwords, rather than trying numerous passwords for a single account. It evades account lockout policies by giving each user account only a few password attempts, making it less noticeable.
What Windows Event IDs are useful for detecting password spraying? | Event ID 4625 (Failed Logon), 4768 with ErrorCode 0x6 (Kerberos Invalid Users), 4768 with ErrorCode 0x12 (Kerberos Disabled Users), 4776 with ErrorCode 0xC000006A (NTLM Invalid Users), 4776 with ErrorCode 0xC0000064 (NTLM Wrong Password), 4648 (Authenticate Using Explicit Credentials), and 4771 (Kerberos Pre-Authentication Failed).
What is LLMNR/NBT-NS poisoning and how does it work? | Network-level attacks that exploit inefficiencies in name resolution protocols. When DNS fails to resolve a hostname, the victim device sends a query using LLMNR/NBT-NS. The attacker responds pretending to know the requested host's identity, directing the victim to the adversary-controlled system.
What is the result of a successful LLMNR/NBT-NS poisoning attack? | The acquisition of the victim's NetNTLM hash, which can be either cracked or relayed to gain access to systems where these credentials are valid.
What is Kerberoasting? | A technique targeting service accounts in Active Directory to extract and crack their password hashes. It exploits how Kerberos service tickets are encrypted and the use of weak passwords for service accounts. Attackers request TGS tickets containing encrypted password hashes and use offline brute-force techniques to crack them.
What are the main steps in a Kerberoasting attack? | 1) Identify target service accounts with SPNs set, 2) Request TGS tickets from the KDC containing encrypted service account password hashes, 3) Perform offline brute-force attacks using tools like Hashcat or John the Ripper.
How can Kerberoasting be detected? | Monitor LDAP activity for suspicious queries identifying service accounts. Look for TGS requests without subsequent logon events (Event ID 4624). In benign service access, users connect and present the TGS ticket, but in Kerberoasting they only request the ticket.
What is AS-REPRoasting? | A technique targeting user accounts in Active Directory without pre-authentication enabled. Attackers identify these accounts, initiate AS-REQ service ticket requests, capture the encrypted TGTs, and employ offline brute-force techniques to crack password hashes.
What is Kerberos pre-authentication and why is it important? | An additional security mechanism where the AS-REQ request contains an encrypted timestamp. The KDC decrypts this using the user password hash. If successful, it issues a TGT. Without pre-authentication, users can request TGT tickets without knowing the password.
How can AS-REPRoasting be detected? | Monitor LDAP activity for queries identifying accounts with unconstrained delegation or without pre-authentication. Event ID 4768 (TGT Request) contains a PreAuthType attribute indicating whether pre-authentication is enabled (PreAuthType=0 indicates disabled).
What is Pass-the-Hash? | A technique where attackers authenticate to a networked system using the NTLM hash of a user's password instead of the plaintext password. It exploits how Windows stores password hashes in memory, enabling lateral movement within the network.
What are the main steps in a Pass-the-Hash attack? | 1) Extract NTLM hash using tools like Mimikatz (requires local admin privileges), 2) Authenticate as the targeted user using the hash, 3) Move laterally within the network gaining unauthorized access to systems and resources.
What is the difference between runas with /netonly flag and Pass-the-Hash? | With runas /netonly, the process has the same access token but a different LogonSession. In Pass-the-Hash, Mimikatz accesses the LSASS process memory to change LogonSession credential materials. Pass-the-Hash can be detected by correlating Event ID 4624 LogonType 9 (NewCredentials) with Sysmon Event Code 10 (Process Access).
What Windows Event IDs are generated during Pass-the-Hash attacks? | Event ID 4624 with LogonType 9 (NewCredentials) and Logon_Process=seclogo. Can be enhanced by correlating with Sysmon Event ID 10 showing LSASS memory access.
What is Pass-the-Ticket? | A lateral movement technique where attackers extract valid TGT or TGS tickets from a compromised system's memory and submit them for authentication to access other systems and network resources without needing plaintext passwords.
What are the main steps in a Pass-the-Ticket attack? | 1) Gain administrative access to a system, 2) Extract valid TGT or TGS tickets using tools like Mimikatz or Rubeus, 3) Submit the extracted ticket for the current logon session, 4) Authenticate to other systems without plaintext passwords.
How can Pass-the-Ticket be detected? | Look for Event ID 4769 (Kerberos Service Ticket Request) or 4770 (Service Ticket Renewed) without a prior Event ID 4768 (TGT Request) from the same system within a specific time window. Look for mismatches between Service/Host IDs and actual Source/Destination IPs.
What is Overpass-the-Hash? | A technique to obtain Kerberos TGTs by leveraging stolen password hashes (NTLM or AES keys) to move laterally or bypass system access controls. Authentication occurs via Kerberos rather than NTLM. Attackers craft raw AS-REQ requests using tools like Rubeus.
How does Rubeus Overpass-the-Hash differ from Mimikatz Pass-the-Hash in terms of detection? | Rubeus sends an AS-REQ request directly to the Domain Controller generating Event ID 4768, making Pass-the-Ticket detection less effective unless the TGT is used on another host. Detection focuses on unusual processes communicating with the DC on TCP/UDP port 88.
What is a Golden Ticket attack? | An attack where an attacker forges a TGT to gain unauthorized access as a domain administrator. Using the KRBTGT account's NTLM hash, they create a TGT with arbitrary user credentials and domain admin privileges, remaining valid until expiration or revocation.
What are the main steps in a Golden Ticket attack? | 1) Extract NTLM hash of KRBTGT account using DCSync, NTDS.dit, or LSASS dumps, 2) Forge a TGT for an arbitrary user account with domain admin privileges, 3) Inject the forged TGT like a Pass-the-Ticket attack.
How can Golden Ticket attacks be detected? | Monitor common methods of extracting KRBTGT hash (DCSync, NTDS.dit access, LSASS memory reads via Sysmon Event ID 10). Golden Tickets can also be detected using Pass-the-Ticket detection methods.
What is a Silver Ticket attack? | An attack where adversaries forge Kerberos TGS tickets using the password hash of a target service account. Silver Tickets allow impersonation of any user but are more limited than Golden Tickets, only allowing access to a specific resource and its hosting system.
What are the main steps in a Silver Ticket attack? | 1) Extract NTLM hash of the targeted service account or computer account, 2) Use tools like Mimikatz to create a forged TGS ticket for the specified service, 3) Inject the forged TGT like a Pass-the-Ticket attack.
How can Silver Ticket attacks be detected? | Use Event ID 4720 (A user account was created) to identify newly created users and compare with logged-in users, as arbitrary users including non-existent ones can be used. Event ID 4672 (Special Logon) can detect anomalously assigned administrative privileges.
What is Unconstrained Delegation? | A privilege granted to User or Computer Accounts in Active Directory allowing a service to authenticate to another resource on behalf of any user. When enabled, the Domain Controller embeds the user's TGT into the service ticket.
How does Kerberos authentication differ with Unconstrained Delegation? | When a user requests a TGS ticket for a remote service, the DC embeds the user's TGT into the service ticket. When connecting, the user presents both the TGS ticket and their TGT. The service can then present the user's TGT to authenticate to another service on the user's behalf.
