What are the three main web attacks covered in this module? | HTTP Verb Tampering, Insecure Direct Object References (IDOR), and XML External Entity (XXE) Injection
What is HTTP Verb Tampering? | An attack that exploits web servers accepting many HTTP verbs and methods by sending malicious requests using unexpected methods to bypass authorization or security controls
What are the 9 HTTP verbs mentioned in the document? | GET, POST, HEAD, PUT, DELETE, OPTIONS, PATCH, CONNECT, TRACE
What does the HEAD HTTP method do? | Identical to a GET request but response only contains headers without the response body
What does the PUT HTTP method do? | Writes the request payload to the specified location
What does the OPTIONS HTTP method show? | Shows different options accepted by a web server like accepted HTTP verbs
What are the two main causes of HTTP Verb Tampering vulnerabilities? | Insecure web server configurations and insecure coding practices
What is an example of insecure web server configuration that leads to HTTP Verb Tampering? | Limiting authentication requirements to specific HTTP methods only, leaving other methods unprotected
What is an example of insecure coding that leads to HTTP Verb Tampering? | Applying security filters only to specific HTTP methods while using $_REQUEST in the actual function, creating inconsistency
How can you prevent HTTP Verb Tampering through server configuration? | Avoid restricting authorization to specific HTTP methods, use safe keywords like LimitExcept, and deny HEAD requests unless required
What is IDOR? | Insecure Direct Object References - vulnerabilities that occur when a web application exposes direct references to objects that end-users can control to access other objects
What makes an application vulnerable to IDOR? | Lack of proper access control system on the back-end, allowing users to access resources by manipulating direct object references
What are the two main types of IDOR vulnerabilities? | IDOR Information Disclosure Vulnerabilities and IDOR Insecure Function Calls
Where can you typically find direct object references? | URL parameters, API endpoints, HTTP headers, cookies, and JavaScript AJAX calls
What should you look for when identifying potential IDOR vulnerabilities? | Parameters with object references like uid=1, filename=file_1.pdf, or encoded/hashed values that might reference objects
What is the difference between IDOR Information Disclosure and IDOR Insecure Function Calls? | Information Disclosure allows reading resources, while Insecure Function Calls allow executing functions or APIs as another user
How can you test for IDOR vulnerabilities with encoded references? | Identify the encoding method (like base64 or MD5 hashing), decode/calculate the pattern, then test with other values
What is mass IDOR enumeration? | Using scripts or tools to systematically test multiple object references to gather large amounts of unauthorized data
How can IDOR vulnerabilities be chained together? | Using information gained from IDOR Information Disclosure to exploit IDOR Insecure Function Calls, such as getting user UUIDs to modify other users' data
What is the primary prevention method for IDOR vulnerabilities? | Implementing proper object-level access control system, typically Role-Based Access Control (RBAC)
What type of object references should be used to prevent IDOR? | Strong and unique references like UUIDs or salted hashes instead of sequential numbers or predictable patterns
What is XXE? | XML External Entity Injection - vulnerabilities that occur when XML data from user input is not properly sanitized, allowing malicious XML features to be exploited
What are the key components of an XML document? | Tags, Entities, Elements, Attributes, and Declaration
What is XML DTD? | Document Type Definition - allows validation of XML document against pre-defined document structure, can be internal or external
What are XML entities? | XML variables that can be defined with ENTITY keyword and referenced with & and ; characters
What makes external XML entities dangerous? | They can reference external files using SYSTEM keyword, potentially allowing local file disclosure when parsed server-side
How do you identify potential XXE vulnerabilities? | Look for web pages that accept XML input, test if custom entities are processed by defining internal entities
What is the basic method for exploiting XXE to read local files? | Define external entity using SYSTEM keyword with file path, then reference the entity in displayed XML element
Why might basic XXE not work for reading source code files? | Files may contain special XML characters that break the format, require encoding methods like PHP filters or CDATA
