What are the two types of NoSQL injection?|Syntax injection, which occurs when you can break the NoSQL query syntax and inject your own payload, and operator injection, which occurs when you can use NoSQL query operators to manipulate queries.
How can you detect NoSQL syntax injection vulnerabilities?|By systematically testing each input by submitting fuzz strings and special characters that trigger a database error or detectable behavior if they're not adequately sanitized or filtered by the application.
What is a common fuzz string for testing MongoDB syntax injection?|'"`{ ;$Foo} $Foo \xYZ is an example fuzz string that can be used to test if user input is properly filtered or sanitized in MongoDB.
How can you determine which characters are processed as syntax in NoSQL?|By injecting individual characters and observing if they cause changes in the response, such as submitting a single quote which may break the query syntax and cause a syntax error.
How can you confirm conditional behavior in NoSQL injection?|Send two requests, one with a false condition and one with a true condition. If the application behaves differently, this suggests that the condition impacts the query logic.
What is the risk of injecting a condition that always evaluates to true?|While it may be harmless in the initial context, applications often use data from a single request in multiple queries. If used when updating or deleting data, this can result in accidental data loss.
How can a null character be used in NoSQL injection?|MongoDB may ignore all characters after a null character, which means any additional conditions on the MongoDB query are ignored, potentially bypassing restrictions.
What are some examples of MongoDB query operators?|$where (matches documents that satisfy a JavaScript expression), $ne (matches all values not equal to a specified value), $in (matches all values specified in an array), and $regex (selects documents where values match a specified regular expression).
How can query operators be submitted in JSON messages?|Query operators can be inserted as nested objects, for example {"username":"wiener"} becomes {"username":{"$ne":"invalid"}}.
How can query operators be submitted in URL-based inputs?|Query operators can be inserted via URL parameters, for example username=wiener becomes username[$ne]=invalid.
How can you bypass authentication using NoSQL operator injection?|By submitting a payload that uses operators like $ne on both username and password fields, such as {"username":{"$ne":"invalid"},"password":{"$ne":"invalid"}}, which returns all login credentials where both are not equal to invalid.
What MongoDB operators or functions can run limited JavaScript code?|The $where operator and mapReduce() function can run limited JavaScript code, allowing potential extraction of data from the database if the application uses these in a vulnerable way.
How can you extract data character by character in MongoDB?|By using JavaScript functions in queries with the $where operator, such as testing if the first character of a password matches a specific character, then iterating through all possible characters.
How can you identify field names in MongoDB without guessing?|By submitting payloads that test whether fields exist, comparing responses for known existing fields versus non-existent fields. You can also use NoSQL operator injection to extract field names character by character.
How can the keys() method be used in NoSQL injection?|If you've injected an operator that enables JavaScript execution, you can use the keys() method to extract the name of data fields character by character.
How can the $regex operator be used for data extraction?|The $regex operator can be used to extract data character by character without running JavaScript, for example checking if a password begins with a specific character using {"username":"admin","password":{"$regex":"^a*"}}.
What is timing-based NoSQL injection?|When triggering a database error doesn't cause a response difference, you can use JavaScript injection to trigger a conditional time delay. By inserting timing-based payloads that cause intentional delays, you can detect successful injection.
How can you prevent NoSQL injection attacks?|Sanitize and validate user input using an allowlist of accepted characters, insert user input using parameterized queries instead of concatenating it directly into queries, and apply an allowlist of accepted keys to prevent operator injection.
