What does file encryption support that full-disk encryption does not?|File encryption protects individual files in motion and effectively supports multiuser scenarios, while full-disk encryption is easier to deploy but doesn't provide these protections.
What type of certificate handles multiple subdomains with a single certificate?|Wildcard certificates are used to handle multiple subdomains with a single certificate.
What does gap analysis consider?|Gap analysis considers control objectives and the controls that are intended to meet the objectives.
What is the primary concern when considering an application restart in production environments?|Downtime is the primary concern when considering an application restart in most production environments.
What tools do organizations use to build repositories for version control?|Organizations frequently use tools like git to build repositories that support their need for version control.
What is key stretching?|Key stretching makes potentially weak keys more resistant to brute-forcing and often involves using a hash or block cipher repeatedly to make the original value harder to crack.
What are operational controls?|Operational controls like log monitoring, change management processes, and vulnerability management are put in place to support managing and using technology in a secure manner.
Why is encrypting password plain text not a common technique?|Since the application would need the cryptographic key to read the passwords, anybody who had access to that key could decrypt the passwords.
What are Diffie-Hellman and RSA?|Both Diffie-Hellman and RSA are key exchange algorithms designed to securely allow key exchange between users or systems that have not previously communicated.
What do backout plans document?|Backout plans document what to do to return to a state prior to the change being made and are designed to be implemented if the change fails.
What does an extended outage window impact in the CIA triad?|An extended outage window will impact the availability of applications and services.
What are bollards used for?|Bollards are used to protect infrastructure and structures, and they are usually concrete or steel posts, planters, or similar structures that are intended to prevent a vehicle from impacting what they protect.
What type of control prevents sensitive data from being sent outside the organization?|This is a preventive control that is intended to prevent sensitive data from being sent outside the organization.
What type of control are policies and procedures?|Policies and procedures are examples of directive control that inform employees and others of what they should do to achieve security objectives.
What type of control monitors for changes?|A solution that monitors for changes is a detective control.
What does zero trust design implement?|Zero trust designs implement continuous verification, which is an effective control used to limit the threat scope of compromised credentials.
What does tokenization do?|Tokens replace data with a value that is linked specifically to the data, allowing it to be referenced and used without the field being exposed.
How does public key encryption work?|The sender uses the receiver's public key to encrypt the message, then the receiver uses their private key to decrypt the message.
What should organizations do if a certificate may have been breached?|Organizations should immediately revoke the certificates and place them on a certificate revocation list (CRL), then replace the certificates with new certificates.
When are attackers unlikely to compromise a system?|Attackers are unlikely to be able to compromise a system or service while it is offline.
Why is version control important?|Version control is important to ensure that the current and correct version of an application or component is deployed.
What do version control systems provide?|Version control systems track versions with features like atomic operations, file locking, and tagging and labeling to help developers track files and versions.
What advantage do security guards offer?|Security guards offer the most flexibility when organizations need intelligence and reasoning to be applied to security events and unexpected needs.
What encryption provides the most security for a device that is locked or off?|Full-disk encryption provides the most security in situations like this if the device is locked or off.
What challenge exists with using allow lists for websites?|In most organizations attempting to use an allow list for websites will take up a lot of time to manage.
Who typically builds backout plans?|Administrators and system owners typically build backout plans.
What is a TPM?|A TPM, or trusted platform module, is a hardware-based cryptographic processor that is used to generate, store, and manage cryptographic keys and help ensure platform integrity.
What is OCSP used for?|The Online Certificate Status Protocol (OCSP) is used to validate certificate status, including checking to see if the certificate is on a certificate revocation list (CRL).
What does a root of trust-based secure boot process do?|A root of trust-based secure boot process validates each signed component as it starts and ensures that the trusted components are all loaded as part of the boot process.
What type of control is deployed when patching cannot be applied?|A compensating control is deployed since controls like patching, configuration, or updates cannot be applied.
What is a secure enclave?|Apple devices use a specialized, separate coprocessor that uses encrypted memory and storage as well as dedicated cryptographic functions called a secure enclave.
What are SOPs?|Standard operating procedures (SOPs) are an organization's normal processes that it uses to ensure consistent practices on an ongoing basis.
What are common types of database encryption?|Transparent data encryption, field-level, and column-level encryption are all common types of database encryption.
What does gap analysis focus on?|Gap analysis focuses on reviewing a security program against common best practices to identify where gaps between practices exist.
What type of control is video surveillance?|Video surveillance is a detective control and is useful for detecting security events after they have happened.
What are honeypots designed for?|Honeypots are designed to appear vulnerable and are heavily instrumented to capture attacker techniques and tools, allowing for analysis by defenders.
How can logs be verified for integrity and nonrepudiation?|Calculating a cryptographic hash allows the log's hash to be compared against copies, and digitally signing the hash ensures it can be verified to be original and provides nonrepudiation.
What sensors are commonly used in open spaces?|Infrared sensors are commonly used in open spaces and are well suited to detecting individuals.
What are certificates commonly used to identify?|Certificates are commonly used to identify both individuals and systems.
What are common dependencies for applications and services?|Database and network connectivity, authentication system access, and network time availability are all common dependencies that must be considered when making changes.
What does a policy engine do?|Policy engines decide whether to grant access to resources based on policies created by administrators and data provided by security tools.
What is not typically updated in change management?|Contracts tend to be updated as part of a contract renewal process, not as part of a change management process related to technical change.
What can cause unexpected interactions in change windows?|Patching and other technical changes may lead to unexpected interactions or dependency changes that are not accounted for in the original change window.
What are characteristics of blockchain ledgers?|Blockchain ledgers are immutable—they cannot be changed after they are recorded, and they are shared, which means that each participant has access to the entire ledger.
What is a certificate signing request?|A certificate signing request is created to submit to a certificate authority (CA) to obtain a certificate.
What is a maintenance window?|Preplanned times when maintenance is done and outages may occur is known as a maintenance window.
What helps assess the impact of a change?|An estimate of the downtime expected as part of the change will help assess the impact of the change on business operations.
How can organizations get accurate time estimates for changes?|Organizations often perform changes in a test environment to allow accurate time estimates and to determine if there are issues with the change.
What does symmetric encryption use?|Symmetric encryption uses the same key for all participants in an exchange.
Why does asymmetric encryption make key exchange possible?|Asymmetric encryption makes key exchange possible because public keys can be shared without causing a loss of cryptographic security or repudiation.
What is a TPM used to validate?|A TPM is used to validate secure boot processes.
What is steganography?|Steganography is the art of hiding additional data in images.
What is SAML used for?|SAML is the Security Assertion Markup Language, used to exchange authentication and authorization data between identity providers and service providers.
What is record-level encryption associated with?|Record-level encryption is commonly associated with databases, where it is used to encrypt each record with a unique encryption key.
What is key escrow?|Key escrow is a process where encryption keys are retained by the organization in case files need to be accessed by someone with proper authority.
What are certificates used for in AAA systems?|Certificates are commonly used for system authentication in AAA systems.
What are honeyfiles?|Honeyfiles are files that are intentionally made to look attractive while being configured for detection by data loss prevention and intrusion prevention/detection systems.
What type of control is lighting?|Lighting is a deterrent control type and would typically be categorized as a physical control.
What is the cost characteristic of controls requiring constant human presence?|Any control that requires constant human presence like security guards is likely to have a higher ongoing cost than controls that operate without human intervention.
What is the current secure hashing standard?|SHA-256 is the current, secure hashing standard.
What type of control are policies directing response to compromised accounts?|Policies are examples of directive controls.
What is RADIUS commonly used for?|RADIUS is commonly used for AAA for network devices.
What are not typically part of a zero-trust policy engine feed?|Physical security sensors are not typically part of a zero-trust policy engine feed, as zero-trust environments primarily focus on network and systems access.
What is a policy enforcement point?|A policy enforcement point consists of agent and resource-side elements that validate trust by requiring authentication and authorization before allowing access to a resource.
What does the NIST Zero Trust Maturity Model assess?|Identity, devices, networks, applications and workloads, and data are all assessed as part of the NIST Zero Trust Maturity Model.
What is OpenID used for?|OpenID is an open standard for decentralized authentication that is used by many cloud service providers.
What are corrective controls?|Corrective controls attempt to remediate security issues that have already occurred, such as patching a flaw that allowed an attack to succeed.
What does symmetric encryption not support?|Symmetric encryption does not support nonrepudiation because both parties have the same key.
What is a KMS?|A KMS, or key management system, is a solution that allows you to safely store and manage secrets like keys and certificates.
What does data masking do?|Data masking conceals elements of a data field or entry, preventing all of it from being seen but leaving it accessible through the database when masking is not used.
Who controls a decentralized blockchain?|In a decentralized blockchain, no individual or group controls the blockchain.
What advantage do subordinate CAs provide?|Subordinate CAs avoid the cost of maintaining a root CA while providing control over certificates that are issued and allowing specialized support for different types of certificates.
What can pressure sensors detect?|Pressure sensors can be deployed to detect footsteps in a secured area.
What type of control are firewalls?|Firewalls are a technical control, not a managerial control.
What do third-party certificates allow?|Third-party certificates allow customers to have full control over the certificate, including the private key, and encrypted traffic cannot be decrypted by the cloud provider.
What does disk encryption ensure?|Disk encryption is commonly used to ensure confidentiality of data.
