What are file upload vulnerabilities?|When a web server allows users to upload files to its filesystem without sufficiently validating things like their name, type, contents, or size. This could allow uploading arbitrary and potentially dangerous files, including server-side script files that enable remote code execution.
What are the two key factors that determine the impact of file upload vulnerabilities?|Which aspect of the file the website fails to validate properly (size, type, contents, etc.), and what restrictions are imposed on the file once it has been successfully uploaded.
What is a web shell?|A malicious script that enables an attacker to execute arbitrary commands on a remote web server simply by sending HTTP requests to the right endpoint. If successfully uploaded, it effectively grants full control over the server.
Why do file upload vulnerabilities arise?|Developers implement validation that is either inherently flawed or can be easily bypassed. They may blacklist dangerous file types but fail to account for parsing discrepancies, or check properties that can be easily manipulated, or apply validation inconsistently across the network.
How do web servers determine if a file should be executed?|The server parses the path in the request to identify the file extension, then uses this to determine the file type by comparing it to preconfigured mappings between extensions and MIME types. If the file type is executable and the server is configured to execute it, it will run the script.
What happens when a server receives a request for an executable file type it's not configured to execute?|It will generally respond with an error. However, in some cases, the contents of the file may still be served to the client as plain text, which can be exploited to leak source code and other sensitive information.
What is flawed file type validation in file uploads?|When websites attempt to validate file uploads by checking that the input-specific Content-Type header matches an expected MIME type. If the server implicitly trusts this header without checking if the contents actually match the MIME type, this can be easily bypassed.
How can you bypass restrictions on file execution in user-accessible directories?|If you can find a way to upload a script to a different directory that's not supposed to contain user-supplied files, the server may execute your script. Configuration often differs between directories, with upload directories having stricter controls.
Why is blacklisting dangerous file extensions flawed?|It's difficult to explicitly block every possible file extension that could be used to execute code. Blacklists can sometimes be bypassed by using lesser known alternative file extensions that may still be executable, such as .php5 or .shtml.
How can you override server configuration to execute uploaded files?|Many servers allow directory-specific configuration files. You may be able to upload your own malicious configuration file (like .htaccess for Apache or web.config for IIS) to trick the server into mapping an arbitrary custom file extension to an executable MIME type.
What are some techniques for obfuscating file extensions?|Provide multiple extensions, add trailing characters (whitespaces, dots), use URL encoding for dots and slashes, add semicolons or null byte characters before the extension, use multibyte unicode characters, or position prohibited strings so removing them leaves a valid extension.
How can validation of file contents be bypassed?|Using tools like ExifTool, you can create a polyglot file (like a JPEG) containing malicious code within its metadata. The file will have valid headers/footers and properties (like dimensions) that pass validation, but also contain executable code.
What are file upload race conditions?|When websites upload files directly to the filesystem and then remove them if they don't pass validation. For the short time the file exists on the server (possibly milliseconds), an attacker can potentially execute it before it's removed.
How can race conditions occur in URL-based file uploads?|The server fetches the file over the internet and creates a local copy before validation. If the randomized temporary directory name is generated using pseudo-random functions, it can potentially be brute-forced. Uploading larger files extends the processing time, lengthening the window for attack.
How can file upload vulnerabilities be exploited without remote code execution?|By uploading malicious client-side scripts (HTML files or SVG images with script tags for stored XSS), or by exploiting vulnerabilities in the parsing of different file formats (like XXE injection in XML-based files).
What is the PUT method vulnerability in file uploads?|Some web servers may be configured to support PUT requests. If appropriate defenses aren't in place, this can provide an alternative means of uploading malicious files even when an upload function isn't available via the web interface.
How can you prevent file upload vulnerabilities?|Check file extension against a whitelist (not blacklist), ensure filename doesn't contain directory traversal sequences, rename uploaded files to avoid collisions, don't upload to permanent filesystem until fully validated, and use an established framework for preprocessing file uploads.
