What is a universal query in GraphQL?|A query that works on any GraphQL endpoint. Sending query{__typename} will include the string {"data": {"__typename": "query"}} in its response because every GraphQL endpoint has a reserved field called __typename that returns the queried object's type as a string.
What are common GraphQL endpoint locations?|/graphql, /api, /api/graphql, /graphql/api, /graphql/graphql. If these don't work, try appending /v1 to the path.
What request methods should be tested when finding GraphQL endpoints?|While best practice is for production GraphQL endpoints to only accept POST requests with application/json content-type, some endpoints may accept alternative methods like GET requests or POST requests with x-www-form-urlencoded content-type.
What are unsanitized arguments in GraphQL?|When the API uses arguments to access objects directly, it may be vulnerable to access control vulnerabilities like insecure direct object references (IDOR), where a user could access information they shouldn't have by supplying an argument corresponding to that information.
What is introspection in GraphQL?|A built-in GraphQL function that enables you to query a server for information about the schema by querying the __schema field. It helps understand how to interact with a GraphQL API but can also disclose potentially sensitive data.
What is the purpose of a full introspection query?|To get as much information on the underlying schema as possible, including full details on all queries, mutations, subscriptions, types, and fragments.
What should you do if a full introspection query doesn't run?|Try removing the onOperation, onFragment, and onField directives from the query structure, as many endpoints do not accept these directives as part of an introspection query.
What is a GraphQL visualizer?|An online tool that takes the results of an introspection query and produces a visual representation of the returned data, including the relationships between operations and types, making it easier to understand complex schemas.
What are suggestions in GraphQL?|A feature of the Apollo GraphQL platform where the server can suggest query amendments in error messages when a query is slightly incorrect but still recognizable, effectively giving away valid parts of the schema.
What is Clairvoyance?|A tool that uses suggestions to automatically recover all or part of a GraphQL schema, even when introspection is disabled, making it less time consuming to piece together information from suggestion responses.
How can you bypass GraphQL introspection defenses?|Insert a special character like spaces, new lines, or commas after the __schema keyword, as they are ignored by GraphQL but not by flawed regex. Also try alternative request methods like GET or POST with x-www-form-urlencoded content-type.
What are aliases in GraphQL?|A feature that enables you to explicitly name properties so you can bypass the restriction that GraphQL objects can't contain multiple properties with the same name, allowing you to return multiple instances of the same type of object in one request.
How can aliases be used to bypass rate limiting?|Many rate limiters work based on the number of HTTP requests received rather than operations performed. Since aliases enable you to send multiple queries in a single HTTP message, they can bypass rate limiting restrictions.
How do CSRF vulnerabilities arise over GraphQL?|When a GraphQL endpoint does not validate the content type of requests sent to it and no CSRF tokens are implemented. GET requests or POST requests with x-www-form-urlencoded content-type can be sent by a browser, potentially leaving users vulnerable.
Why are POST requests with application/json content-type secure against CSRF?|As long as the content type is validated, an attacker wouldn't be able to make the victim's browser send this request even if the victim were to visit a malicious site.
How can you prevent GraphQL attacks in production?|Disable introspection if API is not public, review schema to ensure no unintended fields are exposed if introspection must be enabled, disable suggestions, and ensure schema doesn't expose private user fields like email addresses or user IDs.
How can you defend against GraphQL brute force attacks?|Limit query depth, configure operation limits for maximum unique fields/aliases/root fields, configure maximum bytes a query can contain, and consider implementing cost analysis to identify resource costs of queries.
What measures prevent CSRF over GraphQL?|Ensure the API only accepts queries over JSON-encoded POST, validate that content provided matches the supplied content type, and implement a secure CSRF token mechanism.
What is query depth in GraphQL?|The number of levels of nesting within a query. Heavily-nested queries can have significant performance implications and provide opportunities for DoS attacks if accepted.
What is cost analysis in GraphQL?|A process whereby a library application identifies the resource cost associated with running queries as they are received. If a query would be too computationally complex to run, the API drops it.
