What is Kerberos and why was it introduced? | A ticket-based domain authentication protocol that replaced NTLM as the default since Windows Server 2000 — it allows principals to access services without re-providing passwords and assumes no transport encryption on the network
What are the three sub-components of the Key Distribution Center (KDC)? | A database of all principals and their secrets (password hashes), an Authentication Server (AS), and a Ticket Granting Server (TGS) — in Windows, domain controllers act as the KDC
What is a TGT and what is its purpose? | A Ticket Granting Ticket issued to a principal after their identity is verified by the AS — it enables single sign-on by allowing the principal to request service tickets without re-entering their password
What is a Service Principal Name (SPN)? | A unique identifier for a service instance, typically in the format class/instance:port — used by Kerberos to look up which account a service runs under
What is the Privileged Attribute Certificate (PAC)? | A structure attached to Kerberos tickets that contains additional information about a principal from Active Directory, including their RID, group memberships, and UAC flags — used by services to determine access without querying AD directly
What is Kerberos pre-authentication and why does it exist? | A mechanism requiring the client to prove identity before receiving a TGT — the client encrypts a timestamp using a key derived from their password, preventing offline brute-forcing of AS-REP responses by requiring knowledge of the password upfront
What encryption is used by default for Kerberos pre-authentication? | AES256 salted with the principal's username and the Kerberos realm name — older Windows versions use RC4 by default
What is an AS-REQ and what does it contain? | A Kerberos Authentication Service Request sent to the KDC to obtain a TGT — contains the principal's name, the Kerberos realm, the target service name (always krbtgt for TGTs), and supported encryption types
How is a TGT structured in terms of encryption? | It contains two copies of the logon session key — one encrypted with the KDC's krbtgt secret (inside the TGT), and one encrypted with the principal's secret (inside the AS-REP's EncASRepPart)
What part of the AS-REP is cracked in AS-REP Roasting? | The EncASRepPart — the portion encrypted with the principal's secret that contains the logon session key, cracked to recover the user's plaintext password
What is a TGS-REQ and what does it contain? | A Ticket Granting Service Request sent to the KDC to obtain a service ticket — contains the SPN of the target service, the principal's TGT, and an authenticator encrypted with the logon session key
What is the authenticator in a TGS-REQ and what is its purpose? | An encrypted value proving the TGS-REQ is from the legitimate principal — it is encrypted with the logon session key which was never transmitted in the clear, preventing replay attacks from intercepted AS-REPs
