What is the difference between server-side and client-side attacks? | Server-side attacks target the application or service provided by a server, while client-side attacks take place at the client's machine (like XSS targeting web browsers)

What are the four main classes of server-side vulnerabilities discussed? | Server-Side Request Forgery (SSRF), Server-Side Template Injection (SSTI), Server-Side Includes (SSI) Injection, and eXtensible Stylesheet Language Transformations (XSLT) Server-Side Injection

What is Server-Side Request Forgery (SSRF)? | A vulnerability where an attacker can manipulate a web application into sending unauthorized requests from the server, often occurring when applications make HTTP requests based on user input

What are the potential consequences of SSRF vulnerabilities? | Access to internal systems, bypassing firewalls, retrieving sensitive information, and accessing restricted endpoints

What URL schemes are commonly used in SSRF exploitation? | http:// and https:// for HTTP/S requests, file:// for reading local files (LFI), and gopher:// for sending arbitrary bytes to specified addresses

What is the gopher protocol used for in SSRF attacks? | To send arbitrary bytes to a TCP socket, enabling attackers to create POST requests and communicate with various services like SMTP servers or databases

What is Server-Side Template Injection (SSTI)? | A vulnerability that occurs when an attacker can inject template code into a template that is later rendered by the server, potentially leading to data leakage or remote code execution

What is the test string commonly used to identify SSTI vulnerabilities? | ${{<%[%'"}}%\. - This contains special characters that have semantic meaning in popular template engines and should cause an error if SSTI is present

How do you identify which template engine is being used in SSTI? | Start with payload ${7*7}, then follow a decision tree based on results. If it doesn't execute, try {{7*7}}. If that executes, try {{7*'7'}} - Jinja returns 7777777 while Twig returns 49

What are Server-Side Includes (SSI)? | A technology used by web applications to create dynamic content on HTML pages, supported by web servers like Apache and IIS

What file extensions typically indicate SSI usage? | .shtml, .shtm, and .stm, though web servers can be configured to support SSI in any file extension

What is SSI Injection? | Occurs when an attacker can inject SSI directives into a file that is subsequently served by the web server, resulting in execution of the injected directives

What is XSLT? | eXtensible Stylesheet Language Transformation - a language that enables transformation of XML documents by selecting specific nodes and changing XML structure

What is XSLT Injection? | Occurs when user input is inserted into XSL data before output generation by the XSLT processor, allowing attackers to inject additional XSL elements

What is blind SSRF? | An SSRF vulnerability where the response is not directly displayed to the attacker, significantly limiting exploitation vectors compared to non-blind SSRF

How can SSRF be prevented? | Implement whitelist validation for remote origins, restrict URL schemes/protocols, sanitize input, use firewall rules to prevent unexpected outgoing requests, and implement network segmentation

What is a template engine? | Software that combines pre-defined templates with dynamically generated data, commonly used by web applications to generate dynamic responses like shared headers/footers

How can SSTI be prevented? | Ensure user input is never fed into the template parameter of the rendering function, implement proper hardening by removing dangerous functions, or separate the execution environment from the web server

How can SSI Injection be prevented? | Validate and sanitize user input, configure web server to restrict SSI to particular file extensions/directories, and limit capabilities of SSI directives like disabling the exec directive

What makes template engines vulnerable to SSTI? | When user input is inserted into the template before the rendering function is called, or when user input from a first rendering becomes part of the template string in a second rendering process

