What is the Credential Access tactic (TA0006)? | An adversary attempts to steal authentication material including usernames, plaintext passwords, password hashes, and Kerberos tickets
Why is using legitimate credentials preferred over exploiting software vulnerabilities for lateral movement? | Leveraging legitimate credentials to access resources is less suspicious and often easier to perform than exploiting software vulnerabilities
What privilege level is required for most OS credential dumping techniques? | SYSTEM privileges on the target computer
How do browsers typically protect saved credentials? | They encrypt credentials using the Windows Data Protection API (DPAPI) and store them in a local SQLite database
Where do most Chromium-based browsers store their saved credentials database? | At %LOCALAPPDATA%\<vendor>\<browser>\User Data\Default\Login Data
Where specifically does Google Chrome store its saved credentials database? | At %LOCALAPPDATA%\Google\Chrome\User Data\Default\Login Data
What is the Windows Credential Manager? | A Windows feature that stores credentials the user has asked Windows to save, such as those for Remote Desktop connections
How are Windows Credential Manager credential blobs encrypted? | They are encrypted using a randomly-generated AES key, which is itself encrypted using the user's master DPAPI key
What is the process for manually decrypting a Windows Credential Manager blob? | Find which master DPAPI key was used, decrypt it using DPAPI, then use the decrypted key to decrypt the credential blob
What is the Microsoft BackupKey Remote Protocol (MS-BKRP) and how is it used in credential decryption? | A protocol that allows asking the domain controller to decrypt a user's DPAPI AES key — this works because DCs keep a backup copy of each user's master DPAPI key for emergencies
What privilege level is needed to decrypt Windows Credential Manager credentials using MS-BKRP? | Medium-integrity (standard user) context is sufficient
What is LSASS and why is it targeted for credential dumping? | The Local Security Authority Subsystem Service handles user authentication, password changes, and access token creation — it caches credentials in memory making it a high-value target
What is the Security Support Provider Interface (SSPI)? | Microsoft's implementation of the Generic Security Service API (GSSAPI), used to provide different authentication mechanisms for Windows
What are the five main Security Support Providers (SSPs) loaded by LSASS? | NTLM (for NTLM/NTLMv2 auth), Kerberos (for Kerberos v5), Digest (for LDAP and web auth), Schannel (for TLS/SSL via public key cryptography), and CredSSP (for Terminal Services and RDP single sign-on)
How are SSPs implemented in Windows? | Each SSP is implemented as a separate DLL loaded by LSASS at system startup, with each handling and storing credentials differently
What does the ! prefix do in Cobalt Strike's Mimikatz implementation? | It causes Mimikatz to elevate to SYSTEM before running the specified command — required for commands like lsadump::sam
What does the @ prefix do in Cobalt Strike's Mimikatz implementation? | It causes Mimikatz to impersonate Beacon's thread token before running the command — useful when impersonating users for commands that interact with remote resources like lsadump::dcsync
What does the logonpasswords Mimikatz command dump? | NTLM hashes for users that have recently authenticated to the computer (alias for sekurlsa::logonpasswords)
What are the two primary uses for NTLM hashes obtained from LSASS? | They can be cracked offline to recover plaintext passwords, or used directly with pass-the-hash attacks
What is the key OPSEC concern with dumping credentials from LSASS? | Security drivers can use the ObRegisterCallbacks kernel function to get notified when one process opens a handle to another process, generating detectable events such as Sysmon logs
What GrantedAccess mask is associated with LSASS credential dumping and what does it represent? | 0x1010, which corresponds to PROCESS_QUERY_LIMITED_INFORMATION combined with PROCESS_VM_READ — the minimum privileges required for reading process memory
What is the Security Account Manager (SAM) and what does it store? | A Windows database that stores usernames and password hashes for local accounts, kept across the HKLM\sam and HKLM\system registry hives
What is the practical significance of extracting SAM credentials across a domain? | If the local RID-500 Administrator account is enabled and uses the same password across all machines in the domain, a single cracked hash provides access to all of them
What are LSA Secrets? | Protected storage used by the Local Security Authority that commonly contains service account passwords, the machine's domain account password, and EFS encryption keys
Where are LSA Secrets stored? | They are cached in memory or stored directly in the HKLM\Security\Policy\Secrets registry hive, encrypted with a key stored in HKLM\Security\Policy
What are cached domain credentials (domain cached credentials)? | Cached logon information stored on Windows computers so domain users can log in even when a domain controller is not accessible, such as on laptops
What registry key controls how many domain logons are cached on a Windows computer? | CachedLogonCount in HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon
What is the default and maximum number of cached domain logons Windows stores? | The default is 10 and the maximum is 50 (minimum is 0)
What is the difference in cracking speed between NTLM hashes and AES256 Kerberos hashes? | NTLM hashes are dramatically faster to crack — a modern GPU benchmarks NTLM at ~140 GH/s versus only ~1375 kH/s for AES256 due to AES256 being salted
Why are AES256 Kerberos hashes slower to crack than NTLM hashes? | AES256 Kerberos hashes are salted, which significantly increases the computational cost per attempt compared to unsalted NTLM hashes
