What is an evasion attack in AI security?|An attack that manipulates inference-time inputs to cause a trained model to produce incorrect outputs, bypassing safeguards built into the training pipeline
What is the key difference between training-time and inference-time attacks?|Training-time attacks change what the model learns (like data poisoning), while inference-time attacks only change what the model sees when making predictions
What is transferability in adversarial machine learning?|The property where an adversarial example crafted against a surrogate model can often fool different production models, particularly when architectures or data are similar
How do evasion attacks differ between traditional ML and LLMs?|Traditional ML evasion targets fixed feature representations by manipulating statistics. LLM evasion uses prompt injection to manipulate the model's instruction-following behavior
What is the GoodWords attack?|An adversarial technique that exploits Naive Bayes classifiers by appending carefully selected legitimate words to spam messages to evade detection
What is the "naive" assumption in Naive Bayes that makes it vulnerable?|Conditional independence of features - the assumption that each word contributes independently to probability calculation
Why does the GoodWords attack work mathematically?|Because Naive Bayes uses additive log probabilities, adding good words shifts the probability balance toward ham without the model detecting semantic mismatch
What is the goodness score formula for word selection?|S(w) = P(w|ham) / (P(w|spam) + ε), where words with high scores appear frequently in legitimate messages but rarely in spam
How many good words typically achieve over 90% evasion in the attack?|Between 15 and 30 carefully selected good words achieve evasion rates over 90%
What is the key insight about individual word impact in GoodWords attacks?|No single word dominates - most contribute 2-4% reduction individually. Success requires orchestrated combination of multiple words through accumulation
What are the three phases of black-box GoodWords discovery?|Exploration (40% budget) for broad testing, Exploitation (40%) for refining top candidates, and Combination search (20%) for discovering synergies
What is the epsilon-greedy strategy in black-box attacks?|A selection algorithm that balances exploration (testing new words) with exploitation (using known good words) by randomly exploring a fixed percentage of the time
What is the Upper Confidence Bound (UCB) formula purpose?|UCB = average_reward + c*sqrt(ln(t)/n_w) combines exploitation (average reward) with exploration bonus (uncertainty about rarely-tested words)
Why does the UCB exploration bonus use a square root?|The square root creates a confidence interval reflecting uncertainty about rarely-tested words, which shrinks as testing frequency increases
What does exponential moving average do in score updates?|Smoothly updates word effectiveness beliefs by giving new observations partial weight (e.g. 30%) while retaining historical data (70%), preventing overreaction to outliers
What is synergy in word combinations?|When word pairs or triplets achieve greater spam probability reduction together than the sum of their individual impacts
Why does black-box discovery sometimes find more impactful words than white-box?|White-box measures theoretical ham-association from training data, while black-box measures empirical impact on real spam messages through actual probability shifts
What query budget allocation does the three-phase algorithm use?|40% exploration, 40% exploitation, 20% combination discovery (e.g., 400-400-200 for 1000 queries)
What is the typical effectiveness comparison between white-box and black-box attacks?|Query-constrained black-box attacks achieve approximately 85-95% of white-box attack effectiveness
What is the decision boundary threshold for successful evasion?|When ham probability exceeds spam probability (> 0.5), the message evades detection regardless of confidence magnitude
Why do good words need minimum frequency thresholds?|Words appearing frequently in legitimate messages signal common communication patterns the classifier learned as ham indicators, while rare words may be flukes or artifacts
What is the purpose of the length filter (3-9 characters) in vocabulary building?|Removes uninformative short tokens (stopwords like "a", "to") and artifacts (URLs, phone numbers) while retaining meaningful conversational words
Why does the attack use log space for probability calculations?|Multiplying thousands of tiny probabilities causes numerical underflow around 10^-308. Logarithms transform multiplication into stable addition
What percentage reduction does adding 10 good words typically achieve?|Approximately 30-40 percentage points reduction in spam probability
