What is Splunk? | A highly scalable, versatile, and robust data analytics software solution known for its ability to ingest, index, analyze, and visualize massive amounts of machine data. It can drive cybersecurity, compliance, data pipelines, IT monitoring, observability, and overall IT and business management initiatives.
What are the main components of Splunk Enterprise architecture? | Forwarders (data collection), Indexers (receive and store data in indexes, process search queries), Search Heads (coordinate search jobs and provide user interface), Deployment Server (manages forwarder configuration), Cluster Master (coordinates indexer activities), and License Master (manages licensing).
What is a Universal Forwarder in Splunk? | A lightweight agent that collects data and forwards it to Splunk indexers without any preprocessing. Can be easily installed on remote sources without significantly affecting network or host performance.
What is a Heavy Forwarder in Splunk? | An agent that collects data from remote sources, especially for intensive data aggregation assignments. It parses data before forwarding, can route data based on specific criteria, and can index data locally while simultaneously forwarding it to another indexer.
What are HTTP Event Collectors (HECs) in Splunk? | Components available for directly collecting data from applications in a scalable manner using token-based JSON or raw API methods. Data is sent directly to the Indexer level for further processing.
What do Indexers do in Splunk? | Receive data from forwarders, organize it, and store it in indexes. Generate sets of directories categorized by age containing compressed raw data and corresponding indexes pointing to raw data. Also process search queries from users and return results.
What are Search Heads in Splunk? | Components that coordinate search jobs, dispatch them to indexers, merge results, and provide an interface for users to interact with Splunk. Knowledge Objects can be crafted here to extract supplementary fields and manipulate data without modifying original index data.
What are Knowledge Objects in Splunk? | Fields, tags, event types, lookups, macros, data models, and alerts that enhance data in Splunk, making it easier to search and analyze without modifying the original indexed data.
What is the difference between Splunk Apps and Add-ons? | Apps provide specific functionalities within Splunk and enable multiple workspaces on a single instance for different use cases and user roles. Add-ons extend capabilities or integrate with other systems and serve as an abstraction layer for data collection methods with relevant field extractions.
What is SPL? | Search Processing Language - a language containing over a hundred commands, functions, arguments, and clauses. It's the backbone of data analysis in Splunk, used for searching, filtering, transforming, and visualizing data.
What does the fields command do in SPL? | Specifies which fields should be included or excluded in search results. Can use minus sign to exclude specific fields from results.
What does the table command do in SPL? | Presents search results in a tabular format with specified fields as columns, making data easier to read and analyze.
What does the rename command do in SPL? | Renames a field in the search results, allowing for more descriptive or standardized field names in output.
What does the dedup command do in SPL? | Removes duplicate events based on specified fields. If the same value appears multiple times in the specified field, it will appear only once in results.
What does the sort command do in SPL? | Sorts search results based on specified fields. Can sort in ascending or descending order using plus or minus signs.
What does the stats command do in SPL? | Performs statistical operations on data, such as counting, averaging, or finding unique values. Results are grouped by specified fields.
What is the difference between stats and chart commands? | Stats creates a table where each row represents unique combinations of specified fields. Chart creates a visualization where one field becomes rows, another becomes columns, and cell values show the statistical measure, making it easier to visualize data over time.
What does the eval command do in SPL? | Creates or redefines fields using expressions and functions. Can perform calculations, string manipulations, and conditional logic to create new fields or modify existing ones.
What does the rex command do in SPL? | Extracts new fields from existing ones using regular expressions. Useful for parsing unstructured data and creating structured fields from raw text.
