What is path traversal (directory traversal)?|A vulnerability that enables an attacker to read arbitrary files on the server that runs the application, including application code and data, credentials for backend systems, and sensitive operating system files.
What types of files can be read with path traversal vulnerabilities?|Application code and data, credentials for backend systems, and sensitive operating system files. In some cases, attackers can also write files.
How does a basic path traversal attack work?|An attacker uses the sequence ../ to step up directory levels. For example, ../../../etc/passwd steps up from /var/www/images/ to the filesystem root to read /etc/passwd.
What are valid directory traversal sequences on Windows?|Both ../ and ..\ are valid directory traversal sequences on Windows systems.
What is access control?|The application of constraints on who or what is authorized to perform actions or access resources. It depends on authentication and session management.
What are the three key components of access control?|Authentication (confirms user identity), Session management (identifies subsequent requests from the same user), and Access control (determines if user can perform the attempted action).
What is vertical privilege escalation?|When a user gains access to functionality they are not permitted to access, such as a non-administrative user accessing an admin page where they can delete user accounts.
What is unprotected functionality in access control?|When an application does not enforce any protection for sensitive functionality, allowing any user to access administrative functions by browsing to the relevant URL.
How might sensitive functionality URLs be disclosed?|In the robots.txt file, in JavaScript that constructs the user interface, or attackers may use wordlists to brute-force the location.
What is security by obscurity in access control?|Concealing sensitive functionality by giving it a less predictable URL, which is ineffective because the URL may still be leaked in JavaScript or other locations.
What are parameter-based access control methods?|When applications determine user access rights at login and store this information in user-controllable locations like hidden fields, cookies, or query string parameters.
Why are parameter-based access control methods insecure?|Users can modify the values (like admin=true or role=1) to access functionality they're not authorized to use.
What is horizontal privilege escalation?|When a user gains access to resources belonging to another user instead of their own resources of that type, such as accessing other employees' records.
What is an IDOR (Insecure Direct Object Reference)?|A vulnerability where user-controlled parameter values are used to access resources or functions directly, allowing attackers to modify parameters to access other users' data.
How can horizontal privilege escalation lead to vertical privilege escalation?|By compromising a more privileged user's account (like resetting an admin's password), an attacker can gain administrative access and perform vertical privilege escalation.
What is the difference between authentication and authorization?|Authentication verifies that a user is who they claim to be. Authorization verifies whether a user is allowed to do something.
What is a brute-force attack?|When an attacker uses trial and error to guess valid user credentials, typically automated using wordlists of usernames and passwords.
Why are brute-force attacks more effective than random guessing?|Attackers use basic logic and publicly available knowledge to make educated guesses, such as recognizing username patterns like firstname.lastname@company.com.
What are common predictable usernames for high-privileged accounts?|admin or administrator are commonly used for high-privileged accounts.
How do password policies affect brute-force attacks?|While high-entropy passwords are harder to crack, users often modify memorable passwords to fit policies (like Mypassword1! or Myp4$$w0rd), making them predictable.
What is username enumeration?|When an attacker observes changes in a website's behavior to identify whether a given username is valid, reducing the time needed to brute-force login.
Where does username enumeration typically occur?|On login pages when entering a valid username with incorrect password, or on registration forms when entering a username that's already taken.
How can two-factor authentication be bypassed?|If the website doesn't check whether the second authentication step was completed before loading protected pages, attackers can directly skip to logged-in pages after the first step.
What is Server-Side Request Forgery (SSRF)?|A web security vulnerability that allows an attacker to cause the server-side application to make requests to an unintended location.
What can attackers achieve with SSRF attacks?|They can make the server connect to internal-only services within the organization's infrastructure or arbitrary external systems, potentially leaking sensitive data like authorization credentials.
How does an SSRF attack against the server work?|The attacker causes the application to make an HTTP request back to the server via its loopback interface (127.0.0.1 or localhost), bypassing normal access controls.
Why do applications trust requests from localhost?|Access control may be in a different component, disaster recovery may allow admin access from local machine without login, or the admin interface may listen on a different port.
What are SSRF attacks against back-end systems?|Attacks where the application server interacts with back-end systems with non-routable private IP addresses that are not directly reachable by users and often have weaker security.
What are file upload vulnerabilities?|When a web server allows users to upload files without sufficiently validating their name, type, contents, or size, potentially allowing dangerous files to be uploaded.
How do file upload vulnerabilities arise?|Developers implement flawed validation that can be bypassed, such as blacklisting file types but missing obscure extensions, or checking properties that can be easily manipulated.
What is a web shell?|A malicious script that enables an attacker to execute arbitrary commands on a remote web server by sending HTTP requests to the right endpoint.
What capabilities does a web shell provide?|Full control over the server, including reading and writing arbitrary files, exfiltrating sensitive data, and pivoting attacks against internal and external infrastructure.
What is flawed file type validation?|When servers only check the Content-Type header in multipart/form-data requests to validate file uploads, which can be easily manipulated using tools like Burp Repeater.
What is the multipart/form-data content type used for?|Sending large amounts of binary data like image files or PDF documents, as opposed to application/x-www-form-urlencoded which is for simple text.
What is OS command injection (shell injection)?|A vulnerability that allows an attacker to execute operating system commands on the server running an application, typically fully compromising the application and its data.
How can OS command injection be exploited?|By injecting shell command separators (like &) and additional commands into user-supplied input that is passed to shell commands without proper validation.
What is SQL injection (SQLi)?|A web security vulnerability that allows an attacker to interfere with the queries that an application makes to its database.
What can attackers achieve with SQL injection?|View data they shouldn't retrieve, modify or delete data, compromise the underlying server or back-end infrastructure, and perform denial-of-service attacks.
How can SQL injection be detected manually?|Submit single quote character and look for errors, submit SQL-specific syntax that evaluates to different values, use Boolean conditions, trigger time delays, or use OAST payloads.
How does the SQL comment indicator work in attacks?|The -- sequence is a comment indicator in SQL that causes the rest of the query to be ignored, allowing attackers to remove security restrictions like password checks.
What is the risk of using OR 1=1 in SQL injection?|While it may seem harmless, if the condition reaches an UPDATE or DELETE statement, it can result in accidental loss of data since 1=1 is always true.
How can SQL injection subvert application login logic?|By using the SQL comment sequence -- to remove the password check, allowing login as any user without a password.
