What is the lowest-cost, lowest-latency storage option for temporary data on EC2 that can be retrieved from elsewhere if lost?|EC2 instance store (directly attached to instance, no additional cost, lowest latency)
Can Amazon S3 be directly mounted to an EC2 instance?|No, S3 cannot be directly mounted to an EC2 instance
What fault-tolerance practice helps protect applications from a single point of failure in AWS?|Launching instances in multiple availability zones within the same region
What type of EBS volume is designed to deliver expected performance when attached to EBS-optimized instances?|Provisioned IOPS volumes
What happens to Elastic IP addresses that are not associated with a running instance?|A nominal charge is imposed for unassociated Elastic IP addresses
What AWS service improves application performance by retrieving data from high-throughput, low-latency in-memory data stores?|ElastiCache
What is SQS?|A messaging service (not a caching or performance service)
What is SNS?|A notification service (not a caching or performance service)
What is CloudFront?|A web distribution service that optimizes performance for GET request workloads and reduces direct S3 requests
Why is ElastiCache ideal for handling session state in web applications?|It allows you to abstract HTTP sessions from web servers using Redis and Memcached, improving performance
What caching strategy only loads data into the cache when necessary?|Lazy loading (avoids filling cache with unrequested data)
What is a recommended Lambda best practice regarding code structure?|Avoid using recursive code
What is the optimal method for uploading large objects to Amazon S3?|Multipart upload (enables uploading large objects in parts)
How can you optimize EC2 instance boot time?|Pre-bake dependencies into the base AMI so provisioning work doesn't have to be done on boot, and update AMIs periodically
What AWS service identifies unused or underutilized resources and provides cost reduction recommendations?|AWS Trusted Advisor
What is AWS CloudTrail used for?|Logging API calls (not cost optimization)
What is Amazon Inspector?|A security assessment service (not a cost optimization tool)
How does enforcing mandatory tagging help with cost optimization?|Allows tracking and managing resources by owner, environment, or project for cost allocation and optimization
What AWS service can enforce tagging policies on resources?|AWS Config rules
What is a cost-effective Auto Scaling strategy that provides significant savings while maintaining availability?|Auto Scaling Group with a mix of On-Demand and Spot Instances (Spot can cost as little as 10% of On-Demand prices)
Why shouldn't you use Spot Instances exclusively for production applications?|Risk of downtime if all Spot Instances are terminated simultaneously
What AWS feature automatically transitions S3 data between storage classes based on access patterns?|S3 lifecycle policies
Is S3 Standard appropriate for infrequently accessed data?|No, S3 Standard is for commonly used data with no particular discount
Is S3 Glacier appropriate for infrequently accessed data?|No, S3 Glacier is only suitable for archival purposes, not merely infrequent access
What AWS tool provides a detailed breakdown of your bill and shows cost changes over time?|AWS Cost Explorer
What do AWS Budgets help you do?|Set alerts to avoid being caught off-guard by unexpected charges
What do AWS Config rules help with regarding cost management?|Monitor compliance with predefined rules to catch unexpected changes that may affect costs
What type of Savings Plan offers up to 66% cost savings with flexibility across EC2, Fargate, and Lambda?|Compute Savings Plans (flexible across instance families, types, and regions)
Do Convertible Reserved Instances extend to ECS or Lambda?|No, they only apply to EC2 instances (not ECS deployments or Lambda)
What is the main limitation of Spot Instances?|They are not guaranteed and are best for fault-tolerant tasks only
What is the trade-off of using On-Demand Instances?|They offer flexibility but at a higher cost compared to Savings Plans
Why should you avoid certain HTTP headers in CloudFront requests?|Headers like Date or User-Agent reduce cache hit ratio, increasing load on origin and reducing performance
Where should bootstrapping configuration be placed for EC2 instances?|In instance user data (not instance metadata)
What is the benefit of using CloudFront with S3 for GET-heavy workloads?|Optimizes performance and reduces direct S3 requests, which lowers costs
