What database contains metadata about databases and tables present on MySQL servers? | INFORMATION_SCHEMA
What table in INFORMATION_SCHEMA contains information about all databases on the server? | SCHEMATA
What column in the SCHEMATA table contains database names? | SCHEMA_NAME
What are the three default MySQL databases that are usually ignored during enumeration? | mysql, information_schema, performance_schema
What table in INFORMATION_SCHEMA contains information about all tables throughout the database? | TABLES
What two columns in the TABLES table are most relevant for enumeration? | TABLE_NAME and TABLE_SCHEMA
What table in INFORMATION_SCHEMA contains information about all columns in all databases? | COLUMNS
What three columns in the COLUMNS table are useful for finding column information? | COLUMN_NAME, TABLE_NAME, and TABLE_SCHEMA
What MySQL function is used to read files from the server? | LOAD_FILE()
What privilege must a MySQL user have to read files? | FILE privilege
What are the three requirements to write files to a server using MySQL? | User with FILE privilege, secure_file_priv not restricting writes, write access to target location
What does an empty secure_file_priv value mean? | Files can be read/written from the entire file system
What does a NULL secure_file_priv value mean? | Cannot read/write files from any directory
What MySQL statement is used to write query results to files? | SELECT INTO OUTFILE
What are four methods to mitigate SQL injection? | Input sanitization, input validation, user privileges restriction, parameterized queries
What MySQL function can be used to escape special characters in user input? | mysqli_real_escape_string()
What type of firewall can detect and block SQL injection attempts? | Web Application Firewall (WAF)
Why should administrative/superuser accounts never be used with web applications? | They have excessive privileges that could lead to server compromise if exploited
What is the purpose of parameterized queries? | They use placeholders for input data which is then safely escaped by drivers
How can you determine what database you're currently connected to? | SELECT database()
What are common queries to find the current database user? | SELECT USER() or SELECT CURRENT_USER()
Where are MySQL global variables stored in INFORMATION_SCHEMA? | global_variables table
What is SQL injection?|A vulnerability where malicious users can inject SQL code into web application queries to execute unintended database operations
What are the three main steps an attacker needs for SQL injection?|1. Inject SQL code outside expected input limits 2. Execute a different SQL query 3. Retrieve the output from the new query
What character is commonly used to escape input limits in basic SQL injection?|Single quote (') or double quote (")
What is a DBMS?|Database Management System - software that helps create, define, host, and manage databases
What are the main features of a DBMS?|Concurrency, Consistency, Security, Reliability, and Structured Query Language support
What is the difference between relational and non-relational databases?|Relational databases use tables, rows, columns and schemas with SQL; Non-relational (NoSQL) databases use various storage models without fixed schemas
What does RDBMS stand for?|Relational Database Management System
What is a database schema?|The structure that defines the relationships between tables within a database
What are the four common NoSQL storage models?|Key-Value, Document-Based, Wide-Column, and Graph
What is a primary key?|A column or combination of columns that uniquely identifies each record in a table
What does the AUTO_INCREMENT property do?|Automatically increments a column value by one every time a new record is added
What does the NOT NULL constraint ensure?|That a particular column is never left empty - it's a required field
What does the UNIQUE constraint do?|Ensures that all values in a column are different - no duplicates allowed
What does the DEFAULT keyword specify?|The default value to use for a column if no value is provided during insertion
What is the difference between WHERE and HAVING clauses?|WHERE filters rows before grouping; HAVING filters groups after GROUP BY operations
What does the LIKE operator do?|Enables pattern matching in queries using wildcards like % and _
What does the % wildcard match?|Zero or more characters in a LIKE pattern
What does the _ wildcard match?|Exactly one character in a LIKE pattern
What are the three main logical operators in SQL?|AND, OR, and NOT
What is operator precedence in SQL?|The order in which operations are evaluated in complex expressions
