How do you typically gain initial access to a target network? | Through phishing, exploiting vulnerabilities, or leveraging misconfigurations
What are common methods for gaining initial access to a target network? | Phishing attacks, exploiting software vulnerabilities, brute-force attacks on authentication mechanisms, and social engineering
What is the difference between phishing and spear phishing? | Phishing is a generic deceptive email attack aimed at many targets; spear phishing is targeted at a specific individual or organization using personalized information
How can an attacker exploit vulnerable services to gain initial access? | By targeting known vulnerabilities in networked software such as unpatched operating systems, outdated software, or misconfigured internet-facing services
What is DHCP and what does it do? | Dynamic Host Configuration Protocol — automatically assigns IP addresses and other network configuration parameters to devices on a network
What is DNS and what does it do? | Domain Name System — translates human-readable domain names into IP addresses that computers use to communicate
What are the four layers of the TCP/IP model? | Application, Transport, Internet, and Network Interface
How does a VPN enhance network security? | It encrypts network traffic between a user's device and a VPN server, providing confidentiality and integrity over insecure networks
What is Active Directory? | A directory service developed by Microsoft for managing network resources including users, computers, and groups in a Windows domain environment
How are users and resources organized in Active Directory? | In a hierarchical domain structure that can contain organizational units (OUs) for further organization and delegation of administrative tasks
What is the difference between authentication and authorization in Active Directory? | Authentication verifies the identity of users/computers; authorization determines the permissions granted to authenticated users or groups
What are common Active Directory attack techniques? | Pass-the-hash, golden ticket attacks, and Kerberoasting
Why is Active Directory a prime target for attackers? | It centralizes authentication and authorization services, so controlling it means controlling the entire network
What is the difference between C and C++? | C is a procedural programming language; C++ is an object-oriented language that also supports procedural programming
What are pointers in C/C++? | Variables that store memory addresses, allowing direct manipulation of memory locations and efficient memory management
How is memory allocation managed in C vs C++? | In C, via malloc/free functions; in C++, often through constructors and destructors of objects
How can PowerShell be used in Red Team scenarios? | For reconnaissance, lateral movement, and payload execution through its powerful scripting capabilities
What are cmdlets in PowerShell? | Lightweight commands used for performing specific actions such as retrieving system information, managing files, or interacting with services
What are Windows Internals? | The inner workings of the Windows OS including its architecture, kernel components, system services, and data structures
