What is clickjacking?|An interface-based attack in which a user is tricked into clicking on actionable content on a hidden website by clicking on some other content in a decoy website.
How does clickjacking differ from CSRF?|Clickjacking requires the user to perform an action such as a button click, whereas CSRF depends upon forging an entire request without the user's knowledge or input.
Why don't CSRF tokens protect against clickjacking?|A target session is established with content loaded from an authentic website with all requests happening on-domain. CSRF tokens are passed to the server as part of a normally behaved session, but the process occurs within a hidden iframe.
How are clickjacking attacks constructed?|Clickjacking attacks use CSS to create and manipulate layers. The attacker incorporates the target website as an iframe layer overlaid on the decoy website using positioning, opacity, and z-index properties.
What is the purpose of opacity in clickjacking attacks?|The opacity value is defined as 0.0 or close to 0.0 so that the iframe content is transparent to the user, making the target website invisible while the decoy is visible.
What is the z-index used for in clickjacking?|The z-index determines the stacking order of the iframe and website layers, ensuring the invisible target iframe appears above or below the decoy content as needed.
What is Clickbandit?|A Burp tool that lets you use your browser to perform desired actions on a frameable page, then creates an HTML file containing a suitable clickjacking overlay, generating an interactive proof of concept in seconds.
What is clickjacking with prefilled form input?|Some websites permit prepopulation of form inputs using GET parameters. The target URL can be modified to incorporate values of the attacker's choosing, with the transparent submit button overlaid on the decoy site.
What are frame busting scripts?|Client-side protection through web browser that checks and enforces the current application window is the main window, makes frames visible, prevents clicking on invisible frames, and intercepts potential clickjacking attacks.
How can frame busting scripts be circumvented?|Using the HTML5 iframe sandbox attribute with allow-forms or allow-scripts values while omitting allow-top-navigation neutralizes frame buster scripts because the iframe cannot check if it is the top window.
How does the sandbox attribute defeat frame busters?|The allow-forms and allow-scripts values permit specified actions within the iframe but top-level navigation is disabled, inhibiting frame busting behaviors while allowing functionality within the targeted site.
What is combining clickjacking with DOM XSS?|Using clickjacking as a carrier for a DOM XSS attack by combining the XSS exploit with the iframe target URL so the user clicks on a button and executes the DOM XSS attack.
What is multistep clickjacking?|Attacker manipulation requiring multiple actions, such as adding items to a shopping basket before placing an order, implemented using multiple divisions or iframes requiring precision and care.
What is X-Frame-Options?|A response header that provides website owners with control over the use of iframes. It can prohibit framing with deny directive, restrict to same origin with sameorigin, or allow specific sites.
What are the limitations of X-Frame-Options?|Not implemented consistently across browsers. For example, the allow-from directive is not supported in Chrome version 76 or Safari 12.
What is Content Security Policy (CSP) for clickjacking?|A detection and prevention mechanism implemented as a return header that provides mitigation against attacks. The frame-ancestors directive controls which sites can frame the content.
What does frame-ancestors 'none' do?|Similar in behavior to X-Frame-Options deny directive, it prevents any site from framing the content.
What does frame-ancestors 'self' do?|Broadly equivalent to X-Frame-Options sameorigin directive, it restricts framing to the same domain only.
Why must CSPs be carefully developed?|To be effective against clickjacking and XSS, CSPs need careful development, implementation and testing, and should be used as part of a multi-layer defense strategy.
