What is the Artifact Kit in Cobalt Strike? | A collection of stage0 payload template source code for .exe, .svc.exe, and .dll payloads that operators can modify to evade anti-virus detections
What is the sole purpose of the payload artifact templates? | To take Beacon shellcode and inject it into memory — they are nothing more than shellcode injectors
Why are Cobalt Strike's default payload artifacts a prime target for anti-virus vendors? | They are often dropped to disk and remain identical across multiple CS deployments unless specifically modified by the operator
What files in the Artifact Kit src-main directory serve as the entry points for each payload type? | main.c for .exe, svcmain.c for .svc.exe, and dllmain.c for .dll templates
What are the bypass-*.c files in the Artifact Kit's src-common directory? | Anti-sandbox technique implementations that can be selected and built into the payload template
What does the Stack Spoof build option do in the Artifact Kit? | Enables a stack spoofing technique to hide the fact that shellcode is executing from an unbacked (non-module-mapped) region of memory
What syscall options are available when building Artifact Kit templates? | none, embedded, indirect, and indirect_randomized
Why should you avoid uploading custom artifacts to VirusTotal for testing? | It gives the artifact away to anti-virus vendors to analyse, potentially burning the evasion technique for future use
What is ThreatCheck and how is it used with artifacts? | A tool that splits a binary into small chunks and scans them with Windows Defender (cloud submission disabled) to identify the smallest byte sequence detected as malicious
What is Ghidra used for in the context of artifact evasion? | To load the artifact, disassemble it, and locate the specific code corresponding to the malicious byte offset identified by ThreatCheck, so it can be modified in the source
What is the Resource Kit in Cobalt Strike? | A collection of script-based payload templates (such as PowerShell) that operators can modify — analogous to the Artifact Kit but for scripts rather than compiled executables
What is AMSI? | The Windows Antimalware Scan Interface — a standard that allows applications and services to submit data to the installed anti-virus product for scanning
Is AMSI specific to Windows Defender? | No — AMSI is vendor-agnostic, meaning any third-party anti-virus product can register itself as an AMSI provider on installation
Which native Windows components are AMSI-aware? | User Account Control, PowerShell, Windows Script Host (wscript/cscript), JavaScript, VBScript, and Office VBA macros
What does AMSI actually do vs what the anti-virus does? | AMSI is only a vehicle to submit data for scanning — it is the anti-virus product that determines whether the data is malicious, not AMSI itself
What techniques are commonly used to bypass AMSI? | Memory patching or hardware breakpoints to either prevent AMSI from initialising properly or to intercept scan submissions and return a fake "no threat" response
Why is bypassing AMSI by patching it risky from an OPSEC perspective? | Many AMSI bypasses are themselves detected, or leave indicators that a blue team can find — modifying the script to remove detectable content is a more robust approach
What problem does RWX memory cause for Beacon's OPSEC? | Most native applications do not use PAGE_EXECUTE_READWRITE memory, so its presence is a red flag that can trigger memory scanning detections
What does setting stage.userwx to false in Malleable C2 cause Beacon's loader to do? | Allocate memory as PAGE_READWRITE first, copy Beacon in, then loop over each DLL section and apply appropriate final permissions — RX for .text, R for .rdata, RW for .data
What are Beacon's PE headers and why is their presence in memory a problem? | The DOS and NT headers loaded into memory alongside Beacon make it obvious a PE is running in that memory region — they are only needed during loading, not at runtime
What does setting stage.copy_pe_header to false do? | Prevents the prepended loader from copying Beacon's PE headers into memory, leaving only the .text and .data sections
What is module stomping (module overloading) in the context of Beacon? | A technique where the loader maps a legitimate PE from disk into memory and then overwrites it with Beacon, making Beacon's memory appear to be backed by a legitimate on-disk module
What requirement must be met when choosing a module for module stomping? | The chosen module must be large enough to accommodate Beacon — a module of at least 512KB from System32 is recommended
What are hardcoded strings in Beacon's .rdata section and why do they matter? | Literal strings in the PE (such as output format strings) that can be identified by memory scanners as indicators of a Beacon in memory
How can Beacon's hardcoded strings be modified for evasion? | Using the strrep command in the stage.transform-x64 or stage.transform-x86 blocks of a Malleable C2 profile to replace strings — the replacement must be equal or shorter in length
What is the critical constraint when replacing Beacon strings via Malleable C2? | The replacement string must be shorter than or equal in length to the original, and format specifiers must remain valid (e.g. %s for strings, %d for digits)
Why must strings like "HTTP/1.1 200 OK" not be replaced in Beacon's string table? | Beacon uses an internal web server for workflows like powershell-import — replacing these HTTP response strings makes responses non-compliant and breaks those post-exploitation features
What are the four classes of Beacon commands? | Housekeeping commands, API-only commands, inline commands (BOFs), and fork & run commands
What are API-only Beacon commands? | Commands built directly into Beacon that rely solely on native Windows APIs — examples include file operations, token manipulation, and process management
What are Beacon Object Files (BOFs) and how do they work? | Compiled C programs sent to Beacon as tasking data that execute inline within the Beacon session — once finished they are cleared from memory
Why are BOFs popular for extending Beacon functionality? | Because they are external programs that execute inside the Beacon process, they are the most common way to add custom commands without spawning new processes
What Malleable C2 block controls how BOFs and inline commands are loaded into memory? | The process-inject block
What is the fork & run execution pattern in Beacon? | Post-exploitation capabilities implemented as DLLs are injected (appended to a loader and turned into shellcode) into a target process, with output returned to Beacon over an SMB named pipe
What is the difference between Explicit and Spawn fork & run variants? | Explicit injects the post-ex capability into an already-running process; Spawn starts a new sacrificial process and injects into that
Why do fork & run commands carry the heaviest OPSEC burden? | They must inject shellcode, start a new thread, create a named pipe, and (for Spawn) also start a new sacrificial process — all of which generate detectable events
What is spawnto in Cobalt Strike? | A setting that controls which process is used as the sacrificial host process when Beacon uses the Spawn fork & run variant for post-exploitation commands
What is ppid spoofing in Cobalt Strike? | A technique where a newly spawned process is given a spoofed parent process ID, making it appear as a child of a different process in tools that inspect process trees
Why is it important to match the Beacon's host process to the C2 channel being used? | To avoid suspicious process relationships — for example an HTTP/S Beacon should run inside a process that legitimately makes outbound HTTP requests, such as a browser
What OPSEC problem arises when shell or run commands are run without ppid spoofing? | The spawned processes appear as children of the Beacon's host process, which can be highly suspicious — for example seeing msedge.exe spawn cmd.exe
What limitation exists for the spawnto directive when services create processes? | The post-ex.spawnto Malleable C2 directive cannot be used for service-based payloads because environment variables like %windir% are invalid in a SYSTEM context — an explicit path must be set via the Artifact Kit's ak-settings
