# Active Directory Penetration Testing Flashcards

What is Active Directory (AD)?|A directory service for Windows enterprise environments that provides centralized management of an organization's resources, including users, computers, groups, network devices, file shares, group policies, and trusts

What protocols is Active Directory based on?|X.500 and LDAP

What three core functions does AD provide?|Authentication, accounting, and authorization

What percentage of the enterprise Identity and Access Management market does Microsoft Active Directory hold?|Approximately 43%

What makes Active Directory difficult to manage and harden?|Its many services and main purpose of making information easy to find and access expose enterprises to vulnerabilities from simple misconfigurations of services and permissions

What is the general goal of gaining a foothold in a client's AD environment?|To escalate privileges by moving laterally or vertically throughout the network until the intent of the assessment is accomplished

What does "living off the land" mean in AD penetration testing?|Using only built-in Windows tools and native functionality rather than custom or third-party offensive tools, which blends in with normal administrative activity and reduces detection risk

What is a Service Principal Name (SPN)?|An identifier associated with a service account in AD that enables Kerberos authentication for that service

What is Kerberoasting?|An attack that targets service accounts with SPNs by requesting their TGS tickets and attempting to crack them offline to recover plaintext passwords

What is an SCF file attack?|Dropping specially crafted Shell Command Files on accessible file shares to capture NetNTLMv2 hashes when users browse the share

What is NetNTLMv2?|A challenge-response authentication hash captured during NTLM authentication that can be cracked offline or used in relay attacks

What is Password Spraying?|Attempting one or a few common passwords against a large number of user accounts to avoid account lockout while gaining valid credentials

What is the key risk of password spraying and how is it mitigated?|Account lockout, mitigated by knowing the domain password policy and staying within the allowed failed attempt threshold

What is BloodHound used for?|Visually mapping AD relationships and planning attack paths using graph analysis with a Neo4j database to identify routes to Domain Admin

What is the difference between SharpHound and BloodHound.py?|SharpHound is a C# ingestor that runs on Windows domain-joined hosts; BloodHound.py is a Python-based ingestor that can run from a non-domain-joined Linux attack host

What is Responder used for in AD attacks?|Poisoning LLMNR, NBT-NS, and MDNS requests to capture NetNTLMv2 hashes from hosts that try to authenticate to it

What is LLMNR/NBT-NS Poisoning?|A Man-in-the-Middle attack where an attacker responds to broadcast name queries, tricking hosts into authenticating to the attacker's machine and revealing their NTLMv1 or NTLMv2 hash

What is pass-the-hash?|An attack where a captured NTLM hash is used directly to authenticate as a user without knowing the plaintext password

What is pass-the-ticket?|An attack where a captured Kerberos TGT or TGS ticket is used to authenticate as the ticket's owner without knowing their password

What is a DCSync attack?|An attack that impersonates a Domain Controller's replication process to request and dump NTLM password hashes for all users in the domain; requires DS-Replication-Get-Changes-All rights

What is the Shadow Credentials attack?|An attack that abuses Key Trust to set an alternative credential on an AD object, allowing authentication and retrieval of the object's NT hash

What is ASREPRoasting?|An attack targeting user accounts that have Kerberos pre-authentication disabled; AS-REP hashes are requested and cracked offline. Does not require an SPN on the target account

What is the NT AUTHORITY\SYSTEM account?|A built-in Windows account with the highest level of OS access, commonly used by Windows services, that can enumerate AD by impersonating the computer account

What AD actions are possible from a SYSTEM-level account on a domain-joined host?|Domain enumeration, Kerberoasting, ASREPRoasting, capturing NetNTLMv2 hashes, token impersonation, and ACL attacks

What is Kerbrute used for and why is it considered stealthier than other enumeration methods?|Enumerating valid AD usernames and performing password spraying using Kerberos pre-authentication; failed attempts often do not trigger standard logs or alerts

What is PowerView used for?|Gaining situational awareness in AD by replacing many Windows net* commands and identifying Kerberoastable users, ACL misconfigurations, and other attack paths

What is CrackMapExec (CME)?|An enumeration, attack, and post-exploitation toolkit that abuses built-in AD features and protocols like SMB, WMI, WinRM, and MSSQL

What is Mimikatz primarily used for in AD attacks?|Extracting plaintext passwords and NTLM hashes from memory, performing pass-the-hash attacks, and extracting Kerberos tickets

What is enum4linux used for?|Enumerating information from Windows and Samba systems, including user lists, password policies, shares, and group memberships

What is an SMB NULL session?|An unauthenticated connection to SMB that can allow enumeration of domain users, groups, shares, and password policy without credentials

What is ldapsearch used for?|Querying LDAP directly to enumerate AD objects such as users, groups, computers, and attributes

What is windapsearch used for?|Automating custom LDAP queries to enumerate AD users, groups, and computers; the -PU flag finds privileged users via recursive nested group membership lookups

What is Inveigh used for?|Performing network spoofing and poisoning attacks (LLMNR, DNS, mDNS, NBNS, DHCPv6, HTTP, HTTPS, SMB, LDAP, WebDAV) from Windows hosts, implemented in PowerShell or C#

What is adidnsdump used for?|Enumerating and dumping DNS records from an AD domain, similar to performing a DNS zone transfer

What is gpp-decrypt used for?|Extracting usernames and passwords stored in Group Policy Preferences (GPP) files, which historically stored credentials in a reversibly encrypted format

What is LAPSToolkit used for?|Auditing and attacking AD environments with LAPS deployed; finds users/groups that can read LAPS passwords and machines without LAPS installed

What is Snaffler used for?|Finding sensitive information such as credentials in files on accessible shares across an AD environment; must be run from a domain-joined host or domain user context

What is PingCastle used for?|Auditing the security level of an AD environment, producing a detailed risk report scored based on the Capability Maturity Model Integration (CMMI) framework

What is Group3r used for?|Auditing and finding security misconfigurations in AD Group Policy Objects (GPOs); must be run from a domain-joined host as a domain user

What is the purpose of external reconnaissance before an AD penetration test?|Validating scoping information, identifying information leaks and breach data, understanding the organization's schema and defenses, and finding credentials or usernames usable during the test

What key data points are sought during external reconnaissance?|IP space and ASN, domain information, email/username schema format, publicly accessible documents, and breach data

What is an ASN and why is it relevant to recon?|An Autonomous System Number identifies a block of IP addresses belonging to an organization; large companies often have their own ASN, revealing their IP ranges

What is HaveIBeenPwned used for in recon?|Determining if corporate email accounts appear in public breach data

What is Dehashed used for in recon?|Searching for corporate emails with cleartext passwords or hashes from breach data to attempt against exposed login portals

How can job postings be useful in AD recon?|They reveal software versions, technologies in use, infrastructure details, and security implementations that help identify potential attack vectors

What is linkedin2username used for?|Scraping a company's LinkedIn page to generate various username format mashups for use in password spraying attacks

What is Trufflehog used for during recon?|Finding sensitive data such as credentials accidentally left in code repositories or cloud storage by developers

What DNS record types are valuable during external recon?|A records (IP addresses), MX records (mail servers), NS records (nameservers), and AAAA records (IPv6 addresses)

What is fping used for in AD enumeration?|Sending ICMP requests to multiple hosts simultaneously to quickly identify which hosts are alive in a network range

What ports are indicative of a Domain Controller during Nmap scanning?|53 (DNS), 88 (Kerberos), 135 (RPC), 139/445 (SMB), 389/636 (LDAP/LDAPS), 3268/3269 (Global Catalog), 464 (kpasswd)

What is the significance of finding legacy operating systems during enumeration?|They may be vulnerable to unpatched exploits like EternalBlue or MS08-067 that can provide SYSTEM-level access

What should be done before exploiting a legacy or potentially unstable system?|Alert the client and obtain written approval, as exploitation could cause system instability or bring down critical services

What is pivoting in the context of lateral movement?|Using a compromised host as a proxy to route traffic and reach internal network segments not directly accessible from the attack host

What is token impersonation?|Hijacking an authentication token from a privileged user process running on a compromised host to act as that user without knowing their credentials

What is a Kerberos TGT?|A Ticket Granting Ticket issued by the Domain Controller's KDC that proves a user's identity and is used to request service tickets (TGS) for accessing resources

What is the difference between a TGT and a TGS in Kerberos?|A TGT proves identity to the KDC and is used to request service tickets; a TGS is a service-specific ticket used to authenticate to a particular service

What is nested group membership and why is it significant for attackers?|When a group is a member of another group, it inherits its permissions; this can allow an attacker who compromises one account to inherit unexpected privileges across domains

What is a forest trust in AD?|A trust relationship between two separate AD forests that allows users in one forest to access resources in the other, depending on the trust direction and type

What is the significance of GenericAll rights in AD?|GenericAll grants full control over an AD object, allowing an attacker to modify it, including adding themselves to groups or resetting passwords

What is the importance of knowing the domain password policy before password spraying?|It prevents accidental account lockouts by ensuring spray attempts stay within the allowed failed login threshold

What is the key difference between black box, grey box, and white box testing setups for internal AD assessments?|Black box: no information provided; Grey box: only IP ranges or limited scope info; White box: full information including credentials and network maps

What is the purpose of using Wireshark or tcpdump at the start of an internal engagement?|Passively identifying hosts, protocols, and network traffic patterns without sending any packets

What is the SeImpersonate privilege and why is it significant?|A Windows privilege that allows a service account to impersonate other users; it can be abused (e.g., via JuicyPotato, PrintSpoofer, RoguePotato) to escalate to SYSTEM on older Windows versions

What is rpcclient used for in AD enumeration?|Performing AD enumeration tasks via the remote RPC service on Linux, including querying users, groups, and domain information

What is smbmap used for?|Enumerating SMB shares across a domain to identify accessible shares and their permission levels, recursively listing directories and searching for files of interest

What is secretsdump used for in AD attacks?|Remotely dumping the SAM database and LSA secrets (including cached credentials and NTLM hashes) from a target host

What is evil-winrm used for?|Providing an interactive shell on a Windows host over the WinRM protocol, useful for post-exploitation when WinRM is enabled

What is ntlmrelayx used for?|Performing SMB relay attacks, where captured NTLM authentication attempts are relayed to other hosts to gain access without cracking the hash

What is PetitPotam and what vulnerability does it exploit?|A tool exploiting CVE-2021-36942 to coerce Windows hosts into authenticating to an attacker-controlled machine via MS-EFSRPC functions

What is the noPac exploit?|An exploit combining CVE-2021-42278 and CVE-2021-42287 that allows a standard domain user to impersonate a Domain Admin, achieving SYSTEM-level access on a Domain Controller

What is the SYSVOL share and why is it useful to attackers?|A domain controller share readable by all authenticated users that contains scripts (batch, VBScript, PowerShell) which sometimes contain hardcoded credentials, and stores Group Policy files

What is the NETLOGON share used for and why is it relevant to enumeration?|It stores logon scripts for domain users; accessible to all domain users by default, it may contain scripts with hardcoded credentials or other sensitive information

What is LLMNR?|Link-Local Multicast Name Resolution; a Microsoft Windows component that allows hosts on the same local link to perform name resolution for other hosts when DNS fails, operating on port 5355 over UDP

What is NBT-NS?|NetBIOS Name Service; a Microsoft Windows component that identifies systems on a local network by their NetBIOS name when both DNS and LLMNR fail, operating on port 137 over UDP

What is the fallback name resolution order in Windows?|DNS is tried first, then LLMNR, then NBT-NS

What is the fundamental security flaw in LLMNR and NBT-NS?|When either protocol is used for name resolution, ANY host on the network can reply to the broadcast request, making it trivially easy to spoof responses

What is captured during a successful LLMNR/NBT-NS poisoning attack?|A NetNTLM (NTLMv1 or NTLMv2) password hash from the victim host's authentication attempt

What can be done with a captured NetNTLMv2 hash?|It can be cracked offline to recover the plaintext password, or used in an SMB Relay attack to authenticate to other hosts without cracking it

Why can NetNTLMv2 hashes NOT be used for pass-the-hash attacks?|Pass-the-hash requires an NTLM hash (NT hash), not a NetNTLMv2 challenge-response hash; the two formats are fundamentally different

What is the step-by-step flow of an LLMNR/NBT-NS poisoning attack?|1) A host tries to connect to a resource but makes a typo. 2) DNS fails to resolve it. 3) The host broadcasts a name resolution request to the entire local network. 4) The attacker responds claiming to be the requested host. 5) The victim sends an authentication request with their NTLMv2 hash to the attacker

What Hashcat mode is used to crack NTLMv2 hashes captured by Responder?|Hash mode 5600

What MITRE ATT&CK ID covers LLMNR/NBT-NS Poisoning and SMB Relay?|T1557.001

How can LLMNR be disabled via Group Policy?|Navigate to Computer Configuration > Administrative Templates > Network > DNS Client and enable "Turn OFF Multicast Name Resolution"

Why can NBT-NS not be disabled via Group Policy directly?|Group Policy does not have a direct setting to disable NBT-NS; it must be disabled locally through the network adapter's WINS settings or via a startup PowerShell script deployed through GPO

How can NBT-NS be disabled domain-wide without a direct GPO setting?|Create a PowerShell startup script via GPO that sets the NetbiosOptions registry value to 2 for all network interfaces, hosted on the SYSVOL share

What registry value indicates that LLMNR is disabled?|The EnableMulticast DWORD value set to 0 under HKLM\Software\Policies\Microsoft\Windows NT\DNSClient

What Windows Event IDs are relevant for detecting LLMNR/NBT-NS poisoning activity?|Event IDs 4697 and 7045

What is an SMB Relay attack and when is it applicable?|Instead of cracking a captured NTLM hash, the hash is relayed in real time to authenticate to another host; requires SMB signing to be disabled on the target host

What is DomainPasswordSpray and what makes it useful?|A PowerShell tool that, when run on a domain-joined host, automatically generates a user list from AD, queries the domain password policy, and excludes accounts within one attempt of lockout

What are common external targets for password spraying attacks?|Microsoft O365, Outlook Web Exchange, Exchange Web Access, Skype for Business, RDS portals, Citrix portals, VDI implementations, VPN portals, and custom web applications using AD authentication

What is the primary mitigation against password spraying?|Multi-factor authentication (MFA) on all external portals, combined with strong password hygiene policies, password filters, and least privilege access

What Windows Event IDs indicate potential password spraying activity?|Event ID 4625 (account failed to log on) and Event ID 4771 (Kerberos pre-authentication failed)

What is AppLocker and what does it control?|Microsoft's application whitelisting solution that gives administrators granular control over which executables, scripts, Windows installer files, DLLs, and packaged apps users can run

What is a common AppLocker bypass opportunity?|Organizations often block the standard PowerShell executable but forget about alternate PowerShell locations such as the SysWOW64 path or PowerShell_ISE.exe

What is PowerShell Constrained Language Mode?|A PowerShell restriction that locks down many advanced features needed for offensive tooling, including blocking COM objects, limiting approved .NET types, and restricting XAML-based workflows

What is LAPS (Local Administrator Password Solution)?|A Microsoft solution that randomizes and rotates local administrator passwords on Windows hosts to prevent lateral movement by ensuring local admin credentials are unique per machine

What is the minimum access level required to perform credentialed AD enumeration?|A standard low-privilege domain user account with valid credentials (cleartext password or NTLM hash), or SYSTEM access on a domain-joined host

What does the (Pwn3d!) indicator in CrackMapExec output mean?|The account used for authentication has local administrator privileges on the target host

What is the badPwdCount attribute in AD and why is it important during password spraying?|It tracks how many failed login attempts a user has had; filtering out users with a high badPwdCount before spraying helps avoid locking accounts

What is a Relative Identifier (RID) in Active Directory?|A unique identifier (in hexadecimal) appended to a domain SID to form a full SID for an AD object; the built-in domain Administrator account always has RID 0x1f4 (decimal 500)

