While all are best practices, what provides the most significant improvement in security for a device with no known vulnerabilities? | Moving the device's administrative interface to a protected VLAN
What is threat hunting? | The process of searching for threats using IoCs, threat intelligence, technological tools, and expertise to identify threats that might impact an organization
What is the simplest way to ensure APIs are only used by legitimate users? | Require authentication using API keys, which can be invalidated/reissued if compromised and matched to usage for billing
What network design uses a firewall with three interfaces for untrusted, front-facing, and protected networks? | Screened subnet design
What does the CVE list provide? | Entries that describe and provide references to publicly known cybersecurity vulnerabilities with index numbers for cross-referencing
What is a false positive in vulnerability scanning? | When a vulnerability is reported but not actually present, often occurring when patches don't update version numbers that scanners check
Which unsecure protocols have been replaced by secure versions? | FTP (replaced by SFTP/FTPS), Telnet (replaced by SSH), and RSH (outmoded)
What is OSINT? | Open source intelligence obtained from public sources like search engines, websites, and domain registrars
What is proprietary or closed threat intelligence? | Threat intelligence that is not openly available
What are bug bounties? | Programs where organizations pay vulnerability researchers for information about security issues with their software or services
What is a false negative in vulnerability scanning? | When a scan runs but fails to identify an issue that exists, possibly due to configuration, firewall, or security settings
What activities does threat hunting involve? | Intelligence fusion, combining data sources and threat feeds, and reviewing advisories and bulletins
When using cloud web services, what logs should be reviewed? | The logs captured by the cloud service provider, which may need to be configured
What is the best practice before upgrading to fix a vulnerability? | Read and understand the CVEs to remediate based on specific recommendations
What is the common non-standard HTTP port? | Port 8080
What should be done when finding SSH on port 22 and HTTPS on port 443 during a vulnerability scan? | Note the services as this is typical discovery without demonstrated issues
What is a test server used for? | An identical copy of production used for functional and security testing before deployment
What are staging environments used for? | Final quality assurance and validation before code enters production, closely mirroring production
How are API keys used? | To track API usage per individual/organization and can be revoked if compromised or abused
What are baseline configurations? | Standards that serve as basis for future builds, releases, and changes, including information about system components, versions, patches, and configurations
Why should indexing be disabled for encrypted files? | Indexing creates an unencrypted index that could expose encrypted file content
What is OAuth used for? | A common authorization service for cloud services that allows users to entrust information without giving passwords
What is the most widely accepted biometric system? | Fingerprint reader systems
What vulnerability do static MFA codes have? | They can be stolen if not properly secured or exposed
What technology protects data from exposure or leaking from a network? | DLP (Data Loss Prevention)
What is social login an example of? | Federated identity approach combining identity providers and service providers with authorization management
What factors did Charles present when using password and PIN? | Two knowledge factors (something you know), not true multifactor since both are the same type
What is a site survey used for? | Identifying optimal access point placement, coverage, and existing RF interference sources
What do MDM content management tools allow? | Provisioning files, documents, and media to organizational devices
What is the best way to detect the most malware? | Vendor diversity - using different AV packages on different system types (servers vs PCs)
What are input validation techniques used for? | Ensuring unexpected or malicious input doesn't cause problems by stripping control characters and validating data
What does WPA3's SAE provide? | Simultaneous Authentication of Equals - more secure authentication limiting brute-force attacks with different passwords per user
What environment should be used to test malware? | A sandboxed environment (isolated VM or physical machine)
Why shouldn't validation occur on client systems? | Client systems cannot be trusted to be secure; validation should occur on trusted servers
What can a geofence policy do? | Allow devices to work only inside a defined geographic area
What can static code analysis help identify? | Business logic issues by leveraging expert knowledge of business processes
What is EDR designed for? | Identifying anomalies, searching and exploring data, identifying suspicious activities, and coordinating responses - not malware analysis
What access control model prevents lower privileged users from seeing higher privilege data? | Mandatory Access Control (MAC)
What NAC model provides greater system insight before network connection? | Agent-based preadmission NAC
What is CYOD? | Choose Your Own Device - users select from corporate-owned devices, possibly from a limited set
What protocol should be used for managing network devices? | SNMPv3 properly configured
What does containerization allow on BYOD devices? | Running company tools and data isolated from the self-controlled device
What do DLP tools do with sensitive data? | Tag and monitor it, notify users and administrators if sent, and protect with encryption if necessary
What can cause ABAC to reject logins for traveling users? | Frequent new locations as one of the attributes examined for access decisions
What is SSO designed to address? | The risk of users writing down multiple passwords by requiring only a single login
What does rule-based access control do? | Applies rules to access requests that may grant access to resources not explicitly permitted
What access control scheme do Windows and Linux filesystems use? | Discretionary Access Control (DAC) where owners control file access
What prevents after-hours account access? | Restricting account usage to times when users are typically on campus
What does password complexity require? | Mixture of uppercase, lowercase, numbers, and special characters
What is MAC based on? | Documented security levels associated with the information being accessed
What does DAC allow? | Data owners to assign permissions
What is OS hardening? | Securing an operating system by patching, updating, and configuring it to be secure
What is the default port for LDAPS? | Port 636
What does RBAC grant permissions based on? | The user's position within the organization
