What is the Domain Dominance phase? | A phase where an adversary who has gained domain admin privileges extracts highly-sensitive authentication material to maintain that level of privilege almost indefinitely
What three techniques are covered in the Domain Dominance chapter? | DCSync (T1003.006), Ticket Forgery (T1558), and DPAPI Backup Keys
What is DCSync? | A technique (T1003.006) where an adversary leverages the Directory Replication Service (DRS) protocol to pull replication data — specifically usernames and password hashes — directly from a domain controller without needing to log in to it
What privilege level is required to perform DCSync? | Domain Admin, Enterprise Admin, or a domain controller computer account
Why is the krbtgt account a common DCSync target? | Its password hash is used to encrypt and sign all TGTs — possessing this hash allows an adversary to forge valid TGTs for any user in the domain
Why does the mere presence of DRS traffic not confirm a DCSync attack? | DRS is legitimately used by domain controllers to replicate data between themselves — defenders must look for anomalous replication requests originating from non-DC IP addresses
What Windows event ID is generated for DCSync-style replication activity and what GUIDs identify it? | Event ID 4662 — identified by GUIDs 1131f6aa-9c07-11d1-f79f-00c04fc2dcd2 (DS-Replication-Get-Changes and DS-Replication-Get-Changes-All) or 89e95b76-444d-4c62-991a-0facbeda640c (DS-Replication-Get-Changes-In-Filtered-Set)
What is ticket forgery (T1558)? | A technique where an adversary uses stolen secrets to create Kerberos tickets offline and inject them into a logon session for use, rather than requesting them legitimately from a KDC
What is a Silver Ticket? | A forged Kerberos service ticket (T1558.002) created using a service account's or computer account's secret, used to access a specific service on a specific machine
What secret is used to forge a Silver Ticket? | The password hash (AES256, RC4, etc.) of the service account or computer account running the target service
What is a common use-case for Silver Tickets? | Maintaining local admin access to a machine after it has already been compromised, using a forged CIFS service ticket to enable remote file system access
What is the main downside of Silver Tickets based on computer account secrets? | Active Directory automatically changes computer account secrets every 30 days by default, limiting the ticket's long-term usefulness
How can Silver Tickets be used with Kerberoasting results? | If a service account's plaintext password is obtained via Kerberoasting, its hash can be used to forge a service ticket impersonating a known sysadmin — even if the service account itself lacks those privileges
How can Silver Tickets be effectively mitigated? | By enabling PAC validation on computers — when enabled, the target computer validates the ticket's checksum signature with the KDC, and since Silver Tickets are signed with the service's key rather than krbtgt's key, the validation fails
What Windows events can help detect Silver Ticket use? | A 4624 (logon) event on the target computer without a preceding 4769 (TGS-REQ) event — since Silver Tickets are forged offline, no TGS request is made to the KDC before the ticket is used
What anomalous ticket data can indicate a forged Silver Ticket? | Incorrect Kerberos realm casing — the domain name should traditionally be in all uppercase characters; a ticket with a lowercase domain name may indicate forgery
What is a Golden Ticket? | A forged TGT (T1558.001) signed with the KDC's krbtgt secret, allowing an adversary to impersonate any user in the domain and request service tickets to any service
What secret is required to forge a Golden Ticket? | The krbtgt account's password hash (typically AES256), usually obtained via DCSync
What is the difference in KDC interaction between a Golden Ticket and a Silver Ticket once injected? | A Golden Ticket is injected as a TGT — Windows then uses it to obtain service tickets via the normal TGS-REQ/TGS-REP process; a Silver Ticket is a pre-forged service ticket that bypasses this entirely
What Windows events can help detect Golden Ticket use? | TGS-REQ events (4769) without a preceding AS-REQ event (4768) — since the TGT was forged offline, the user never performed a legitimate authentication request to obtain it
What is the egregious lifetime anomaly associated with Mimikatz-forged Golden Tickets? | Mimikatz sets the forged ticket lifetime to 10 years by default, whereas normal domain policy sets a maximum ticket lifetime of 10 hours and a maximum renewal period of 7 days
What is a Diamond Ticket and how does it differ from a Golden Ticket? | A Diamond Ticket is a modified legitimate TGT rather than a fully forged one — a real TGT is obtained for the current user, decrypted using the krbtgt key, its PAC is modified (e.g. user ID and groups changed), then re-encrypted and re-signed with the krbtgt key
What are the OPSEC advantages of a Diamond Ticket over a Golden Ticket? | All peripheral ticket data (timestamps, lifetimes, flags) is consistent with the domain's policy since it is based on a real ticket; and the technique is harder to detect based on missing AS-REQ events since a legitimate AS-REQ was made for the original user
What potential detection artefact can a Diamond Ticket leave? | Fields such as FullName in the PAC may still reflect the original user rather than the impersonated user, which could be a point of detection
What is the TGT delegation trick used in Diamond Ticket creation? | A method of obtaining a usable TGT for the current user without needing to supply credentials — used to retrieve the base ticket before modification
What is the DPAPI Backup Key? | A domain-wide key stored in Active Directory that can decrypt any user's DPAPI masterkey, allowing decryption of all DPAPI-protected blobs for any user in the domain
Why does the DPAPI Backup Key exist? | Because when a user's password changes, DPAPI can no longer derive the key needed to decrypt the user's masterkey — the backup key provides a recovery mechanism to re-encrypt a new copy of the masterkey
How is a user's DPAPI masterkey normally protected? | It is encrypted using a key derived from the user's password, meaning only that user can normally decrypt it
What makes the DPAPI Backup Key particularly valuable for persistence? | It is randomly generated when the domain is created and — like the krbtgt secret — is never automatically changed and has no officially supported rotation mechanism
What privilege is required to extract the DPAPI Backup Key? | Domain administrator privileges — it is extracted from a domain controller using the BackupKey Remote Protocol
Why can't the /rpc method be used to decrypt another user's DPAPI credentials when running as a different user, even with local admin? | The /rpc method asks the DC to decrypt the masterkey for the current user's context — a different user's masterkey cannot be decrypted this way; the domain backup key must be used instead via the /pvk parameter
What does possessing the DPAPI Backup Key allow an adversary to do practically? | Decrypt saved credentials for any user on any machine in the domain — for example, reading another user's Windows Credential Manager entries including saved RDP passwords
