What is CSRF (Cross-Site Request Forgery)?|A web security vulnerability that allows an attacker to induce users to perform actions that they do not intend to perform, partly circumventing the same origin policy which prevents different websites from interfering with each other.
What is the impact of a successful CSRF attack?|The attacker causes the victim user to carry out an action unintentionally, such as changing their email address, password, or making a funds transfer. If the compromised user has a privileged role, the attacker might take full control of all the application's data and functionality.
What are the three key conditions required for a CSRF attack?|A relevant action within the application, cookie-based session handling with no other mechanism for tracking sessions or validating user requests, and no unpredictable request parameters that the attacker cannot determine or guess.
How does a CSRF attack work with session cookies?|If a victim user visits the attacker's web page while logged into the vulnerable website, their browser automatically includes their session cookie in the request (assuming SameSite cookies are not being used), and the vulnerable website processes the request as if made by the victim user.
What are the three most common defenses against CSRF?|CSRF tokens (unique, secret, unpredictable values generated server-side), SameSite cookies (browser security mechanism determining when cookies are included in cross-site requests), and Referer-based validation (verifying the request originated from the application's own domain).
What is a CSRF token?|A unique, secret, and unpredictable value generated by the server-side application and shared with the client. When performing a sensitive action, the client must include the correct CSRF token in the request, otherwise the server refuses to perform the action.
What happens when CSRF token validation depends on request method?|Some applications correctly validate the token when the request uses POST but skip validation when GET is used, allowing an attacker to switch to GET method to bypass validation and deliver a CSRF attack.
What happens when CSRF token validation depends on token being present?|Some applications correctly validate the token when present but skip validation if the token is omitted, allowing an attacker to remove the entire parameter containing the token to bypass validation.
What happens when a CSRF token is not tied to the user session?|The application maintains a global pool of tokens and accepts any token in this pool. An attacker can log in with their own account, obtain a valid token, and feed that token to the victim user in their CSRF attack.
What happens when a CSRF token is tied to a non-session cookie?|Some applications tie the CSRF token to a cookie but not the same cookie used to track sessions. If the website contains behavior allowing an attacker to set a cookie in the victim's browser, the attacker can place their cookie into the victim's browser and feed their token in the CSRF attack.
What is the double submit defense and why is it vulnerable?|Some applications duplicate each token within a cookie and a request parameter, then verify they match. This is vulnerable because an attacker can invent a token, use cookie-setting behavior to place it in the victim's browser, and feed their token in the CSRF attack.
What is a site in the context of SameSite cookies?|The top-level domain (TLD) like .com or .net, plus one additional level of the domain name (TLD+1). The URL scheme is also considered, so a link from http to https is treated as cross-site.
What is the difference between a site and an origin?|A site encompasses multiple domain names while an origin only includes one. Two URLs have the same origin if they share the exact same scheme, domain name, and port. A cross-origin request can be same-site, but not vice versa.
What are the three SameSite restriction levels?|Strict (browsers will not send cookie in any cross-site requests), Lax (browsers send cookie only in cross-site GET requests from top-level navigation), and None (effectively disables SameSite restrictions, browsers send cookie in all requests).
What is SameSite Strict?|If a cookie is set with SameSite=Strict, browsers will not send it in any cross-site requests. This is the most secure option but can negatively impact user experience where cross-site functionality is desirable.
What is SameSite Lax?|Browsers send the cookie in cross-site requests only if the request uses GET method and resulted from top-level navigation by the user. The cookie is not included in cross-site POST requests or background requests like those from scripts or iframes.
What is SameSite None?|Effectively disables SameSite restrictions altogether. Browsers send this cookie in all requests to the site that issued it, even from completely unrelated third-party sites. Must include the Secure attribute to ensure the cookie is only sent over HTTPS.
How can SameSite Lax restrictions be bypassed using GET requests?|If servers accept GET requests to endpoints expecting form submissions and use Lax restrictions for session cookies, an attacker can perform CSRF by eliciting a GET request from the victim's browser using top-level navigation.
How can SameSite restrictions be bypassed using on-site gadgets?|If you find a gadget that results in a secondary request within the same site, like a client-side redirect using attacker-controllable input, the resulting request is treated as same-site and will include all cookies regardless of restrictions.
How can SameSite restrictions be bypassed via vulnerable sibling domains?|A request can be same-site even if cross-origin. Vulnerabilities like XSS on sibling domains can compromise site-based defenses completely, exposing all of the site's domains to cross-site attacks.
What is the two-minute window for SameSite Lax bypass with newly issued cookies?|Chrome doesn't enforce Lax restrictions for the first 120 seconds on top-level POST requests for cookies without an explicit SameSite attribute. If you can force the victim to be issued a new session cookie, you can refresh their cookie before the main attack.
What is Referer-based CSRF defense?|Some applications use the HTTP Referer header to defend against CSRF by verifying that the request originated from the application's own domain. This approach is generally less effective than CSRF token validation and often subject to bypasses.
How can Referer validation be bypassed when it depends on header being present?|Some applications validate the Referer header when present but skip validation if omitted. An attacker can use a META tag to cause the victim's browser to drop the Referer header in the request.
How can Referer validation be circumvented with naive validation?|If the application validates that the domain in Referer starts with the expected value, an attacker can place it as a subdomain of their own domain. If it only validates that Referer contains the domain name, the attacker can place it elsewhere in the URL.
