What is threat hunting? | An active, human-led, and often hypothesis-driven practice that systematically combs through network data to identify stealthy, advanced threats that evade existing security solutions. It's a proactive, offensive strategy that prioritizes threat anticipation over reaction.
What is the primary objective of threat hunting? | To substantially reduce dwell time by recognizing malicious entities at the earliest stage of the cyber kill chain, preventing threat actors from entrenching themselves deeply within infrastructure and swiftly neutralizing them.
What is dwell time in cybersecurity? | The median duration between an actual security breach and its detection, usually several weeks if not months. This represents the potential time an adversary can remain present within a network undetected.
What are the key facets of threat hunting? | Offensive proactive strategy based on hypotheses and TTPs, offensive reactive response based on evidence, solid understanding of threat landscape and cyber kill chain, cognitive empathy with attackers, profound knowledge of organization's IT environment, and utilization of high-fidelity data and tactical analytics.
How does threat hunting relate to the Preparation phase of incident handling? | A threat hunting team must set up robust rules of engagement and establish operational protocols. Organizations may choose to weave threat hunting into existing incident handling policies and procedures.
How does threat hunting relate to the Detection & Analysis phase of incident handling? | Threat hunters can augment investigations, ascertain whether observed IoCs truly signify an incident, and their adversarial mindset can help uncover additional artifacts or IoCs that might have been missed initially.
What roles are typically included in an ideal threat hunting team? | Threat Hunter, Threat Intelligence Analyst, Incident Responders, Forensics Experts, Data Analysts/Scientists, Security Engineers/Architects, Network Security Analyst, and SOC Manager.
When should threat hunting be conducted? | When new information on adversaries or vulnerabilities comes to light, when new indicators are associated with known adversaries, when multiple network anomalies are detected, during incident response activities, and as periodic proactive actions.
How does risk assessment relate to threat hunting? | Risk assessment guides threat hunting by prioritizing hunting efforts on critical assets, understanding threat landscape, highlighting vulnerabilities, informing use of threat intelligence, refining incident response plans, and enhancing cybersecurity controls.
What are the main steps in the threat hunting process? | Setting the Stage (planning/preparation), Formulating Hypotheses, Designing the Hunt, Data Gathering and Examination, Evaluating Findings and Testing Hypotheses, Mitigating Threats, After the Hunt (documentation), and Continuous Learning and Enhancement.
What is involved in the Setting the Stage phase of threat hunting? | Planning and preparation including laying out clear targets, ensuring environment readiness with extensive logging, ensuring threat hunting tools are correctly set up, staying informed about latest cyber threats, and familiarizing with threat actor profiles.
What is involved in Formulating Hypotheses in threat hunting? | Making educated predictions from threat intelligence, industry updates, security tool alerts, or professional intuition. Hypotheses should be testable and guide where to search and what to look for.
What is involved in Designing the Hunt phase? | Recognizing specific data sources for analysis, determining methodologies and tools to use, identifying particular IoCs or patterns to hunt for, and potentially creating custom scripts or queries.
What is involved in Data Gathering and Examination? | Collecting necessary data like log files, network traffic data, endpoint data, then analyzing using predetermined methodologies and tools. This phase is highly iterative and may involve refining hypotheses or investigation approaches.
What is involved in Evaluating Findings and Testing Hypotheses? | Interpreting results after analyzing data, which could involve confirming or disproving hypotheses, understanding detected threat behavior, identifying affected systems, or determining potential impact of threats.
What is involved in Mitigating Threats phase? | If threat is confirmed, undertaking remediation actions like isolating affected systems, eliminating malware, patching vulnerabilities, or modifying configurations to eradicate threat and limit potential damage.
What is involved in the After the Hunt phase? | Documenting and sharing findings, methods, and outcomes. This might involve updating threat intelligence platforms, enhancing detection rules, refining incident response playbooks, or improving security policies.
What is an adversary in Cyber Threat Intelligence? | An entity driven by shared objectives as your organization, albeit unauthorized, seeking to infiltrate your business and satisfy their collection requirements. They can be classified as cyber criminals, insider threats, hacktivists, or state-sponsored operators.
What is an Advanced Persistent Threat (APT)? | Typically highly organized groups or nation-state entities with extensive resources enabling prolonged malicious activities. They target high-value targets like governmental organizations, healthcare infrastructures, and defense systems with sophisticated strategic planning and persistent determination.
What are Tactics, Techniques, and Procedures (TTPs)? | The distinct operational patterns or signature of an adversary. Tactics describe strategic objectives (why), Techniques are specific methods to accomplish objectives (how), and Procedures are granular step-by-step instructions (recipe for implementation).
What is an indicator in CTI? | Technical data combined with contextual information. Isolated technical data lacking relevant context holds limited value for network defenders. Data plus context equals indicator.
What is a threat in CTI terminology? | A multifaceted concept consisting of three fundamental factors: intent (underlying rationale driving adversaries), capability (tools, resources, and financial backing), and opportunity (favorable circumstances for execution). These three combine to form a threat.
What is a campaign in CTI? | A collection of incidents that share similar TTPs and are believed to have comparable collection requirements. Requires substantial time and effort to aggregate and analyze as organizations progressively report and uncover related malicious activities.
What are Indicators of Compromise (IoCs)? | Digital traces or artifacts derived from active or past intrusions that serve as signposts of specific adversary or malicious activity. Can include file hashes, suspicious IP addresses, URLs, domain names, and names of malicious executables or scripts.
What is the Pyramid of Pain? | A visualization presenting a hierarchy of indicators that can support detecting adversaries, showcasing the degree of difficulty in acquiring specific indicators and subsequent impact of gathering intelligence on them. As you ascend the pyramid, obtaining adversary-specific IoCs becomes increasingly challenging but forces adversaries to alter attack methodologies.
What are the levels of the Pyramid of Pain from bottom to top? | Hash Values (Trivial), IP Addresses (Easy), Domain Names (Simple), Network/Host Artifacts (Annoying), Tools (Challenging), and TTPs (Tough). Higher levels are harder to obtain but more impactful for defense.
Why are hash values considered trivial in the Pyramid of Pain? | Because a slight change to a file, such as adding a byte or changing a single character, will dramatically alter the hash value, making it an easy-to-change and less reliable indicator.
Why are TTPs at the top of the Pyramid of Pain? | Because identifying an adversary's TTPs provides the most valuable insight into their operations and are the most difficult for an adversary to change without significant cost and effort.
What is the Diamond Model of Intrusion Analysis? | A conceptual framework illustrating fundamental aspects of cyber intrusion with four key components as vertices of a diamond: Adversary (who), Capability (tools and TTPs), Infrastructure (physical/virtual resources), and Victim (target).
What is Cyber Threat Intelligence (CTI)? | A vital asset providing essential insights to fortify defenses against cyberattacks. Its primary objective is to transition defense strategies from reactive measures to a more proactive, anticipatory stance.
What are the four fundamental principles that make CTI integral to cybersecurity? | Relevance (information must be relevant to the organization), Timeliness (swift communication for effective mitigation), Actionability (must yield actionable insights for defense team), and Accuracy (must be verified for accuracy before dissemination).
What is the difference between Threat Intelligence and Threat Hunting? | Threat Intelligence is predictive, aiming to anticipate adversary moves, targets, and methods. Threat Hunting is both reactive and proactive, involving operations to ascertain whether adversaries are present in the network or were present and evaded detection.
What are the three categories of Cyber Threat Intelligence? | Strategic Intelligence (for C-suite executives, overview of adversary operations over time, answers Who and Why), Operational Intelligence (for mid-level management, details on adversary campaigns and TTPs, answers How and Where), and Tactical Intelligence (for network defenders, immediate actionable technical details).
What characterizes Strategic Intelligence? | Consumed by C-suite executives and company leaders, aligns intelligence with company risks to inform decisions, provides overview of adversary operations over time, maps TTPs and Modus Operandi, strives to answer Who and Why.
What characterizes Operational Intelligence? | Includes TTPs of adversaries, provides information on adversary campaigns with more detail than strategic intelligence, produced for mid-level management personnel, works towards answering How and Where.
What characterizes Tactical Intelligence? | Delivers immediate actionable information, provided to network defenders for swift action, includes technical details on attacks that have occurred or could occur in near future, such as specific IP addresses, URLs, file hashes, and registry keys.
What is the first step in going through a tactical threat intelligence report? | Comprehending the report's scope and narrative to understand broader context, assess threat pertinence to the organization, and grasp objectives and types of entities targeted by attackers.
How should IoCs be classified when analyzing a tactical threat intelligence report? | Partition into categories: Network-based IoCs (IPs, domains), Host-based IoCs (file hashes, registry keys), and Email-based IoCs (email addresses, subject lines). Can be augmented with additional data like geolocation, WHOIS information, or associated domains.
Why is understanding the attack lifecycle important when analyzing threat intelligence reports? | The report depicts TTPs mapped to MITRE ATT&CK framework showing stages from initial access through execution, persistence, defense evasion, and command and control. Understanding this lifecycle aids in forecasting attacker moves and formulating effective responses.
Why is IoC validation important? | Not all IoCs hold the same utility or accuracy. They need authentication by cross-referencing with additional threat intelligence sources. Must consider age of IoCs and context, such as IP addresses that may host both malicious and legitimate services.
What should be considered when incorporating IoCs into security infrastructure? | Potential impact on business operations (blocking an IP might affect critical services), document all changes following change management procedures, consider alerting rather than blocking when appropriate to avoid unintentional disruptions.
What is proactive threat hunting in context of tactical intelligence reports? | Equipped with insights from report, proactively hunt for signs of threat in environment by searching logs, scanning endpoints, and checking email logs. Should look for broader signs of TTPs described in report, not just specific IoCs.
What should happen after implementing IoCs from a threat intelligence report? | Continuously monitor environment for any hits, trigger predefined incident response process for any detection, utilize information to enhance security posture through user education or improving detection rules, and contribute discoveries back to threat intelligence community.
What data sources are available in the Elastic Stack SIEM example? | Windows audit logs (index pattern windows*), System Monitor Sysmon logs (also windows*), PowerShell logs (also windows*), and Zeek network security monitoring logs (index pattern zeek*).
What is Sysmon Event ID 15? | FileCreateStreamHash - represents a browser file download event, useful for detecting when files are downloaded through web browsers.
What is Sysmon Event ID 11? | File create event - especially effective when browsers aren't involved in the file download process, captures file creation activities on the system.
What is Sysmon Event ID 3? | Network connection event - captures network connections made by processes, useful for tracking communication with external IP addresses.
What is Sysmon Event ID 1? | Process creation event - logs when new processes are created, including command line arguments and parent process information.
What is Sysmon Event ID 22? | DNSEvent - captures DNS queries made by processes, useful for identifying suspicious domain lookups and potential command and control communications.
Why are Zeek logs valuable in threat hunting? | Zeek captures network traffic data that may not be in Sysmon logs due to common configurations avoiding browser connections. Zeek provides DNS queries, network connections, and other network-level artifacts for analysis.
What indicators suggest a malicious OneNote file was used for initial access? | OneNote file downloaded via browser (Event ID 15), file opened by OneNote.exe (Event ID 1), OneNote.exe spawning suspicious child processes like cmd.exe executing batch files from temporary locations.
