What are limit overrun race conditions?|The most well-known type of race condition that enables you to exceed some kind of limit imposed by the business logic of the application, such as redeeming a gift card multiple times, rating a product multiple times, withdrawing cash in excess of account balance, reusing a single CAPTCHA solution, or bypassing anti-brute-force rate limits.
What is a sub-state in race conditions?|A temporary state that an application enters and then exits again before request processing is complete. This introduces a small race window during which an attacker can exploit the vulnerability.
What are TOCTOU flaws?|Time-of-check to time-of-use flaws, of which limit overruns are a subtype. They occur when there is a gap between when a condition is checked and when an action is taken based on that check.
What is the primary challenge in exploiting race conditions?|Timing the requests so that at least two race windows line up, causing a collision. This window is often just milliseconds and can be even shorter, with various uncontrollable external factors affecting when the server processes each request.
What technique does Burp Suite use for HTTP/1 race conditions?|The classic last-byte synchronization technique to send parallel requests and reduce the impact of network jitter.
What technique does Burp Suite use for HTTP/2 race conditions?|The single-packet attack technique, which uses a single TCP packet to complete 20-30 requests simultaneously, completely neutralizing interference from network jitter.
What is the methodology for detecting race conditions?|Predict potential collisions by identifying security-critical endpoints with collision potential, probe for clues by benchmarking normal behavior then sending requests in parallel, and prove the concept by understanding what's happening and replicating the effects.
What should you look for when probing for race condition clues?|Any form of deviation from what you observed during benchmarking, including changes in responses, second-order effects like different email contents, or visible changes in the application's behavior afterward.
What are multi-endpoint race conditions?|Race conditions that involve sending requests to multiple endpoints at the same time, such as exploiting the window between payment validation and order confirmation to add more items to a cart.
What causes difficulties in aligning multi-endpoint race windows?|Delays introduced by network architecture (like establishing new connections to the back-end) and delays introduced by endpoint-specific processing (different endpoints have different processing times).
What is connection warming?|Sending one or more inconsequential requests to establish a connection and smooth out processing times, helping to distinguish back-end connection delays from endpoint-specific delays.
How can you work around inconsistent response times in race conditions?|By abusing rate or resource limits - send a large number of dummy requests to intentionally trigger the limit and cause a server-side delay, making the single-packet attack viable even when delayed execution is required.
What are single-endpoint race conditions?|Race conditions triggered by sending parallel requests with different values to a single endpoint, such as sending two parallel password reset requests from the same session with two different usernames.
Why are email-based operations good targets for race conditions?|Emails are often sent in a background thread after the server issues the HTTP response to the client, making race conditions more likely.
What are session-based locking mechanisms?|Some frameworks attempt to prevent data corruption by using request locking, such as PHP's native session handler which only processes one request per session at a time. This can mask vulnerabilities, so try using different session tokens.
What are partial construction race conditions?|Vulnerabilities where applications create objects in multiple steps, introducing a temporary middle state where the object is exploitable, such as a user existing but their API key being uninitialized.
What can be exploited during partial construction race windows?|You can inject input values that match the uninitialized database value, such as an empty string, null in JSON, or empty arrays, which may bypass security controls during the race window.
What are time-sensitive attacks in race conditions?|Attacks that exploit high-resolution timestamps used instead of cryptographically secure random strings to generate security tokens, where precisely timed requests can cause two operations to generate the same token.
How can you prevent race condition vulnerabilities?|Avoid mixing data from different storage places, make state changes atomic using database transactions, use datastore integrity features like uniqueness constraints, ensure session handling keeps sessions internally consistent, and avoid server-side state by using encrypted client-side state like JWTs.
Why shouldn't you use one data storage layer to secure another?|Sessions aren't suitable for preventing limit overrun attacks on databases. Each layer should handle its own security concerns rather than relying on another layer.
What is dangerous about updating session variables individually?|Updating session variables individually instead of in a batch might be a tempting optimization, but it's extremely dangerous as it can create inconsistent states that are exploitable through race conditions.
