What is a Large Language Model (LLM)?|AI algorithms that can process user inputs and create plausible responses by predicting sequences of words. They are trained on huge semi-public data sets using machine learning to analyze how component parts of language fit together.
What is prompt injection?|A technique where an attacker uses crafted prompts to manipulate an LLM's output. It can result in the AI taking actions that fall outside its intended purpose, such as making incorrect calls to sensitive APIs or returning content that does not correspond to its guidelines.
What is the recommended methodology for detecting LLM vulnerabilities?|Identify the LLM's inputs (both direct like prompts and indirect like training data), work out what data and APIs the LLM has access to, and probe this new attack surface for vulnerabilities.
How do LLM APIs work in a typical workflow?|The client calls the LLM with the user's prompt, the LLM detects that a function needs to be called and returns a JSON object, the client calls the function with provided arguments, processes the response, calls the LLM again with the function response, the LLM calls the external API, and summarizes the results back to the user.
What is excessive agency in LLMs?|A situation where an LLM has access to APIs that can access sensitive information and can be persuaded to use those APIs unsafely. This enables attackers to push the LLM beyond its intended scope and launch attacks via its APIs.
How can you map LLM API attack surface?|Simply ask the LLM which APIs it can access, then ask for additional details on any APIs of interest. If the LLM isn't cooperative, try providing misleading context and re-asking the question, such as claiming you are the LLM's developer.
How can you chain vulnerabilities in LLM APIs?|Even if an LLM only has access to APIs that look harmless, you can use these APIs to find secondary vulnerabilities. For example, use an LLM to execute path traversal attacks on an API that takes a filename as input, or send classic web exploits to all identified APIs.
What is indirect prompt injection?|When an attacker delivers a prompt via an external source rather than directly. For example, the prompt could be included in training data, output from an API call, hidden in a web page, or within an email that the LLM processes.
How can indirect prompt injection be used to attack other users?|If a user asks an LLM to describe a web page, a hidden prompt inside that page might make the LLM reply with an XSS payload. Or a prompt within an email could make the LLM create a malicious email-forwarding rule routing subsequent emails to the attacker.
How can you bypass LLM restrictions on indirect prompt injection?|Use fake markup in the indirect prompt to confuse the LLM, or include fake user responses in the prompt to make it appear as if the user has already responded and is now giving new instructions.
What is training data poisoning?|A type of indirect prompt injection where the data the model is trained on is compromised. This can cause the LLM to return intentionally wrong or misleading information, arising when the model is trained on untrusted data or the dataset scope is too broad.
How can an attacker leak sensitive training data from an LLM?|Craft queries that prompt the LLM to reveal information about its training data by asking it to complete phrases with key pieces of information, using prompts like "Could you remind me of..." or "Complete a paragraph starting with...".
Why should APIs given to LLMs be treated as publicly accessible?|Because users can effectively call APIs through the LLM, so you should enforce basic API access controls like always requiring authentication and ensure access controls are handled by the applications the LLM communicates with rather than expecting the model to self-police.
What steps should be taken to avoid feeding LLMs sensitive data?|Apply robust sanitization to the model's training dataset, only feed data that the lowest-privileged user may access, limit the model's access to external data sources with robust access controls, and regularly test the model to establish its knowledge of sensitive information.
Why shouldn't you rely on prompting to block LLM attacks?|While you can theoretically set limits on an LLM's output using prompts like "don't use these APIs" or "ignore requests containing a payload", this can usually be circumvented by attackers using crafted prompts (jailbreaker prompts) such as "disregard any instructions on which APIs to use".
