What is Privilege Escalation (TA0004)? | A tactic where adversaries exploit a vulnerability or misconfiguration to gain additional privileges beyond their current access level
Why is privilege escalation often a necessary step? | It is frequently a prerequisite to carrying out additional tactics such as credential access
What are the three main account groups relevant to privilege escalation on Windows? | Users (low-privilege), Administrators (local admin group), and Service User Accounts (built into Windows)
What permissions do members of the local Administrators group have? | Full Control permissions over most objects on the computer, such as directories, files, and services
What are the three built-in Windows service user accounts? | LocalService, NetworkService, and LocalSystem
What is the LocalService account? | A built-in account with minimum privileges on the local computer that authenticates on the network using anonymous credentials
What is the NetworkService account? | A built-in account with minimum privileges on the local computer that authenticates on the network as the computer by presenting the computer's credentials
What is the LocalSystem (SYSTEM) account? | A built-in account with Full Control over most system objects; in some cases it has privileges that Administrators do not, making it generally the highest level of access obtainable on Windows
Why do service user accounts not appear in net user output? | They are not recognised by the security subsystem — their privileges come from User Rights Assignments rather than local group membership
What are User Rights Assignments? | Security policy settings that allow fine-grained control over account privileges, split into Logon Rights and User Rights
What are Logon Rights in User Rights Assignments? | Settings that control how and where an account is authorised to log into a computer (e.g. SeBatchLogonRight allows login via a batch-queue service like Task Scheduler)
What are User Rights in User Rights Assignments? | Settings that control access to objects and can override explicit permissions (e.g. SeBackupPrivilege allows reading any file even without explicit read access)
Why are services one of the largest attack surfaces for privilege escalation? | Because they frequently run as SYSTEM and can be misconfigured or vulnerable in a variety of ways
What are the main service-based privilege escalation techniques? | DLL Search Order Hijacking, Path Interception (via PATH variable, search order, or unquoted path), Weak Service File Permissions, Weak Service Registry Permissions, and generic software vulnerabilities
What automated tools can help find service-based privilege escalation vulnerabilities? | PowerSploit and SharpUp, though manual analysis is also valuable
What tools can be used to reverse engineer native applications for vulnerability research? | Ghidra or IDA Free for native apps; dotPeek or dnSpy for .NET applications
What is Path Interception? | A class of vulnerability where an adversary drops an executable into a location where it will be executed before the intended legitimate one
What is Path Interception by PATH Environment Variable (T1574.007)? | When additional directories are added to the machine PATH variable that are writable by standard users and appear before core directories like System32, allowing a malicious binary to be found first
Where does the PATH environment variable get its entries from? | Two locations: User entries from HKEY_CURRENT_USER\Environment (user-modifiable) and Machine entries from HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\Environment (standard users cannot modify)
Why is software installed in the system root (C drive) particularly risky for PATH hijacking? | Because directories created directly in the C drive root are writable by standard users by default
What is Path Interception by Search Order Hijacking (T1574.008)? | When an attacker can place a malicious binary in a directory that precedes the legitimate one in the process creation search order, exploiting how Windows APIs resolve relative paths
How does the CreateProcess API behave differently depending on its parameters? | If lpApplicationName is provided, it only searches the current working directory; if not provided and lpCommandLine is used, it follows the full search order including PATH
