What is path traversal (directory traversal)?|Vulnerabilities that enable an attacker to read arbitrary files on the server running an application, including application code and data, credentials for back-end systems, and sensitive operating system files. In some cases, attackers can write to arbitrary files, modify application data or behavior, and take full control of the server.
How does a basic path traversal attack work?|An attacker uses the sequence ../ to step up one level in the directory structure. Multiple consecutive ../ sequences can step up from the application's base directory to the filesystem root, allowing access to arbitrary files.
What are valid directory traversal sequences on Windows?|Both ../ and ..\ are valid directory traversal sequences on Windows systems.
What file is commonly targeted in path traversal attacks on Unix-based systems?|/etc/passwd, a standard file containing details of users registered on the server.
How can absolute paths bypass path traversal defenses?|If an application blocks directory traversal sequences, you might use an absolute path from the filesystem root (like /etc/passwd) to directly reference a file without using any traversal sequences.
What are nested traversal sequences?|Sequences like ....// or ....\/ that revert to simple traversal sequences when the inner sequence is stripped by the application's defense mechanism.
How can URL encoding bypass path traversal filters?|By URL encoding or double URL encoding the ../ characters, resulting in %2e%2e%2f and %252e%252e%252f respectively. Various non-standard encodings like ..%c0%af or ..%ef%bc%8f may also work.
How can you bypass a defense that requires filenames to start with a base folder?|Include the required base folder followed by traversal sequences, such as /var/www/images/../../../etc/passwd.
How can a null byte bypass file extension validation?|Use a null byte to effectively terminate the file path before the required extension, such as ../../../etc/passwd%00.png.
What is the most effective way to prevent path traversal vulnerabilities?|Avoid passing user-supplied input to filesystem APIs altogether. Rewrite application functions to deliver the same behavior in a safer way.
What are the two recommended layers of defense against path traversal?|Validate user input before processing (ideally against a whitelist of permitted values, or verify it contains only permitted content), and after validation, append input to base directory and use a platform filesystem API to canonicalize the path, verifying it starts with the expected base directory.
What is path canonicalization in preventing path traversal?|Using a platform filesystem API to convert a path to its canonical (standard) form, then verifying that the canonicalized path starts with the expected base directory to ensure the resolved path is within allowed boundaries.
