What is a web cache?|A system that sits between the origin server and the user. When a client requests a static resource, the request is first directed to the cache. If the cache doesn't contain a copy (cache miss), the request is forwarded to the origin server. When the same resource is requested in the future, the cache serves the stored copy directly (cache hit).
What is a cache key?|Elements of the HTTP request used by the cache to decide whether there is a cached response it can serve directly. Typically includes the URL path and query parameters, but can also include headers and content type. If the incoming request's cache key matches a previous request, they are considered equivalent.
What are cache rules?|Rules that determine what can be cached and for how long. Often set up to store static resources that don't change frequently and are reused across multiple pages. Dynamic content is not cached as it's more likely to contain sensitive information.
What are static file extension cache rules?|Cache rules that match the file extension of the requested resource, such as .css for stylesheets or .js for JavaScript files.
What are static directory cache rules?|Cache rules that match all URL paths starting with a specific prefix, often used to target directories containing only static resources like /static or /assets.
What are file name cache rules?|Cache rules that match specific file names to target files that are universally required for web operations and change rarely, such as robots.txt and favicon.ico.
What are the general steps for constructing a web cache deception attack?|Identify a target endpoint returning dynamic response with sensitive information, identify a discrepancy in how cache and origin server parse the URL path, and craft a malicious URL using the discrepancy to trick the cache into storing a dynamic response.
What is a cache buster?|A technique to ensure each request has a different cache key by adding a query string to the path and changing it each time you send a request, preventing cached responses from impacting test results.
How can you detect cached responses?|Look at response headers like X-Cache (with values hit, miss, dynamic, or refresh) and Cache-Control header with directives indicating caching. A big difference in response time for the same request may also indicate the faster response is served from cache.
What does X-Cache: hit indicate?|The response was served from the cache.
What does X-Cache: miss indicate?|The cache did not contain a response for the request's key, so it was fetched from the origin server. In most cases, the response is then cached.
What does X-Cache: dynamic indicate?|The origin server dynamically generated the content. Generally this means the response is not suitable for caching.
What is traditional URL mapping?|A mapping style that represents a direct path to a resource located on the file system, with a structure like the server pointing to a directory path in the server's file system and a specific file being accessed.
What is REST-style URL mapping?|A mapping style where URLs don't directly match the physical file structure but abstract file paths into logical parts of the API, with endpoints representing resources and path parameters used by the server to process the request.
How can path mapping discrepancies be exploited?|When an origin server using REST-style mapping interprets part of the URL as a non-significant parameter while a cache using traditional mapping views it as a file with a static extension, the cache may store dynamic profile information as if it were a static file.
What are delimiter discrepancies in web cache deception?|Discrepancies in how the cache and origin server use characters and strings as delimiters. For example, if an origin server uses semicolon as a delimiter but the cache doesn't, the cache may interpret the full path including a static extension while the origin server truncates at the delimiter.
How does Java Spring framework create delimiter discrepancies?|Java Spring uses semicolon to add matrix variables, so it interprets semicolon as a delimiter and truncates the path. Most other frameworks don't use semicolon as a delimiter, so a cache might interpret everything after semicolon as part of the path.
How does Ruby on Rails create delimiter discrepancies?|Ruby on Rails uses dot as a delimiter to specify response format. A request with an unrecognized extension like .ico uses the default HTML formatter and returns user information, which a cache might store as if it were a static file.
What are delimiter decoding discrepancies?|Differences in which delimiter characters are decoded by the cache and origin server. If the origin server decodes a delimiter character that the cache doesn't, they may interpret the URL path differently even if both use the same characters as delimiters.
What is normalization in URL processing?|Converting various representations of URL paths into a standardized format, sometimes including decoding encoded characters and resolving dot-segments, though this varies significantly from parser to parser.
How can normalization discrepancies be exploited?|When the origin server decodes slash characters and resolves dot-segments but the cache doesn't, an attacker can construct a path traversal payload that is interpreted differently by each parser, causing dynamic content to be cached as static content.
Why must dot-segments in path traversal be encoded for web cache deception?|Because the victim's browser will resolve unencoded dot-segments before forwarding the request to the cache. An exploitable normalization discrepancy requires that either the cache or origin server decodes characters in the path traversal sequence as well as resolving dot-segments.
How can you exploit normalization by the origin server?|Construct a payload with structure /static-directory-prefix/..%2f/dynamic-path. The cache interprets the path with the encoded traversal sequence while the origin server resolves it to the dynamic path, returning dynamic information that gets stored in the cache.
How can you exploit normalization by the cache server?|Construct a payload with structure /dynamic-path/delimiter/%2f%2e%2e%2f/static-directory-prefix where you encode all characters in the path traversal sequence and use a delimiter recognized by the origin server but not the cache. The cache resolves to the static path while the origin server truncates at the delimiter.
What are file name cache rules vulnerabilities?|Cache rules that target common files like robots.txt, index.html, and favicon.ico by matching exact file name strings. These can be exploited using normalization discrepancies where the cache resolves encoded dot-segments but the origin server doesn't.
How can web cache deception vulnerabilities be prevented?|Always use Cache-Control headers to mark dynamic resources with no-store and private directives, configure CDN so caching rules don't override Cache-Control header, activate CDN protection against web cache deception, and verify there aren't discrepancies in how origin server and cache interpret URL paths.
What is Cache Deception Armor?|A protection feature offered by some CDNs like Cloudflare that sets a cache rule to verify that the response Content-Type matches the request's URL file extension.
