What is CORS (cross-origin resource sharing)?|A browser mechanism which enables controlled access to resources located outside of a given domain. It extends and adds flexibility to the same-origin policy (SOP), but can provide potential for cross-domain attacks if poorly configured.
What is the same-origin policy?|A restrictive cross-origin specification that limits the ability for a website to interact with resources outside of the source domain. It generally allows a domain to issue requests to other domains, but not to access the responses.
Why was the same-origin policy created?|It was defined many years ago in response to potentially malicious cross-domain interactions, such as one website stealing private data from another.
How does CORS relax the same-origin policy?|CORS uses a suite of HTTP headers that define trusted web origins and associated properties such as whether authenticated access is permitted. These are combined in a header exchange between a browser and the cross-origin website it is trying to access.
Why do CORS vulnerabilities arise?|Many modern websites use CORS to allow access from subdomains and trusted third parties. Their implementation may contain mistakes or be overly lenient to ensure everything works, resulting in exploitable vulnerabilities.
How do errors in parsing Origin headers create vulnerabilities?|When implementing CORS origin whitelists, mistakes often arise from matching URL prefixes or suffixes, or using regular expressions. Organizations may allow access from all subdomains or use flawed pattern matching that grants access to unintended external domains.
What is an example of a suffix matching error in CORS?|If an application grants access to all domains ending in normal-website.com, an attacker might gain access by registering the domain hackersnormal-website.com.
What is an example of a prefix matching error in CORS?|If an application grants access to all domains beginning with normal-website.com, an attacker might gain access using the domain normal-website.com.evil-user.net.
When might browsers send null in the Origin header?|In cross-origin redirects, requests from serialized data, requests using the file protocol, and sandboxed cross-origin requests.
How can XSS be exploited via CORS trust relationships?|If a website trusts an origin that is vulnerable to XSS, an attacker could exploit the XSS to inject JavaScript that uses CORS to retrieve sensitive information from the site that trusts the vulnerable application.
How can poorly configured CORS break TLS security?|If an application using HTTPS whitelists a trusted subdomain using plain HTTP, an attacker on the network can intercept the plaintext HTTP connection and inject malicious code to retrieve sensitive data from the HTTPS site.
What is required for most CORS attacks to succeed?|The presence of the response header Access-Control-Allow-Credentials: true. Without this header, the victim's browser will refuse to send cookies, and the attacker will only gain access to unauthenticated content.
When can an attacker exploit CORS without credentials?|When the target website is part of an organization's intranet within private IP address space. Internal websites are often held to lower security standards, and attackers can exploit them even without authenticated access.
How should cross-origin requests be properly configured?|If a web resource contains sensitive information, the origin should be properly specified in the Access-Control-Allow-Origin header, only allowing trusted sites.
Why should you avoid whitelisting null in CORS?|Cross-origin resource calls from internal documents and sandboxed requests can specify the null origin. CORS headers should be properly defined in respect of trusted origins for private and public servers.
Why should you avoid wildcards in internal networks for CORS?|Trusting network configuration alone to protect internal resources is not sufficient when internal browsers can access untrusted external domains.
Is CORS a substitute for server-side security policies?|No. CORS defines browser behaviors and is never a replacement for server-side protection of sensitive data. An attacker can directly forge a request from any trusted origin, so web servers should continue to apply protections like authentication and session management.
Why should dynamically reflecting origins be avoided in CORS?|Dynamically reflecting origins from cross-origin requests without validation is readily exploitable and should be avoided. Origins should only be sites that are trusted.
