What is the Computer Misuse Act and when was it enacted? | The main piece of UK legislation criminalising unauthorised access to computer systems and data, and acts that impair or risk impairing computer operations — enacted in 1990
What case prompted the creation of the Computer Misuse Act? | R vs Gold and Schifreen (1984-85), where the defendants accessed British Telecom's Prestel system using weak credentials and were acquitted under the Forgery and Counterfeiting Act 1981 because the language of that Act did not apply to the situation
What does CMA Section 1 criminalise? | Gaining unauthorised access to computer material — meaning systems or data
What does CMA Section 2 criminalise? | Gaining unauthorised access with intent to commit or facilitate further offences
What does CMA Section 3 criminalise? | Performing unauthorised acts against computer systems with intent to impair, or that may cause impairment — even if accidental
Does the Computer Misuse Act consider the motive of the offender? | No — the Act does not discriminate based on motive; gaining unauthorised access even with good intentions is still an offence
What does the Gary McKinnon case illustrate about the Computer Misuse Act? | That hacking into systems for what the individual considers a legitimate purpose (he was looking for evidence of coverups in NASA and US military systems) is still a criminal offence under the CMA — he faced extradition and up to 70 years in prison
What does the Daniel Cuthbert case illustrate about the Computer Misuse Act? | That performing unauthorised scans (directory traversal) against a system — even out of concern it was malicious — is still an offence; he was convicted despite being a penetration tester, fined, and lost his job
What did the Police and Justice Act 2006 change about the CMA? | It updated the wording to require clearer proof of intent before an offence is found, and introduced Section 3A
What does CMA Section 3A (introduced by the Police and Justice Act 2006) criminalise? | The making, supplying, or obtaining of any "article" — including any program or data in electronic form — used to commit an offence under the Act
How might Section 3A have applied to Marcus Hutchins (MalwareTech)? | He produced the Kronos malware used to commit offences but did not commit the offences himself — Section 3A criminalises producing tools used to commit offences, even without directly committing them
What did the Serious Crime Act 2015 add to the CMA? | Section 3ZA, which enforces much harsher sentences for unauthorised acts causing or risking serious damage — including illness or death, disruption to food, water, energy, fuel, transport, communication, health, or government networks
What are the sentencing ranges under CMA Section 3ZA? | Typical offences carry up to 14 years imprisonment; significant risk or damage to human welfare or national security can result in life imprisonment
What territorial expansion did the Serious Crime Act 2015 add to the CMA? | Offences against systems in another country, and offences committed by a UK citizen from another country, both fall within the scope of the CMA
What are the two Human Rights Act articles most relevant to security testing? | Article 6 (Right to a fair trial — evidence must be handled to preserve integrity and admissibility) and Article 8 (Right to respect for private and family life — no interference through testing except as necessary by law)
What does HRA Part I Article 6 mean for security testing? | Evidence gathered during security testing or incident response must be handled in a way that preserves its integrity, ensuring it is admissible to court and fair to those involved
What does HRA Part I Article 8 mean for security testing? | Testers must not access personal devices or personal data — especially relevant for BYOD or work-from-home scenarios — as doing so may constitute a breach of the right to private life
What does HRA Part II Article 1 protect? | The right to peaceful enjoyment of possessions — security testing must not deprive individuals of this
What is the difference between a Data Controller and a Data Processor under UK GDPR? | Controllers define the purposes and means of processing personal data; Processors handle data based on the documented instructions of a Controller
What are the 7 GDPR data protection principles? | Lawfulness, fairness, and transparency; Purpose Limitation; Data Minimisation; Accuracy; Storage Limitation; Integrity and Confidentiality; Accountability
What does the GDPR principle of Purpose Limitation require? | Data must be collected only for specific and legitimate purposes described at the time of collection, and must not be processed for any other reason
What does the GDPR principle of Data Minimisation require? | Controllers may only collect and process data that is relevant and limited to what is necessary for the intended purposes — unnecessary personal data must not be collected
What does the GDPR principle of Storage Limitation require? | Personal data must not be held longer than necessary for the intended purpose — it must be deleted as soon as it is no longer needed
What does the GDPR principle of Integrity and Confidentiality require? | Personal data must be processed with appropriate security measures to protect against unauthorised processing, accidental loss, destruction, or damage — the GDPR does not specify which measures, leaving it to controllers to determine
What does the GDPR principle of Accountability require? | Controllers and processors must be responsible for, and able to demonstrate compliance with, all data protection principles
What GDPR article can justify red team engagements? | Article 32 — which requires controllers and processors to implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk
What must be put in place when security testing involves systems containing personal data under GDPR scope? | Data Processing Agreements stipulating guidelines for handling the data appropriately during the engagement
Does GDPR apply to organisations outside the EU? | Yes — it applies to all organisations that store or process the personal data of EU residents, regardless of where the organisation operates
What is the Financial Services and Markets Act 2000? | UK legislation regulating the financial services sector covering conduct of business, regulation of financial markets, and financial products — includes provisions relevant to security and operational risk management
What is the Digital Operational Resilience Act (DORA)? | An EU regulation strengthening IT security for financial entities such as banks, insurance companies, and investment firms — it specifically covers digital operational resilience testing
What is CBEST? | A framework developed by the Bank of England for threat intelligence-led security assessments, particularly relevant for financial institutions such as banks, insurers, and payment service providers — aligns with regulatory requirements including FSMA
What is TIBER-EU? | The Threat Intelligence-Based Ethical Red Teaming Framework — an EU-wide framework for conducting threat intelligence-led ethical red teaming to test the cybersecurity of critical infrastructure and financial institutions
What is the Health and Social Care Act 2012 relevant to in the context of security testing? | It governs delivery of health and social care services and includes provisions for the protection and confidentiality of patient data — must be considered when planning engagements against healthcare organisations
What are the Payment Services Regulations 2017? | UK legislation governing payment services that sets security requirements for payment service providers, including fraud prevention and data protection obligations
