What are crawler traps and honeypots in relation to robots.txt?|Some websites intentionally include fake directories in robots.txt to lure malicious bots into "honeypot" traps, which can provide insights into target's security awareness and defensive measures

What is the Extension Mechanisms for DNS (EDNS) and its purpose?|EDNS allows additional DNS features like larger message sizes and DNS Security Extensions (DNSSEC) support. It appears as an opt pseudosection in dig queries

What is the significance of domain status codes in WHOIS records?|Status codes like clientDeleteProhibited and serverTransferProhibited indicate domain protection levels against unauthorized changes, transfers, or deletions, showing security emphasis

What are the key components of a DNS zone file?|TTL (time-to-live), SOA record with administrative info, NS records for name servers, MX records for mail servers, A/AAAA records for IP addresses, and CNAME records for aliases

What is the difference between recursion desired and recursion available in DNS?|Recursion desired (rd flag) means the client wants the DNS server to perform full resolution. Recursion available indicates whether the server supports recursive queries

What are the main categories of information extracted by ReconSpider?|Emails, links (internal/external), external files, JavaScript files, form fields, images, videos, audio files, and HTML comments from target websites

What is the Robots Exclusion Standard?|A set of guidelines defining how web crawlers should behave when visiting websites, implemented through robots.txt files with directives for user-agents

What is the role of Certificate Authorities (CAs) in Certificate Transparency?|CAs must submit newly issued certificates to multiple CT logs, creating public accountability and enabling detection of rogue or mis-issued certificates

What are the three main steps in Certificate Transparency log operation?|Certificate submission by CAs to CT logs, public logging in append-only ledgers, and monitoring by security researchers for suspicious certificates

What information can be gathered from analyzing DNS name servers?|Name server records reveal hosting providers, DNS infrastructure, potential misconfigurations, and can indicate whether organization manages its own DNS

What is the difference between internal and external links in web reconnaissance?|Internal links connect pages within the same domain, helping map site structure. External links connect to other domains, revealing relationships and potential partner organizations

What are the security implications of exposed backup files?|Backup files may contain source code, database credentials, configuration details, encryption keys, or other sensitive information that could facilitate attacks

What is the purpose of the User-Agent string in HTTP headers?|User-Agent identifies the browser/application making the request. Web servers can use this to serve different content or block specific bots/crawlers

What are the common directives found in robots.txt files?|Disallow (forbids crawling paths), Allow (permits crawling specific paths), Crawl-delay (sets delay between requests), and Sitemap (provides XML sitemap URL)

What is the significance of the SOA record in DNS?|Start of Authority record contains administrative information including primary name server, responsible person's email, serial number, refresh intervals, and zone transfer timing

What factors influence how frequently the Wayback Machine archives a website?|Website popularity, rate of content changes, cultural/historical value, and available Internet Archive resources determine archiving frequency

What is the difference between crt.sh and Censys for certificate analysis?|crt.sh offers simple web interface for basic certificate searches. Censys provides advanced filtering, API access, and extensive analysis capabilities but requires registration

What are the three phases of the Wayback Machine operation?|Crawling with automated bots following links, Archiving downloaded pages with timestamps, and Accessing through user interface for historical viewing

What is network mapping in active reconnaissance?|Network mapping determines network topology, connected devices, and their relationships using tools like traceroute to reveal infrastructure and potential attack paths

What is the purpose of service version detection in reconnaissance?|Service version detection identifies specific software versions running on open ports, helping determine potential vulnerabilities and appropriate exploits

What are the main reconnaissance frameworks mentioned and their focus areas?|FinalRecon (modular Python tool), Recon-ng (comprehensive framework), theHarvester (email/subdomain gathering), SpiderFoot (OSINT automation), OSINT Framework (tool collection)

What is the difference between vulnerability scanning and network mapping?|Vulnerability scanning probes for known security flaws and misconfigurations. Network mapping identifies topology, devices, and infrastructure relationships

What information can be gathered from analyzing web page metadata?|Page titles, descriptions, keywords, author names, creation dates, and other contextual information that reveals content purpose and organizational details

What are the key features that make FinalRecon comprehensive?|Header analysis, WHOIS lookup, SSL certificate info, web crawling, DNS enumeration, subdomain discovery, directory enumeration, and Wayback Machine integration

What is the significance of the Content-Encoding header in web reconnaissance?|Headers like "deflate" encoding may indicate server vulnerability to specific attacks like BREACH, revealing potential security weaknesses

What are the advantages of using Certificate Transparency logs over traditional subdomain enumeration?|CT logs provide historical certificate data, reveal expired certificates with potentially vulnerable subdomains, and offer comprehensive coverage without brute-force limitations

What is the Extension Mechanisms for DNS (EDNS) and its purpose?|EDNS allows additional DNS features like larger message sizes and DNS Security Extensions (DNSSEC) support. It appears as an opt pseudosection in dig queries

What is the significance of domain status codes in WHOIS records?|Status codes like clientDeleteProhibited and serverTransferProhibited indicate domain protection levels against unauthorized changes, transfers, or deletions, showing security emphasis

What are the key components of a DNS zone file?|TTL (time-to-live), SOA record with administrative info, NS records for name servers, MX records for mail servers, A/AAAA records for IP addresses, and CNAME records for aliases

What is the difference between recursion desired and recursion available in DNS?|Recursion desired (rd flag) means the client wants the DNS server to perform full resolution. Recursion available indicates whether the server supports recursive queries

What are the main categories of information extracted by ReconSpider?|Emails, links (internal/external), external files, JavaScript files, form fields, images, videos, audio files, and HTML comments from target websites

What is the Robots Exclusion Standard?|A set of guidelines defining how web crawlers should behave when visiting websites, implemented through robots.txt files with directives for user-agents

What is the role of Certificate Authorities (CAs) in Certificate Transparency?|CAs must submit newly issued certificates to multiple CT logs, creating public accountability and enabling detection of rogue or mis-issued certificates

