What is API recon?|Finding out as much information about an API as possible to discover its attack surface, including identifying API endpoints, determining how to interact with them, understanding input data, request types, rate limits, and authentication mechanisms.
What are API endpoints?|Locations where an API receives requests about a specific resource on its server. For example, /api/books or /api/books/mystery.
What are the two forms of API documentation?|Human-readable documentation designed for developers to understand how to use the API with detailed explanations and examples, and machine-readable documentation designed to be processed by software for automating tasks, written in structured formats like JSON or XML.
Where can you look for API documentation endpoints?|Common paths include /api, /swagger/index.html, and /openapi.json. If you identify a resource endpoint, investigate the base path by working backwards through the URL structure.
How can you identify API endpoints through application browsing?|Look for patterns in URL structure suggesting API endpoints like /api/, and examine JavaScript files which can contain references to API endpoints not triggered directly via the web browser.
What HTTP methods should be tested on API endpoints?|GET (retrieves data), PATCH (applies partial changes), OPTIONS (retrieves information on request methods), POST (creates resources), DELETE (deletes resources), and other HTTP verbs to identify additional endpoint functionality.
What is mass assignment (auto-binding)?|When software frameworks automatically bind request parameters to fields on an internal object, potentially creating hidden parameters that were never intended to be processed by the developer.
How can you identify hidden parameters from mass assignment?|Manually examine objects returned by the API. Compare parameters in requests (like PATCH) with fields returned in GET requests to identify additional fields that might be bound to internal objects.
How can you test for mass assignment vulnerabilities?|Add enumerated parameters to requests with valid and invalid values, observe if the application behaves differently, then try to exploit by setting parameter values that grant elevated privileges or bypass restrictions.
What is server-side parameter pollution?|When a website embeds user input in a server-side request to an internal API without adequate encoding, allowing attackers to manipulate or inject parameters to override existing parameters, modify application behavior, or access unauthorized data.
How can you test for server-side parameter pollution in query strings?|Place query syntax characters like #, &, and = in your input and observe how the application responds. Use URL-encoded # to attempt truncation and URL-encoded & to attempt parameter injection.
What is the purpose of truncating query strings with # in server-side parameter pollution?|To remove requirements for certain fields in the server-side request. The URL-encoded # character can truncate the server-side request, potentially removing restrictions like publicProfile=true.
How do different technologies handle duplicate parameters in server-side parameter pollution?|PHP parses the last parameter only, ASP.NET combines both parameters, and Node.js/express parses the first parameter only. Understanding this helps predict the impact of parameter override attacks.
How can you test for server-side parameter pollution in REST paths?|Add path traversal sequences to modify parameters, such as submitting URL-encoded peter/../admin as a parameter value to potentially resolve to /api/private/users/admin after normalization.
How can you test for server-side parameter pollution in structured data formats?|Inject unexpected structured data into user inputs, such as adding extra JSON properties by breaking out of strings with escape sequences to inject additional fields into the server-side request.
What tools can help detect server-side parameter pollution?|Burp Scanner automatically detects suspicious input transformations during audits, and the Backslash Powered Scanner BApp can identify server-side injection vulnerabilities and classify inputs as boring, interesting, or vulnerable.
How can you prevent server-side parameter pollution?|Use an allowlist to define characters that don't need encoding, ensure all other user input is encoded before inclusion in server-side requests, and verify that all input adheres to expected format and structure.
What should be considered when designing secure APIs?|Secure documentation if not publicly accessible, keep documentation up to date, apply an allowlist of permitted HTTP methods, validate content type for each request/response, use generic error messages, and use protective measures on all API versions.
How can you prevent mass assignment vulnerabilities?|Allowlist the properties that can be updated by the user and blocklist sensitive properties that shouldn't be updated by the user.
