What is the Initial Access tactic (TA0001)? | Techniques used to gain a first foothold within a target network — including exploiting public-facing services, supply-chain compromise, and social engineering attacks like phishing
What is phishing in the context of initial access? | When an adversary communicates directly with victims, typically via email, to trick them into carrying out an action or revealing sensitive information
What is the phishing taxonomy proposed by Mariusz Banach? | DELIVERY(CONTAINER(TRIGGER + PAYLOAD + DECOY)) — delivery is how it reaches the victim, container packages the files, trigger executes the payload, payload is the malicious code, and decoy is what the victim sees afterward
What is the purpose of a decoy in an initial access payload? | To display legitimate-looking content to the victim after they interact with the trigger, continuing the social engineering pretext — for example showing a PDF if the trigger was disguised as a PDF
What is the purpose of using complex, multi-stage infection chains? | To make it harder for security solutions to detect the campaign automatically and for analysts to understand what is happening during investigation
What is DLL side-loading? | A technique where an adversary drops a malicious DLL with the correct filename into a writeable location in the DLL search order, causing a legitimate application to load the malicious DLL when it runs
What is the Windows Component Store (WinSxS) and why is it relevant to DLL side-loading? | A directory at C:\Windows\WinSxS that stores multiple versions of the same dependencies — older, vulnerable versions of applications may exist here even after the main OS has been patched, providing candidates for DLL hijacking
What is an AppDomainManager hijack? | A technique that forces a .NET Framework application to load a custom DLL by creating a class that inherits from AppDomainManager — the malicious code runs when the application loads
What are the two methods to make a .NET application load a custom AppDomainManager DLL? | Via environment variables APPDOMAIN_MANAGER_ASM and APPDOMAIN_MANAGER_TYPE, or via appDomainManagerAssembly and appDomainManagerType elements in a .config file named after the application
What are startup hooks and which .NET version do they apply to? | A method of forcing .NET applications to load DLLs regardless of search order — applicable to apps written in .NET Core 3.1 or higher
What is a Windows Installer (MSI) file in the context of initial access? | An installer format created by Microsoft that can store files and installation steps — usable as a container in the initial access taxonomy to package and execute payloads
What is a dropper? | A program that delivers another program — used to evade anti-virus and complicate analysis of the infection chain by extracting embedded resources or downloading them over protocols like HTTP(S) or DNS
What is GadgetToJScript (G2JS)? | A tool that converts a .NET assembly into a script-based dropper (JavaScript, VBScript, VBA, or HTA) that executes via deserialization
Why must all C# code be inside the class constructor when using GadgetToJScript? | Because the constructor is what gets executed during deserialization, which is how G2JS triggers code execution
What output formats can GadgetToJScript produce? | JavaScript (.js), VBScript (.vbs), VBA, and HTA
What is a Batch file trigger and why is output suppression important? | A text-based scripting format (.bat, .cmd, .btm) executed by cmd.exe — commands and output are visible by default, so @echo off and output redirection to nul are used to hide activity from the victim
What is the sandbox evasion trick available in Batch files? | Checking the %cmdcmdline% variable to determine if the script was double-clicked interactively versus run from a command line — if no batch file path is found in the command line, execution exits, defeating automated sandbox analysis
What are the two shell variables used to detect interactive execution in a Batch file? | %cmdcmdline% (the original command line that was invoked) and %~f0 (the full path of the batch file itself)
What is a Shell Link (LNK) file? | A binary Windows shortcut format with the .lnk extension — the extension is never shown in Explorer even with file extensions enabled, allowing deceptive names like report.pdf.lnk to appear as report.pdf
What makes LNK files particularly deceptive as triggers? | The .lnk extension is hidden by Windows Explorer regardless of settings, they can have any custom icon, and they can point to any executable — making them appear to be any file type while secretly executing arbitrary commands
What is GrimResource? | A technique discovered by Elastic that uses a specially crafted .msc (Microsoft Saved Console) file combined with an unpatched XSS vulnerability in MMC to trigger JavaScript code execution via mmc.exe
What is one security advantage of using an MSC file as a trigger for privileged targets? | MMC (mmc.exe) is an auto-elevating binary — if the victim is a local admin, they will be prompted to complete a UAC prompt and the payload will run in high-integrity
What is an XLAM file and why is it useful for initial access? | A macro-enabled Excel Add-In (.xlam) designed to add custom functionality to Excel — it can contain Auto_Open macros and Excel automatically loads any workbooks or add-ins placed in the XLSTART directory
What directory does Excel automatically load add-ins and workbooks from on startup? | %APPDATA%\Microsoft\Excel\XLSTART — this directory is writeable by standard users and is a trusted location, bypassing Protected View restrictions
What is Protected View in Microsoft Office and why does it matter for initial access? | A security feature that disables macros when opening files with Mark of the Web (MotW), received as email attachments, or opened from untrusted locations — payloads must bypass this for macros to execute
What are the two main types of code-signing certificates and how do they differ? | Standard certificates add a digital signature to assure files haven't been tampered with; EV (Extended Validation) certificates make the publisher identity trusted by SmartScreen and remove all "Unknown Publisher" warnings
Why is an EV code-signing certificate more valuable for initial access than a standard one? | EV certificates make the publisher trusted by SmartScreen, completely removing security warnings — standard certificates only add a signature and do not establish publisher trust
Why should attackers avoid signing initial access payloads with their own company's certificate? | It is obvious to the victim, and if the payload is uploaded to VirusTotal the certificate will likely be revoked
What are the two controversial methods used by threat actors to obtain code-signing certificates without going through official channels? | Setting up dummy or shell companies to pass vetting processes, or finding leaked and stolen certificates in places like public GitHub repositories, public S3 buckets, and game hacking forums
What is an example of a realistic multi-stage infection chain using the techniques covered? | ISO → LNK → JS → .NET DLL → EXE — each layer adds obfuscation and complexity to evade detection and complicate analysis
