What is authentication?|Authentication is the process of verifying the identity of a user or client. It makes robust authentication mechanisms integral to effective web security.
What are the three main types of authentication factors?|Something you know (knowledge factors like passwords), something you have (possession factors like mobile phones or security tokens), and something you are or do (inherence factors like biometrics or behavior patterns).
What is the difference between authentication and authorization?|Authentication verifies that a user is who they claim to be. Authorization verifies whether a user is allowed to do something.
How do authentication vulnerabilities arise?|Authentication mechanisms are weak because they fail to adequately protect against brute-force attacks, or logic flaws and poor coding allow the authentication mechanisms to be bypassed entirely (broken authentication).
What is the impact of compromising a high-privileged account?|The attacker could take full control over the entire application and potentially gain access to internal infrastructure.
Why is compromising even a low-privileged account dangerous?|It might grant access to data they shouldn't have (like commercially sensitive business information) and provide additional attack surface. High-severity attacks may be possible from internal pages that aren't possible from publicly accessible pages.
What makes password-based login vulnerable?|If an attacker can obtain or guess the login credentials of another user through brute-force attacks or exploiting flaws in brute-force protection, the website's security is compromised.
What is a brute-force attack in authentication?|When an attacker uses trial and error to guess valid user credentials, typically automated using wordlists of usernames and passwords, potentially making vast numbers of login attempts at high speed.
How do attackers make brute-force attacks more efficient?|By using basic logic or publicly available knowledge to make educated guesses rather than completely random attempts, considerably increasing the efficiency of attacks.
Why are usernames easy to guess?|They often conform to recognizable patterns like email addresses (firstname.lastname@company.com), and high-privileged accounts often use predictable usernames like admin or administrator.
How might usernames be disclosed publicly?|Through accessible user profiles, in HTTP responses containing email addresses, or email addresses of high-privileged users like administrators or IT support.
How do users make passwords predictable despite password policies?|Rather than creating strong random passwords, users take memorable passwords and modify them to fit policies (like Mypassword1! or Myp4$$w0rd), and make minor predictable changes when required to change passwords regularly.
What is username enumeration?|When an attacker observes changes in the website's behavior to identify whether a given username is valid, greatly reducing the time and effort required to brute-force login.
What are three ways to detect username enumeration?|Differences in status codes (different code for correct username), error messages (different messages for invalid username vs invalid password), and response times (longer processing time when username is valid).
How can flawed brute-force protection be bypassed?|If the counter for failed attempts resets upon successful login, an attacker can log in to their own account every few attempts to prevent the limit from being reached.
How does account locking fail to prevent brute-force attacks?|It fails to prevent attacks where the attacker tries to gain access to any random account, and doesn't protect against credential stuffing attacks where each username is only attempted once.
What is credential stuffing?|Using a massive dictionary of username:password pairs from genuine login credentials stolen in data breaches, relying on the fact that many people reuse the same credentials on multiple websites.
What is user rate limiting?|Making too many login requests within a short period causes the IP address to be blocked, typically unblocked automatically after time, manually by administrator, or manually by user after completing a CAPTCHA.
What is HTTP basic authentication?|An authentication method where the client receives a token constructed by concatenating the username and password and encoding it in Base64, which the browser automatically adds to the Authorization header of every subsequent request.
Why is HTTP basic authentication insecure?|It repeatedly sends login credentials with every request (vulnerable to man-in-the-middle attacks without HSTS), often lacks brute-force protection, consists of static values vulnerable to brute-forcing, and is vulnerable to CSRF.
What is true two-factor authentication?|Verifying multiple different factors, not verifying the same factor in two different ways. Email-based 2FA is not true 2FA because accessing the code only relies on knowing email login credentials.
What are the advantages of dedicated 2FA devices?|They are purpose-built for security and generate the verification code directly rather than transmitting it, unlike SMS which can be intercepted or vulnerable to SIM swapping.
How can two-factor authentication be bypassed?|If the user is in a logged-in state after the first authentication step, you can sometimes directly skip to logged-in pages without completing the second step if the website doesn't check completion.
What is flawed two-factor verification logic?|When the website doesn't adequately verify that the same user completing the first login step is completing the second step, allowing an attacker to change account identifiers between steps.
Why is brute-forcing 2FA verification codes dangerous?|The codes are often simple 4 or 6-digit numbers, and without adequate brute-force protection, cracking such a code is trivial even if users are logged out after incorrect attempts.
Why are supplementary authentication functions vulnerable?|Websites take care to avoid vulnerabilities in login pages but overlook that related functionality (like password reset or change) needs to be equally robust.
What is the danger of remember me cookies?|If generated from predictable concatenation of static values (like username and timestamp) or even the password, an attacker who creates their own account can study their cookie and deduce how it's generated to brute-force other users' cookies.
Why is encrypting remember me cookies with Base64 ineffective?|Base64 is a simple two-way encoding that offers no protection whatsoever, not actual encryption.
Why is using a one-way hash for remember me cookies not bulletproof?|If the attacker can identify the hashing algorithm and no salt is used, they can brute-force the cookie by hashing wordlists, potentially bypassing login attempt limits if no similar limit applies to cookie guesses.
Why is sending passwords by email dangerous?|Sending persistent passwords over insecure channels should be avoided. Email is not secure as inboxes are persistent, not designed for secure storage, and many users sync inboxes across multiple devices over insecure channels.
What makes password reset URLs with user parameters vulnerable?|If the URL uses an easily guessable parameter to identify which account is being reset, an attacker can change the parameter to any username and set a new password for that user.
What is the better implementation of password reset URLs?|Generate a high-entropy, hard-to-guess token that provides no hints about which user's password is being reset, validate the token exists on the back-end, and make it expire after a short period and destroy immediately after reset.
What vulnerability occurs when password reset tokens aren't revalidated?|An attacker can visit the reset form from their own account, delete the token, and use the page to reset an arbitrary user's password.
What is password reset poisoning?|When the URL in the reset email is generated dynamically, an attacker can potentially steal another user's token and use it to change their password.
Why is password change functionality dangerous?|It can be vulnerable to the same techniques as normal login pages, and if it allows direct access without being logged in (like with username in hidden field), it can be exploited to enumerate usernames and brute-force passwords.
Why should you never send login data over unencrypted connections?|Even with HTTPS for login requests, you must enforce this by redirecting any attempted HTTP requests to HTTPS, and never disclose usernames or email addresses through publicly accessible profiles or HTTP responses.
Why are traditional password policies ineffective?|People crowbar their own predictable passwords into the policy. It's more effective to implement a password checker that provides real-time feedback about password strength.
