What are the three characteristics that KRIs (key risk indicators) need to have?|Actionable, measurable, and relevant to the risks they measure
What is a Recovery Time Objective (RTO)?|How long restoring systems or services to normal function after a disruption can take
What is Mean Time to Repair (MTTR)?|The average time it takes to repair a system or device
What is a Recovery Point Objective (RPO)?|How much data can be lost in the event of an outage or issue
What is Mean Time Between Failures (MTBF)?|A measure of the reliability of a system - the expected amount of time that will elapse between system failures
What do Acceptable Use Policies (AUPs) describe?|How and what users can use organizational resources, systems, and services for
What is the difference between passive and active reconnaissance?|Passive reconnaissance uses existing information sources without direct action; active reconnaissance involves communicating with the target network
What is a data processor?|They process data on behalf of a data controller who determines how data is processed and what purposes it is used for
What is a data subject?|A person who can be identified by their personally identifiable information (PII)
What is a data owner responsible for?|Protection, usage, and quality of datasets
What is a data controller?|Determines how data will be used and the purposes for processing
What type of risk assessment uses descriptive scales like high, medium, or low?|Qualitative risk assessment
What type of risk assessment uses numeric values and calculations?|Quantitative risk assessment
What is risk transfer?|Moving the costs of risks to another organization such as through insurance
What is risk acceptance?|Management acknowledging that the risk and its impacts may occur and the organization will move forward despite that chance
What is risk avoidance?|Seeking to prevent the risk from occurring
What is risk mitigation?|Working to limit the impact of a risk
What are the four commonly used BIA measures in Security+?|Recovery Time Objectives (RTOs), Recovery Point Objectives (RPOs), Mean Time to Repair (MTTR), and Mean Time Between Failures (MTBF)
What do Service Level Agreements (SLAs) set forth?|The expected service level as well as penalties for nonperformance
What is a Master Services Agreement (MSA)?|A broad agreement that additional work may be performed under
What is a data steward responsible for?|Carrying out data usage and security policies and ensuring data is handled appropriately
What are the three terms used for risk appetite in Security+?|Conservative, neutral, and expansionary
What is the Advanced Encryption Standard (AES) most commonly used key length?|256-bit (provides greater resistance to brute-force attacks than 128-bit)
What are the three types of changes in change management?|Preapproved changes, emergency changes, and standard changes
What is a Business Impact Analysis (BIA)?|A formal process used to identify mission-critical functions and ensure critical systems supporting those functions are identified and assessed
What is the difference between policies and standards?|Policies are statements of organizational intent; standards are rules to help achieve that intent
What are the two factors used to describe risk?|Probability and impact
What is Single Loss Expectancy (SLE)?|How much a single risk will cost if it occurs
What is Annual Loss Expectancy (ALE)?|How much risks will likely cost an organization per year
What is the GDPR right to be forgotten?|Allows individuals to request that their data be deleted
What are the three types of environment tests for penetration testing?|Known environment (full information), partially known environment (some information), and unknown environment (no information provided)
What is a Business Partners Agreement (BPA)?|Used when two organizations want to do business as a partnership
What does likelihood describe in risk assessment?|The possibility of a risk occurring
What does impact describe in risk assessment?|What will happen if the risk occurs
What is a risk exception?|Recognizes risk areas where an organization may not be in compliance with policies or regulations but is acknowledged because they cannot be addressed timely or are required for business
How often does regulatory compliance typically require risk assessment?|On a regular basis, often once a year
What is an expansionary risk appetite?|An organization willing to accept significant risk to achieve goals
What is a conservative risk appetite?|Seeking to reduce risks over addressing other goals
What is a neutral risk appetite?|Balancing organizational goals against risk
What is an Exposure Factor (EF)?|The percentage of value of an asset that would be lost due to an incident
What is physical security testing?|Testing an organization's physical security defenses and practices including guards, locks, doors, and other components
What is offensive penetration testing?|Acting like attackers to test security
What is defensive penetration testing?|Seeks to learn as defenders and improve defensive capabilities
What is integrated penetration testing?|Combines both offensive and defensive penetration testing
What is attestation in auditing?|Auditors providing a statement about an organization's posture and assurance that practices have been reviewed
What is the difference between internal and external audits?|Internal audits are conducted by employees; external audits are conducted by third parties
What is a regulatory audit?|Assesses compliance with laws and regulations
What is a compliance audit?|May look at laws or other compliance targets beyond just regulations
What is an audit committee?|Typically part of the organization's board of directors that oversees financial reporting-related activities
What is a risk threshold?|The level where an organization will switch from accepting a risk to seeking to handle the risk
