What is GraphQL and how does it differ from REST APIs?|GraphQL is a query language for web APIs that enables clients to fetch required data through a simple syntax. Unlike REST APIs that use multiple endpoints, GraphQL typically uses a single endpoint to handle all queries, making it more efficient in resource and request usage.
Where is the GraphQL endpoint typically located?|The GraphQL endpoint is most commonly located at /graphql, /api/graphql, or similar paths.
What is the basic structure of a GraphQL query?|GraphQL queries select fields of objects where each object is of a specific type. The query is structured with the query name at the root, followed by the fields to retrieve enclosed in curly braces.
What is GraphQL introspection?|Introspection is a GraphQL feature that enables users to query the API about the structure of the backend system, allowing discovery of all supported queries, types, and fields by querying the __schema field.
What tool can be used to identify the GraphQL engine?|graphw00f is a fingerprinting tool that sends various GraphQL queries including malformed ones to determine the GraphQL engine by analyzing backend behavior and error messages.
What is GraphQL sub-querying?|Sub-querying enables a query to obtain details from an object that references another object, allowing nested data retrieval in a single query.
How can IDOR vulnerabilities manifest in GraphQL?|IDOR vulnerabilities occur when GraphQL queries lack proper authorization checks, allowing users to access other users' data by simply changing parameters like usernames or IDs in the query.
What types of injection attacks can affect GraphQL APIs?|GraphQL APIs can be vulnerable to SQL injection, Cross-Site Scripting (XSS), and command injection if user input from query arguments is not properly sanitized.
How can SQL injection be identified in GraphQL queries?|SQL injection can be identified by injecting SQL payloads in query arguments. Signs include SQL errors in responses, queries returning unexpected results, or queries still functioning with SQL comment syntax.
Where can XSS vulnerabilities occur in GraphQL?|XSS vulnerabilities can occur when GraphQL responses are inserted into HTML without sanitization, or when invalid arguments containing XSS payloads are reflected in error messages without proper encoding.
What is a GraphQL DoS attack based on query depth?|A DoS attack exploits circular relationships between object types (like UserObject and PostObject) to create deeply nested queries that result in exponentially large responses, consuming significant server resources.
What is GraphQL batching?|Batching in GraphQL allows executing multiple queries in a single HTTP request by supplying queries as a JSON array, which can be exploited to bypass rate limits in brute-force attacks.
What are GraphQL mutations?|Mutations are GraphQL queries that modify server data, used to create new objects, update existing objects, or delete existing objects.
How can mutations lead to privilege escalation?|If mutations don't properly validate input parameters like user roles, attackers can specify privileged roles when creating accounts, potentially gaining unauthorized administrative access.
What security tool performs automated security audits on GraphQL APIs?|GraphQL-Cop is a security audit tool that executes multiple basic security configuration checks and lists identified issues as a baseline for further manual testing.
