What is the purpose of a trust relationship in Active Directory? | To allow one forest or domain to share its resources with another domain or forest
What is a Parent/Child Trust? | A two-way transitive trust automatically created when a new domain is added to an existing tree
What is a Tree-Root Trust? | A two-way transitive trust automatically created when a new domain tree is added to an existing forest
What is an External Trust? | A one or two-way non-transitive trust that enables resource sharing between domains in different forests
What is a Forest Trust? | A one or two-way transitive trust that enables resource sharing between different forests
What is trust transitivity? | A property that determines whether a trust relationship extends beyond the two parties that formed it — if Domain A trusts B, and B trusts C, transitivity means A also implicitly trusts C
What does a one-way trust allow? | Users in the trusted domain can access resources in the trusting domain, but not the reverse — the direction of access is opposite to the direction of the trust arrow
What is the difference between a one-way inbound and outbound trust? | The terminology is relative to which side you are on — inbound means the trusted domain can access your resources; outbound means you have granted access to a foreign domain's users
Do two-way trusts technically exist in Active Directory? | No — two-way trusts are actually implemented as two separate one-way trusts in opposite directions
What is a Trusted Domain Object (TDO)? | An Active Directory object of class trustedDomain that stores information about a trust relationship, including trust type, transitivity, and the shared inter-realm password
How often is the TDO password rotated and by whom? | The primary domain controller in the trusting domain changes the TDO password every 30 days and propagates it to the trusted domain
What does the trustDirection value of 1, 2, and 3 represent on a TDO? | 1 is TRUST_DIRECTION_INBOUND, 2 is TRUST_DIRECTION_OUTBOUND, and 3 is TRUST_DIRECTION_BIDIRECTIONAL
What does the trustAttributes value of 4 indicate? | TRUST_ATTRIBUTE_QUARANTINED_DOMAIN — SID filtering is in place on the trust
What does the trustAttributes value of 8 indicate? | TRUST_ATTRIBUTE_FOREST_TRANSITIVE — the trust is transitive between two forests
What does the trustAttributes value of 32 indicate? | TRUST_ATTRIBUTE_WITHIN_FOREST — the trust is between two domains in the same forest
What does the trustAttributes value of 64 indicate? | TRUST_ATTRIBUTE_TREAT_AS_EXTERNAL — the trust is between domains in different forests and SID filtering is implied
Where does the official security boundary exist in Active Directory? | Only at the forest level — it is not possible to prevent domain administrators in one domain from accessing data in other domains within the same forest
What is an inter-realm ticket (referral ticket)? | A TGT issued by the trusted realm but encrypted with the shared inter-realm key rather than the krbtgt secret — it is used by a client to authenticate to a KDC in a different realm
Why is a normal TGT insufficient to access services in a trusting realm? | The trusting realm cannot decrypt a TGT from the trusted realm because it does not have access to the trusted realm's krbtgt secret — an inter-realm key is required to bridge this gap
How does the inter-realm ticket exchange process work at a high level? | The client sends a TGS-REQ to its own KDC, which detects the service is in a foreign realm and returns an inter-realm TGT encrypted with the shared key; the client then uses that to request the service ticket directly from the foreign KDC
What is notable about the inter-realm key used by parent/child trusts in the same forest? | All parent/child trusts in a forest share the same inter-realm key — this is how transitive trust is implemented; non-transitive trusts each get a unique key
What is a trust account in Active Directory? | A principal registered in the trusted domain using the flat (NetBIOS) name of the trusting domain — it represents the trusting realm's ticket-granting service and its password is the shared inter-realm key
What samAccountType value identifies trust accounts? | 805306370 (SAM_TRUST_ACCOUNT)
Where is the inter-realm key stored differently between the trusted and trusting domains? | In the trusted domain it is the password of the trust account; in the trusting domain it is stored inside the TDO
How can an adversary escalate from a child domain to enterprise admin in the forest root? | By forging a golden ticket (or diamond ticket) for a child domain user and adding the SID of a privileged group (e.g. Enterprise Admins) in the parent domain to the ticket's SID History field
What is SID History and why is it relevant to trust abuse? | An attribute designed for migration scenarios that allows a user's previous domain SID to be preserved — attackers abuse it by adding a privileged parent domain group SID to a forged ticket to gain elevated access in the parent domain
What information is needed to forge a golden ticket for a parent/child trust escalation? | The child domain's krbtgt AES hash, the username to impersonate, the child domain FQDN, the child domain SID, and the SID of the target privileged group in the parent domain (e.g. Enterprise Admins is RID 519)
Why does adding a parent domain SID to SID History not work across external forest trusts? | External forest trusts employ SID filtering — the trusting domain ignores any SIDs that are not native to its own domain, preventing SID History abuse
What is the Foreign Security Principals Container in Active Directory? | A special container that holds foreignSecurityPrincipal objects representing security principals from external trusted domains, allowing them to become members of groups in the trusting domain
How can an adversary identify which foreign principals have been granted access in a trusting domain? | By enumerating the Foreign Security Principals Container in the trusting domain, then resolving the foreign SIDs back to their source domain objects to determine what group memberships and access they have
What are the four default SIDs found in the Foreign Security Principals Container that are not of interest to an attacker? | S-1-5-4, S-1-5-9, S-1-5-11, and S-1-5-17 — any additional entries represent explicitly granted foreign principals and are of interest
When on the trusted side of an inbound trust, what strategy can an adversary use to access the trusting domain? | Find and impersonate principals from the trusted domain that have been granted legitimate access to resources in the trusting domain — enumerated via the Foreign Security Principals Container
What happens when you attempt to enumerate a trusted domain from the outbound (trusting) side? | Enumeration fails with error code 49 (invalid credentials) — there is no KDC referral from the trusting side, making basic LDAP enumeration practically impossible
Why can credentials for a user in the trusted domain still work from the outbound side of a trust? | The calling client performs ticket exchanges directly with the trusted domain's KDC — bypassing the normal referral process entirely
How can an adversary obtain credentials for a trusted domain from the outbound side of a trust? | By extracting the inter-realm key from the TDO using DCSync with the TDO's objectGUID — this key is the password for the trust account in the trusted domain
Why does a TGT obtained for the trust account allow enumeration of the trusted domain? | The trust account has a primaryGroupID of 513 (Domain Users) due to legacy POSIX support — this gives it standard domain user privileges in the trusted domain without being an explicit group member
What are the two keys returned when DCSync-ing a TDO and what do they represent? | The current key (Out) and the previous key (Out-1) — they are the same until 30 days have elapsed since the trust was created or last rotated
What is the practical outcome of obtaining the inter-realm key from an outbound trust's TDO? | You can authenticate to the trusted domain as the trust account and enumerate it for vulnerabilities such as roastable users, ADCS misconfigurations, or other attack paths
