What is the main vulnerability that adversarial examples expose in neural networks?|Neural networks can be fooled by inputs carefully modified to cause misclassification while remaining nearly identical to the original, exposing a gap between high accuracy and true robustness.
How do first-order attacks exploit neural network training?|They use gradient information computed with respect to inputs rather than parameters, using calculus to find directions that maximally increase prediction error.
What is the key difference in approach between FGSM and DeepFool?|FGSM decides on a perturbation budget upfront and moves pixels in the gradient direction, while DeepFool iteratively searches for the smallest change that fools the model by finding the closest decision boundary.
What makes adversarial examples particularly dangerous in practice?|They are remarkably transferable - an adversarial example crafted against one model often fools other models, even those with different architectures or training procedures.
What is the L0 norm and what does it measure?|The L0 norm counts how many elements are non-zero, regardless of their magnitude. A pixel changed by 0.001 counts the same as one changed by 255.
What is the L1 norm and what does it measure?|The L1 norm adds up the absolute value of all changes. It's like having a budget for total change that can be distributed across pixels however you want.
What is the L2 norm and what does it measure?|The L2 norm is the Euclidean distance - straight-line distance in space. It measures the square root of the sum of squared changes and heavily penalizes large individual changes.
What is the L∞ norm and what does it measure?|The L∞ norm only cares about the biggest single change you made, like a speed limit. It's the maximum absolute change to any single pixel.
Why does the L2 norm create smooth, even changes?|The squaring operation heavily penalizes large individual changes, so L2 perturbations naturally spread changes evenly across all pixels rather than concentrating on a few.
What shapes do different norm constraints create in 2D space?|L1 forms a diamond shape, L2 forms a circle, and L∞ forms a square, determining which directions are "cheaper" to move in.
What is the FGSM update formula?|x_adv = x + ε·sign(∇_x L(θ,x,y)), where ε is the perturbation budget and the sign operation extracts only the direction of the gradient.
Why does FGSM use the sign of the gradient instead of the gradient itself?|Taking only the sign equalizes step size across pixels so the per-pixel change is exactly ε in magnitude, which fits the L∞ constraint and makes the attack extremely fast.
How does high dimensionality make FGSM effective?|Even though each pixel changes by at most ε, the aggregate effect grows with how many dimensions contribute. Small correctly aligned tweaks at each pixel add up to a large change in the model's score.
What is the relationship between FGSM and optimization theory?|FGSM exactly solves the first-order approximation to the inner maximization problem of finding the worst perturbation within an L∞ budget, using the linearized loss landscape.
How does targeted FGSM differ from untargeted FGSM?|Targeted FGSM minimizes loss towards a chosen target class (flipping the sign: x_adv = x - ε·sign(∇_x L(θ,x,y_t))), while untargeted maximizes loss for the true class.
Why is normalization important for training neural networks?|Normalization transforms inputs to have zero mean and unit variance, which improves gradient flow, prevents correlated updates, enables efficient exploration of parameter space, and allows using a single learning rate across all layers.
How does normalization affect adversarial attacks?|When inputs are normalized, epsilon values are in normalized units. The gradient quality improves because training saw both positive and negative values, making gradients more informative for attacks.
What is the relationship between normalized-space and pixel-space epsilon budgets?|ε_pixel = σ·ε_norm. For MNIST with σ=0.3081, an ε_norm=0.8 corresponds to ε_pixel≈0.25 in [0,1] pixel space.
What does the FGSM gradient computation reveal about the model?|It computes ∇_x L which tells how to adjust inputs to increase error. The gradient provides sensitivity information for every pixel simultaneously about how the prediction changes.
Why does FGSM work on deep networks despite their non-linearity?|Near a clean image, deep nets behave almost linearly in local regions. Small input changes produce proportional score changes, so one gradient-based step pushes loss in the steepest direction.
